Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2013 N=1 D=2,0,0,0,0,0,26.5882352941176                                                                                               
 [2] CEC2013 N=2 D=2,1.18234311230481e-11,2.27373675443232e-13,8.20818968350068e-11,2.1141293508859e-11,2.06322782161439e-11,14.921568627451  
 [3] CEC2013 N=3 D=2,7.61701812734827e-11,9.09494701772928e-13,2.81420398096088e-09,2.56526547280944e-10,5.15343761739278e-10,13.4705882352941
 [4] CEC2013 N=4 D=2,1.40971678774804e-11,2.27373675443232e-13,2.19870344153605e-10,2.56040591778526e-11,4.43286327096427e-11,13.921568627451 
 [5] CEC2013 N=5 D=2,9.83618519967422e-10,5.57065504835919e-12,7.94875631981995e-09,1.70874883741478e-09,1.80798882808555e-09,17.1764705882353
 [6] CEC2013 N=6 D=2,0,0,0,0,0,24.2745098039216                                                                                               
 [7] CEC2013 N=7 D=2,9.877112461254e-08,6.76652689435286e-09,5.45055477232381e-05,6.28010357505606e-06,1.14380062569664e-05,10.843137254902   
 [8] CEC2013 N=8 D=2,4.45387513536843e-08,4.9143409341923e-09,20.000975471056,2.9779863279522,6.96167102137487,0.254901960784314              
 [9] CEC2013 N=9 D=2,0.00401989537647296,1.07039568320033e-08,1.08264545103168,0.144942530452643,0.297476138997432,0                          
[10] CEC2013 N=10 D=2,0.0052873809746643,5.6843418860808e-14,0.018937730241305,0.0050225242138753,0.00441085957182043,11.3725490196078        
[11] CEC2013 N=11 D=2,5.26256371813361e-10,0,0.00611802435247455,0.000119967668634966,0.000856693850650481,20.4509803921569                   
[12] CEC2013 N=12 D=2,4.93059815198649e-10,0,2.80002780073119e-07,9.27817676283131e-09,4.3272809727467e-08,20.078431372549                    
[13] CEC2013 N=13 D=2,1.32635591398866e-09,0,0.00696188290316968,0.000136532305755928,0.000974855067409705,39.6862745098039                   
[14] CEC2013 N=14 D=2,2.06500772037543e-09,0,0.312173256882943,0.0273731830545495,0.0864063920175477,15.4117647058824                         
[15] CEC2013 N=15 D=2,6.93034962750971e-10,0,0.312173256358278,0.0122421429484468,0.0611981879598213,15.4509803921569                         
[16] CEC2013 N=16 D=2,0.371112726342545,1.2652790815082e-07,2.13582287468085,0.441277640288874,0.52308625815972,0                             
[17] CEC2013 N=17 D=2,2.02251249202152,4.08366531701176e-08,2.46687762468008,1.4866146193412,0.78353088933817,5.92156862745098                
[18] CEC2013 N=18 D=2,1.60512191423646,0.0248961047448688,2.29806289107847,1.33204707259307,0.830469036686573,5.17647058823529                
[19] CEC2013 N=19 D=2,0,0,1.74509295902681e-11,1.65068830064425e-12,4.13504457954043e-12,19.6862745098039                                     
[20] CEC2013 N=20 D=2,0.0194318197550274,4.48449100076687e-09,0.0194404137832862,0.0162843679759848,0.00576635105174773,14.4901960784314      
[21] CEC2013 N=21 D=2,200.000000000517,2.36010464504943e-08,200.000000021783,134.270492228912,84.3355953473866,0.0196078431372549             
[22] CEC2013 N=22 D=2,5.86601345275994e-09,1.80034476215951e-09,18.7836653359717,1.01553030037732,3.58966530591354,5.45098039215686           
[23] CEC2013 N=23 D=2,9.52547907218104e-09,4.89649210067e-10,100.000000004698,11.6538897503649,25.9343157067072,2.37254901960784              
[24] CEC2013 N=24 D=2,1.43284214432856,8.02606336947065e-09,76.2123255567008,7.07205549128302,13.4149403063395,7.72549019607843               
[25] CEC2013 N=25 D=2,100.000000031164,8.8020897237584e-09,195.22507017713,74.4331572358274,48.9576677159226,0.96078431372549                 
[26] CEC2013 N=26 D=2,1.49029801832512e-08,3.41060513164848e-12,3.17002195661303,0.0838499943540504,0.445707849078186,19.1176470588235        
[27] CEC2013 N=27 D=2,300.000041798212,100.000000088817,318.718525567156,255.236105145964,77.0984845864326,0.176470588235294                  
[28] CEC2013 N=28 D=2,100.000000012195,1.39348230732139e-08,300.000000028717,145.700085098257,102.163592249682,0.0196078431372549             
 [1] CEC2013 N=1 D=10,0,0,0,0,0,6                                                                                                               
 [2] CEC2013 N=2 D=10,1.08934727904852e-09,2.96495272777975e-10,2.50088305620011e-09,1.20125971044021e-09,5.36318815545714e-10,4                
 [3] CEC2013 N=3 D=10,2.6810653253051e-07,6.55677467875648e-09,6.31503138221592,0.379867591001879,1.49873375865948,0                            
 [4] CEC2013 N=4 D=10,4.09727363148704e-10,1.21190169011243e-10,1.14891918201465e-09,4.56602006748903e-10,1.99347983571038e-10,5                
 [5] CEC2013 N=5 D=10,2.31657395488583e-08,9.47852640820201e-09,8.19171646071482e-08,2.79126888748507e-08,1.60416480517426e-08,4                
 [6] CEC2013 N=6 D=10,9.81242274497515,3.95846200262895e-09,9.81242275634122,5.77201338447713,4.87726591675752,0.627450980392157                
 [7] CEC2013 N=7 D=10,1.824749995194e-05,1.6565343230468e-07,7.38412531540939,0.147671725039291,1.03364655828592,0                              
 [8] CEC2013 N=8 D=10,20.3634101642739,20.1897231133905,20.4759943046685,20.3551888729676,0.0657952708269407,0                                  
 [9] CEC2013 N=9 D=10,1.50892854537801,3.32245497247641e-05,3.47901645144702,1.39453994122632,0.841121423211783,0                               
[10] CEC2013 N=10 D=10,7.38964445190504e-13,3.41060513164848e-13,4.12973122365656e-09,1.39023398457771e-10,7.01048795882477e-10,4.96078431372549
[11] CEC2013 N=11 D=10,1.98991812632482,1.40375959745143e-08,3.97983622837319,1.91188212809416,0.99183271431901,3.29411764705882                
[12] CEC2013 N=12 D=10,1.98991811418659,0,2.98487717695212,1.50219309258588,0.875847689630192,3.13725490196078                                  
[13] CEC2013 N=13 D=10,1.48551492337447,0,3.98026479408318,1.51071900972708,0.797434551939734,3.62745098039216                                  
[14] CEC2013 N=14 D=10,11.8919796389955,0.187363330618609,162.953367326808,22.4383482388955,34.6519189404933,2.25490196078431                   
[15] CEC2013 N=15 D=10,18.4720832315343,0.187363329831896,216.440000925844,52.65482403562,63.0415581687766,2.05882352941176                     
[16] CEC2013 N=16 D=10,1.16932122156601,0.500365526090405,1.53229541552929,1.13089949840214,0.225297532186889,0                                 
[17] CEC2013 N=17 D=10,20.7275460300299,11.1724736626012,29.1403476622256,20.1669898538423,4.47521445345707,0.0196078431372549                  
[18] CEC2013 N=18 D=10,29.3928138949624,20.4511465289908,35.129577654805,28.6016952564133,3.31746452671431,0                                    
[19] CEC2013 N=19 D=10,0.669322617487524,6.69615474180318e-11,1.03229930127452,0.620000895026591,0.298008123471992,1.54901960784314             
[20] CEC2013 N=20 D=10,2.8172408234816,1.98293808691153,3.64158220498291,2.87606802679527,0.400116722032272,0                                   
[21] CEC2013 N=21 D=10,400.193867218613,200.000000627973,400.193867218613,388.417757424136,47.5731516096052,6.74509803921569                    
[22] CEC2013 N=22 D=10,25.0434627220905,10.482198358239,89.9198985491754,34.1333760946926,21.1888669280807,2.88235294117647                     
[23] CEC2013 N=23 D=10,26.3631266569066,10.4851884190202,441.522567031566,39.0918579741931,60.6714571126448,2.41176470588235                    
[24] CEC2013 N=24 D=10,200.000137383918,200.000083217993,216.159614038103,202.304683811651,4.93109553111336,0                                   
[25] CEC2013 N=25 D=10,200.000138719632,200.000093242016,212.497551889219,201.226173312395,3.40710336093357,0                                   
[26] CEC2013 N=26 D=10,103.9798425961,100.994959820892,313.035783378303,180.148110336958,93.4576384052003,1.07843137254902                      
[27] CEC2013 N=27 D=10,300.001479133473,300.001045218289,400.000000186619,311.766192824827,32.5390204113001,0                                   
[28] CEC2013 N=28 D=10,300.000001814272,300.00000121817,549.53376911854,308.814389414436,39.5739147685942,0.137254901960784                     
 [1] CEC2013 N=1 D=30,7.90055310062598e-09,6.05837158218492e-09,1.28115971165244e-08,8.19655350128682e-09,1.62333626376845e-09,2             
 [2] CEC2013 N=2 D=30,8.31028046377469e-09,4.4631178752752e-09,1.36337803269271e-08,8.5639403194221e-09,1.97465320760034e-09,1               
 [3] CEC2013 N=3 D=30,1.2872692423116e-07,8.88396698428551e-08,4.42762234342808e-06,2.09870119992867e-07,6.02695539374253e-07,0              
 [4] CEC2013 N=4 D=30,8.0763129517436e-09,3.41242412105203e-09,1.36180915433215e-08,8.0836691588903e-09,2.23926956758781e-09,2               
 [5] CEC2013 N=5 D=30,8.08486220194027e-08,3.01211002806667e-08,1.81015593625489e-07,8.13330371766271e-08,3.05391327784554e-08,1             
 [6] CEC2013 N=6 D=30,9.55174073169474e-09,0,26.407418224083,0.598145213658596,3.70919733299785,0.745098039215686                            
 [7] CEC2013 N=7 D=30,4.01117972614884e-07,3.10181917484442e-07,0.0129292615268923,0.000258771863226524,0.00180982711361392,0.215686274509804
 [8] CEC2013 N=8 D=30,20.9525528969158,20.8322642571782,21.0419152923292,20.9431085280284,0.0503127387699109,0                               
 [9] CEC2013 N=9 D=30,5.37139545655805,2.09541446647256,8.68757817292476,5.34745786779326,1.62569627456909,0                                 
[10] CEC2013 N=10 D=30,9.09494701772928e-13,4.54747350886464e-13,1.76214598468505e-12,9.49619468027616e-13,2.36920237851618e-13,1            
[11] CEC2013 N=11 D=30,3.97983627743019,0.99495906919276,6.96471369428457,4.27247119483906,1.32436660459351,1                                
[12] CEC2013 N=12 D=30,2.98488271104765,0.994959072196764,8.9546315258757,3.35554993283507,1.43440917666639,1                                
[13] CEC2013 N=13 D=30,2.9848772184292,8.45682279759785e-09,7.59060574896819,3.10409388156847,1.50705495838453,1                             
[14] CEC2013 N=14 D=30,183.662411450299,19.7169168866403,603.326089255781,231.948939064028,140.577834031898,1                                
[15] CEC2013 N=15 D=30,397.81536128018,135.791758503407,721.728044687479,385.403225840988,146.754823383906,0.980392156862745                 
[16] CEC2013 N=16 D=30,2.41219618681703,1.65216780434926,2.91764444577606,2.40090864162865,0.292753502006448,0                               
[17] CEC2013 N=17 D=30,137.218173207943,37.9273783348614,162.964974285603,129.9578907124,29.5799810550598,0                                  
[18] CEC2013 N=18 D=30,169.005070403118,148.88704605074,184.738619302847,169.356513182937,8.6372923308407,0                                  
