"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
"1",2668.02525345102,2417.18745281495,2417.60992735098,2594.37959749428,2583.91124048339,2573.57635421014,2610.05368304247,2431.41254588573,2585.52069099339,2431.9968307446,2563.85203906419,2496.70831716278,2688.34769612942,2513.32525583266,2546.39833315255,2727.40481463751,2417.24251291635,2547.65609468946,2480.33337562658,2704.60827966586,2422.50647320562,2461.82483405843,2499.14773366755,2601.33720229492,2376.44879357337,2424.10606593115,2423.55250547631,2520.48116517978,2309.77823121662,2523.24078681858,2512.65609455415,2370.64134246822,2421.27503790576,2816.10001924967,2651.5729327226,2872.06849032926,2832.14063762373,2535.96889517192,2347.2459371403,2808.12812031742,2508.53726980097,2545.1152713824,2672.36028542128,2574.60907810869,2440.48539399497,2486.72003938619,2486.99576096636,2570.58517992523,2691.03790291445,2437.58924046901,2479.23399423146
"2",2337.51661086627,2170.29626962172,2294.22766537285,2197.71779337395,2317.17250467653,2308.21762593587,2309.73255917504,2262.31096110965,2312.81627875724,2211.13378744663,2234.94278806023,2083.39414096555,2261.52048898155,2314.16648047271,2232.99290189282,2366.71506534874,2232.1774743545,2146.60453114769,2272.5594131959,2355.86044966052,2202.77416259594,2148.81676329712,2190.03849863506,2069.4963698245,2095.24065509058,2256.77475726276,2190.08121347186,2225.0169590833,2161.19848934767,2295.97781286365,2301.24560671747,2304.45078727252,2201.37995873309,2363.94375014824,2314.86529119392,2315.39930217797,2366.7779567706,2250.33302099275,2297.50338160485,2276.49944074061,2310.28456326345,2154.97071010856,2418.05628827116,2334.18219729115,2240.03555148886,2225.29892383659,2222.91846238925,2161.67720008721,2252.38760694676,2197.39814241713,2142.75881381563
"3",2118.29482678957,2152.17840518864,2170.50899348644,2197.71779337395,2126.97650270847,2153.99227060096,2230.23471351998,2182.61295248618,2191.36278679391,2116.96147041958,2135.44327813183,2046.40482242686,2055.80863282032,2314.16648047271,2153.21633562055,2107.17902224466,2166.76996319618,2115.62655556344,2108.12063369985,2085.94621305167,2098.39691199,2148.81676329712,2102.52405299136,2069.4963698245,2056.27888182089,2182.78503728229,2127.70197469246,2178.82092167295,2114.675339795,2194.1055211777,2217.52948241511,2167.4035441733,2131.44399254073,2245.77152796531,2171.36473042992,2244.02837124197,2183.01141774942,2193.7521496497,2155.77546423231,2093.77287512575,2181.57450882503,2154.97071010856,2217.17663711985,2244.2627634661,2240.03555148886,2101.83305011971,2164.62998202591,2152.87118258323,2184.92037183913,2129.95743361344,2065.4162316358
"4",2118.29482678957,2001.46718072108,2047.85889889929,2034.94941417086,2054.25799752173,2092.99745758755,1988.08025161335,2044.34620097873,2087.55318171384,2008.28560969346,1978.06690700365,2021.33020961509,1993.79959023833,2058.17536366161,2064.41302051859,1978.84180584504,1981.47159245529,2099.75581671439,1902.78221562384,1901.31353924326,1992.04414454718,2013.54626706431,2052.65437622002,2069.4963698245,2049.72878691474,2019.55770277205,2094.69419242801,2048.88410756191,2061.43205601479,2099.51664117019,2052.12956807537,2062.60262562734,1962.55653859497,2095.5016583425,2002.2515248847,2065.3930257827,2083.04714992556,2070.8194085565,2091.62902986329,1982.2463912005,2022.2181758882,2112.70429118399,2059.21476185444,1985.27933050782,2086.31613457017,1942.73621247823,2084.65660362701,2074.23534496931,2092.77634473677,2036.15402852476,1998.48635469405
"5",1833.13210364372,1906.39249274034,1859.85758830002,1882.92212542499,1867.30724170915,1839.17140956989,1847.82966690645,1871.3728818945,1880.79102606379,1858.0080865366,1848.41655142707,1860.63163530318,1870.57267028651,1837.90434318583,1842.67145337233,1808.52636189658,1833.39024273834,1832.02752107269,1819.72966533631,1850.85270392775,1867.1530836986,1820.96492060697,1844.88602358092,1859.83980327845,1847.06366381414,1781.83260684932,1780.995421441,1827.05899132212,1876.97479341776,1879.16069652897,1842.00150824318,1841.21855093366,1872.34165940658,1838.58196633208,1830.88099132006,1909.23877450747,1883.7649552144,1747.72761399003,1868.02187060519,1852.80227101462,1897.41673750174,1840.99251590092,1871.61676506075,1831.80660165811,1854.40109572317,1818.06577282083,1832.88431592084,1873.14503815638,1883.96075330033,1838.90179003427,1833.83575402676
"6",1702.48419247211,1689.17954374125,1710.67768803996,1700.31573895725,1681.54380871559,1690.65102278607,1707.95892619518,1697.37873518423,1736.06201106437,1720.17176896904,1692.6548422478,1713.93235369184,1715.416165711,1658.0586630133,1707.30262677155,1690.99042164874,1709.87026942884,1692.70663157576,1698.09596602938,1669.34143950945,1711.65182925496,1704.395487691,1689.7065042694,1712.21247475837,1717.22275704636,1671.38237451345,1684.17439464897,1700.21068468617,1692.49473735538,1663.04232185272,1711.83698888652,1705.41205084175,1672.09083609535,1714.61704393979,1673.78871813716,1695.43983632071,1709.15956814036,1692.15964258623,1707.77946306024,1694.88506789917,1704.64407915727,1684.08170255935,1690.7366518582,1687.07458469655,1715.34417141711,1686.22566028968,1688.47351235285,1728.04806910082,1670.68041986615,1689.47585594034,1684.58519089906
"7",1670.84828824337,1657.62089246983,1632.85543303632,1630.26461707682,1630.46564182189,1608.34445315023,1641.11030563847,1652.05564001021,1659.7426315445,1668.4787138028,1632.07699678345,1641.32320838811,1632.16672738711,1636.47090271909,1635.50482969714,1637.11428204476,1662.79289098838,1658.31187561839,1666.73997919976,1639.93064727588,1636.01643230247,1651.36633760167,1628.09704455766,1622.49191332673,1663.62515153325,1636.53878578078,1622.91619894538,1625.80058783431,1640.31735076002,1642.87816054101,1647.05125774501,1674.85447065522,1656.68540925654,1640.00392296887,1615.40457880758,1654.10352531715,1659.55338263827,1604.22813683575,1649.68041476197,1647.99149269216,1632.70726349454,1658.17276018916,1658.59405558614,1659.87049026663,1625.56501584342,1658.72470810806,1657.89630756376,1655.06699330413,1653.3320156535,1647.97984163759,1609.83672549293
"8",1613.39720236088,1597.73684466226,1601.88667571365,1576.5032628861,1600.57363829307,1586.2975853737,1589.84696299131,1608.24929471099,1602.84030631507,1638.78992106356,1581.54972914134,1641.32320838811,1558.93727877034,1562.63466670511,1558.11118784943,1578.01774474296,1601.67785982565,1610.38202656478,1605.75482318866,1601.13791711249,1573.74972191372,1513.51668747568,1603.64090691711,1564.81892704321,1611.30186250359,1593.1314820936,1584.59239858495,1574.72003283699,1587.02579164699,1554.19540336564,1540.93432938068,1598.14154638318,1593.95765739465,1545.68352027762,1564.67582634959,1640.85565480814,1623.38554749639,1601.08791344925,1517.02802180658,1490.48794130107,1597.98498218861,1626.69004236996,1601.10614569299,1551.32423477849,1614.34885014225,1573.1502382406,1555.93096595873,1587.68095913466,1569.7167635919,1519.16967115887,1538.15876378432
"9",1272.47602956288,1190.11828421558,1237.88868117279,1351.50602264261,1347.41617298715,1315.49505845476,1101.92862631987,1309.56619920135,1259.35755735064,1345.12567905794,1157.09094451587,1334.36426728547,1245.73826792997,1214.9484166211,1133.28508806105,1115.47012865952,1383.04116883879,1173.15823380996,1399.06900429982,1229.75243536965,1268.05264089112,1143.35982052267,1255.49468933668,1309.46882887518,1202.89017652843,1378.31145697099,1198.35324057464,1169.30144480641,1286.39708413922,1076.96984294404,1146.71617220237,1273.99094575858,1257.23245646754,1224.46709470492,1099.35115591446,1373.76483375158,1390.04745744734,1238.89896732373,1166.19607058087,1178.07006391461,1209.50282369862,1269.3382800486,1226.16289034289,1263.08847043666,1224.22798113509,1181.8234662223,1155.05804205104,1241.29884391273,1283.54080523171,1101.87512675429,1203.01059188439
"10",935.551332032973,918.274364538757,927.231317001616,961.744676842071,918.603962463717,954.046067224344,916.359445660609,903.259144879357,916.018593488098,925.314448012398,907.509162215209,923.178294918726,917.361540408678,923.11073972537,891.500067632536,895.647184926958,921.957167331761,923.574909147833,938.416279600409,922.652957714152,912.128986599449,908.57417376374,928.736873114187,912.192025412528,909.768004640288,940.980176434576,904.080049413509,900.51437284346,938.086729529071,906.117105022489,898.18127052687,915.970946699195,928.180672040003,900.657642322481,908.598433697568,933.2707370946,920.318827577365,921.933861491248,907.485607468776,919.447072836679,900.958027559158,940.183395369505,909.171422651629,918.408912556817,915.685798087214,899.238820843439,913.677094523534,910.573715479857,917.111303953242,910.691667926314,928.222244035663
