"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30"
"1",15837312536.3385,2.39070602316502e+36,104906.725014268,292.072145855424,293.510182479074,32.9912315245676,308.59987206902,276.972456799841,6086.77126498473,7415.3699488526,7054.60374846111,1696308198.69947,343747998.150151,310831.946839624,68947880.5617763,1672.67819578408,683.024105069089,11559474.6242347,39978530.4060216,725.305672318501,463.212933773298,5924.30131009675,581.307872997163,629.596561514993,875.939150102702,3390.633839708,546.478309904825,1596.44786550028,2047.79240745758,55817370.0123344
"2",20014676043.1847,8.66793714031921e+36,97288.7326510367,571.228228545234,242.646531487266,40.023161684181,329.912909741979,259.58467960004,6894.50290077118,7253.83536211455,5112.23201970088,1355277756.58796,290094778.439721,754790.402872822,8679020.40493041,1892.17419424578,813.97355448282,7503442.49612138,18900.9931988225,867.721342127749,431.252183715673,2282.53063355796,568.456334860395,622.032099211794,1712.62796802474,3407.83001078907,512.531856947613,591.642167927004,2396.86129805387,53873002.08443
"3",70725.5137183265,3.15780986297387e+34,104383.776508571,216.951650573874,241.41373441801,42.395378780461,341.432519894271,288.758003511532,6568.65322249879,7213.26418392996,5434.21328884162,1466731971.67506,758554311.77622,400948.471726047,65903123.5600539,1945.97718159201,688.380533950079,8422160.23362812,174162.370738028,635.16781383938,442.866857156669,6110.75358912033,560.476950441417,632.725367022542,2333.50558069075,3451.07263465156,558.89421770847,1693.76424959442,2243.279894768,258644210.294743
"4",210818.070269763,2.94813347198237e+37,87119.5549670186,1540.42182634019,272.088651890776,43.6306693321844,251.175919112831,263.706277825436,6940.77403056496,7291.41885380077,6051.42490687677,1586690171.86485,392359678.87808,546125.232441252,1478.08646221618,2028.10335311519,681.00193601492,6037658.89244868,98338.5836001623,851.994968251612,473.288496166677,1296.95276642727,554.132772951176,610.3301212629,606.92184942732,3178.32003933752,512.785762569272,853.158177549005,2357.91360214201,36037333.9649262
"5",136751.461209054,2.04475104587617e+36,67272.9580282582,1268.68586288045,251.435066027411,41.2597974889629,188.223943320292,285.230493796428,6507.31149979533,7502.84955967841,4453.28096157428,1189158888.19167,456482345.961668,475064.115734218,1731.58750731233,1881.46395833081,671.371560446958,4525710.10877985,31827.893540026,850.327589821216,451.886047055351,5665.70059656863,582.984672530346,624.12078631102,563.055751085095,3527.42519818444,496.21659353963,1419.87115035083,2593.73019174379,54757540.8362695
"6",14366170111.3427,7.94632111518389e+33,105928.055349781,470.403968999806,211.817982793374,42.8650693905113,442.504554214783,274.624048278478,5684.38475514951,7450.95805633496,6993.19530139332,393083608.203001,470694283.156103,517380.827261461,64663385.3515784,1704.79308469071,818.391860236596,5541698.79816872,145264.192920692,806.293274538369,450.693563545057,6066.8444718738,566.498842819094,632.37161866956,699.874843828938,3846.68066341489,507.970727723766,1177.14377763097,2509.35009164191,63669073.9115807
"7",4185501234.39801,3.41749495988901e+35,113191.255640547,69.5716000598263,292.536141128039,40.6151031445386,270.302318329375,289.150702292028,6551.84454375801,7054.892429504,4234.55525257844,411083222.9249,401120257.298205,577050.325686915,69660193.5681468,2090.96389815487,740.365606305605,4859437.9289621,7973.20137927312,694.908835786823,428.243963117811,3719.69539271171,580.780015419838,614.229354284477,1522.34892871093,3443.41284688022,614.660050319073,300.152930097944,2937.10658471035,74207287.1352967
"8",7138138430.05395,5.74380024569894e+36,90764.305824303,219.558256748644,264.255936503364,37.9920511532553,250.812555364794,249.535959463655,5800.47184155041,6189.87481272807,6066.47152496067,1634000264.50993,626414009.58421,316199.911107469,25665636.6882556,1775.99720687979,636.238839568286,10730513.3900582,136079.892748829,847.181390642883,439.751355500998,5684.98470015065,572.784123966525,629.95545848034,561.100042155054,3443.94758062362,519.280895226297,940.08078598313,2181.91137039715,29276776.3589053
"9",3826497561.72287,7.38441234922507e+35,96993.9625150418,1856.65074179474,228.535010334322,33.9624544708339,239.10952428953,292.77712811433,5773.10649993848,7504.98631864417,4077.84520233188,1963643254.34982,503911756.129383,243233.653990541,48943164.3923605,1690.35113924341,693.338254248267,9841484.18838119,110229059.061096,831.908314546865,457.391430448761,5597.11289476134,551.772557766041,629.793091422354,1502.94992771385,3761.1444222055,511.077648548105,776.199315412946,2566.59699804751,48618349.48636
"10",12134619748.754,2.22252610148098e+36,106307.281498648,202.460829202187,270.401461582284,39.9299513533256,229.651753014547,250.285397913441,4834.98743740218,7557.91573677364,5250.47010496898,455949820.137584,370214838.709094,257605.198813225,84373331.3160463,1937.62088937208,826.833264841106,8383523.24024193,141061.552669315,870.848737854121,462.449242644844,2482.79042696822,550.184254486645,632.977157826675,1248.39143142705,3260.97934048435,593.075843231064,925.504711500829,2653.50693118084,56110506.8617918
"11",6541052488.46026,2.26227948370436e+35,118010.559263651,180.606441566423,225.336990727208,39.7611215751805,321.098167676352,277.030153062369,7109.60883931824,7244.31474828152,6303.5909945093,368734135.708765,536700122.236617,446854.098939703,28317973.0506785,1844.30374450118,752.963390325055,4567047.85481553,124999.79225349,903.12552659466,472.827767602173,1820.90392000516,561.694425926322,622.713859961886,1539.77873255176,3237.96869167106,510.349488056489,1243.76082468719,2946.83501892797,44655076.0366314
"12",2459571316.38658,4.95957280415135e+36,81081.9845647602,1283.97922630583,207.448702247704,37.4068966240932,204.619281464692,238.413879743088,6780.6474145436,7221.37064637727,5012.53885310131,2124634925.64669,647194016.484884,819190.566259747,2340.82166112546,1999.44266359526,686.275369212881,7548657.6292838,123937.205154476,805.451767622477,450.382097444725,5490.04801134638,573.641846354702,628.108008420794,1060.27880599594,3682.33259999513,671.919781321529,889.966550698647,2051.43149184923,117955670.200196
"13",9791946427.1171,1.45879791599953e+34,92474.6312098737,58.7703277809055,269.551124997751,34.5652368779646,247.830638187238,271.38890524727,5278.0718744357,6729.81633641181,6115.85930902315,1809791974.78238,527499436.130945,276627.266625028,136838599.430441,1958.8510780658,862.321593849438,9082445.33806111,184200.073479986,605.888240139721,472.636903497586,1248.74736068587,563.291192385027,621.290509348813,1686.56381516188,3446.14070639345,518.562567299542,1078.15552648653,2393.69115887314,127773701.91797
"14",7824047897.23499,2.69520824401884e+35,95260.6074098862,1145.49115631634,230.451872113215,25.8186233148493,251.661921064566,256.169538369415,4800.08160989568,7411.67189912719,8576.69034143918,1114525768.19925,137588994.814346,511620.507160786,1633.49149654419,1508.08339292002,739.418844717273,6975358.49947215,26392.6732258331,742.970131573624,451.478793638923,5155.6510055453,571.328108077319,633.251308654577,1814.44553337066,3648.35433586824,519.415353843079,414.069358799088,2890.82623208979,114343829.026712
"15",11711047389.4007,6.38266004407829e+35,96358.5697325237,413.161774179946,238.360648139895,44.2003291001388,275.752556900889,257.476858484993,5559.10983826872,7558.80846040962,8055.96970511755,1470106279.64121,80032139.9267621,612086.64117294,1239.04216180853,1967.59966877665,605.845108230948,6917170.17448308,172533.870816929,704.420608406022,429.69811343318,5977.9437884641,527.898086406264,593.675321618452,679.986366324474,3466.95559584288,508.710531108709,1440.48978271404,2757.88847405478,58075992.6959939
"16",7182201330.94157,8.41185031091803e+34,69902.1788054128,321.87633856393,299.523669205532,44.842705290463,211.829847271235,267.838453354693,5178.45968342428,7456.53035171607,5927.67901675956,327664356.553372,619094156.028822,660007.548084719,28057555.6581698,2118.17500276484,727.871467891456,7886500.31358288,13042307.3994623,790.122247664106,457.538189475898,2156.79354385295,556.024970991467,639.88397701649,862.832573753795,3052.59524068967,520.307061721564,1007.07910475312,2518.05576680971,142542918.519416
"17",5878668160.05202,3.69135702580906e+37,127841.332178417,319.895896265829,285.395750053319,40.3641732499993,224.761369481889,300.583438770406,6137.74078897772,7721.72577463225,8069.02061349673,1798079966.52164,687625597.140244,132607.110550474,1018.63007571672,2048.12298218957,702.034024928488,5567846.91507219,154126.378194532,770.717854725804,470.067981601749,1444.63073613833,562.365287522573,636.031115445558,1650.9937291488,3306.3696731266,514.005449264414,882.578240151634,2166.93835436774,133444217.187029
