Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,3619.18033924269,1.60414685979049e-08,315899098.709226,10667407.7417156,53232101.6025604,0              
 [2] CEC2017 N=2 D=10,3348,37,105337,8562.88235294118,19402.9338520205,1.90196078431373                                       
 [3] CEC2017 N=3 D=10,40.5759888476368,0.00526618993905004,2449.7677612823,234.045329162553,519.900439718233,0                
 [4] CEC2017 N=4 D=10,7.10499597726124,0.11606340410259,80.1733461451994,12.3522902155498,18.2440051540517,0                  
 [5] CEC2017 N=5 D=10,14.3707287226339,3.97986255452383,40.810849334818,14.705514996216,8.24779561484168,0.980392156862745    
 [6] CEC2017 N=6 D=10,7.89705448490054,0.401785602765017,21.0659492893824,8.19395693403982,4.70381287255728,0.0980392156862745
 [7] CEC2017 N=7 D=10,17.3948510759726,11.3312795671535,49.1829050734385,20.7764260846785,8.30226157457342,0.705882352941177  
 [8] CEC2017 N=8 D=10,7.96088602555085,1.99065938066599,16.9145391909025,8.43490170844596,3.93308682689038,1.19607843137255   
 [9] CEC2017 N=9 D=10,23.2473167238758,0.633788641322781,278.36142437649,47.4152287429058,56.3537214567216,0.254901960784314  
[10] CEC2017 N=10 D=10,890.174973292769,220.805016903452,1681.57960954779,898.550919630555,350.265768121464,0.568627450980392 
[11] CEC2017 N=11 D=10,43.6842034692988,8.26823516959666,135.11666665505,49.964130518896,31.4765922853064,0.137254901960784   
[12] CEC2017 N=12 D=10,1735.3681109162,379.916638965776,18141.3061106292,2993.43630564465,3473.95319218254,0                  
[13] CEC2017 N=13 D=10,325.106600813753,41.1316913296289,1672.57900157892,374.267460906497,259.473716732564,0                 
[14] CEC2017 N=14 D=10,57.1037533948829,24.2560527530638,109.670712498819,58.2301916043187,19.5250232321222,0.0784313725490196
[15] CEC2017 N=15 D=10,91.2370002054863,34.5688321297264,511.077248670477,117.013990726592,88.9599000731264,0                 
[16] CEC2017 N=16 D=10,241.550958117139,2.9606921563352,542.400707340041,198.807271182136,139.963665737219,0                  
[17] CEC2017 N=17 D=10,51.0602220692676,25.774584453837,109.690245847366,50.8006356752156,13.8055832162364,0                  
[18] CEC2017 N=18 D=10,137.686596816208,23.6545087313816,721.490022992424,156.226412743666,120.869181188057,0                 
[19] CEC2017 N=19 D=10,20.7983971289716,3.68719107292668,111.131396957036,28.0621284595034,22.8319315447688,0                 
[20] CEC2017 N=20 D=10,138.60266835646,20.0062614893529,193.68126853736,108.982102783735,61.4480228246534,0                   
[21] CEC2017 N=21 D=10,211.079462876626,102.265184067261,228.707492118504,208.345747650694,22.9225117880057,1.15686274509804  
[22] CEC2017 N=22 D=10,103.778097741331,100.583272133749,142.423637493754,106.285683248118,7.14254185633092,0.196078431372549 
[23] CEC2017 N=23 D=10,344.369485823608,311.035986054709,454.233336878828,346.533429350475,25.2708419397322,0.0196078431372549
[24] CEC2017 N=24 D=10,353.416023686278,100.790731234704,483.012721545929,312.526931088888,105.607288879611,0.647058823529412 
[25] CEC2017 N=25 D=10,443.907368459353,397.947629576444,454.708948793051,428.215765867779,22.0476052392517,0.372549019607843 
[26] CEC2017 N=26 D=10,413.607170936955,200.751372880616,1477.55651214136,472.684554059912,263.271594180586,0.0588235294117647
[27] CEC2017 N=27 D=10,430.688947272512,397.0833104489,539.704825052942,445.596005893241,39.7692887054146,0.0392156862745098  
[28] CEC2017 N=28 D=10,602.410928714516,300.17036735075,683.811183421382,565.600994411922,107.786219607404,0                  
[29] CEC2017 N=29 D=10,313.318764487019,257.586999647881,562.505827583543,330.774158539352,65.4825088182527,0                 
[30] CEC2017 N=30 D=10,1921.65881760952,705.92698430714,4756562.66017175,493280.921952756,1017430.10773138,0.0196078431372549 
 [1] CEC2017 N=1 D=30,320207705.928582,21435463.0521923,2799767370.98069,494969100.262538,544658278.393125,0                
 [2] CEC2017 N=2 D=30,5.39703127407855e+20,3992156841654039,7.93781371153231e+25,1.76030847889142e+24,1.11028956798785e+25,0
 [3] CEC2017 N=3 D=30,7431.28522298555,1548.83232510438,16672.9997720592,8057.93630847437,3817.65895718633,0                
 [4] CEC2017 N=4 D=30,195.728422928051,115.384788658038,579.58509029877,215.564718675008,82.0782376783073,0                 
 [5] CEC2017 N=5 D=30,87.2652000220859,40.2230465869991,130.467556726485,84.0992209995941,19.3094276114948,0                
 [6] CEC2017 N=6 D=30,22.5173681734768,11.2710148620226,36.8503581422715,22.5804140602889,6.3754058603344,0                 
 [7] CEC2017 N=7 D=30,114.086347581015,57.5708327468345,214.726459654407,117.916719377672,29.5147087254457,0                
 [8] CEC2017 N=8 D=30,66.3169797843954,28.4148145783385,109.825397303285,64.6262032694926,16.0142735330313,0                
