Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,1547884624.22072,106106750.851618,6579455491.7909,2080207851.61008,1592836143.31761,0                   
 [2] CEC2017 N=2 D=10,318370739,362126,176126799440,5445024253.47059,24921722657.0185,0                                       
 [3] CEC2017 N=3 D=10,5310.67553039721,1109.73012999079,14345.0719217175,5244.88364989666,2495.93803448255,0                  
 [4] CEC2017 N=4 D=10,98.183357652206,33.3875916601305,463.789718371115,125.586312713296,93.6435387248494,0.0196078431372549  
 [5] CEC2017 N=5 D=10,52.2104616475838,23.4432101507309,80.1179028698219,53.4740006969122,13.0050407953643,0                  
 [6] CEC2017 N=6 D=10,25.3078999586514,11.034850405352,43.438808586879,25.0984104015019,7.97359079714377,0.0196078431372549   
 [7] CEC2017 N=7 D=10,59.2849781316828,35.5910731446985,97.1995294037354,61.7471958305419,13.0217200502747,0                  
 [8] CEC2017 N=8 D=10,37.3991298504561,12.7344266589831,55.5706086713116,35.8238671509837,9.62355955617574,0                  
 [9] CEC2017 N=9 D=10,205.977214299212,21.7462724823762,541.973205678467,206.488349722449,130.061924877799,0                  
[10] CEC2017 N=10 D=10,1584.35170356598,818.668824633215,2127.97489376333,1535.05401165284,292.007956060114,0                 
[11] CEC2017 N=11 D=10,828.290410579636,170.281079277538,4779.01767698373,1191.94456678496,1127.57180302852,0                 
[12] CEC2017 N=12 D=10,4108545.48952511,263408.734734627,23931133.3206603,5886836.66747382,5291973.72032143,0                 
[13] CEC2017 N=13 D=10,14007.6879953368,4394.86589822306,162016.162548202,20400.0200641577,23146.5020674763,0                 
[14] CEC2017 N=14 D=10,4495.49039139703,303.450558087003,14371.9608257541,4679.02257367285,2834.07353169366,0                 
[15] CEC2017 N=15 D=10,16242.3716317444,6494.1995534525,30727.1145068844,17705.8600978118,6797.68973245311,0                  
[16] CEC2017 N=16 D=10,341.690396799469,33.7289117526686,687.59840200891,350.550058596528,164.224534457163,0                  
[17] CEC2017 N=17 D=10,85.7615856641357,49.7982894088939,300.088764481714,94.1898407136735,36.6348105100131,0                 
[18] CEC2017 N=18 D=10,33850.5174112063,1466.86534536155,2192024.19671553,158781.199433422,339174.605984043,0                 
[19] CEC2017 N=19 D=10,77100.8190224077,3148.57283976011,2467347.83690339,310847.401822441,541382.188945874,0.0196078431372549
[20] CEC2017 N=20 D=10,131.560110514773,50.2721828473173,286.101718283721,136.853392199167,66.7882244664356,0                 
[21] CEC2017 N=21 D=10,250.769305995746,146.527301342033,286.100566884083,247.517207316193,24.5700969911551,0                 
[22] CEC2017 N=22 D=10,225.253469410138,122.652530872506,707.541868005789,247.752481904285,107.607045020865,0.0392156862745098
[23] CEC2017 N=23 D=10,387.955334443235,351.903981700703,458.627329485759,391.893569077436,26.827983472323,0.0588235294117647 
[24] CEC2017 N=24 D=10,402.243033049548,165.948940916793,470.087323429957,391.056663888026,62.2578158635727,0                 
[25] CEC2017 N=25 D=10,498.175974245146,449.251603444784,689.806985692115,511.748218976636,51.130185017663,0.0196078431372549 
[26] CEC2017 N=26 D=10,881.853501740517,459.440310008029,1832.47991392399,975.146928090365,400.813444353833,0.0392156862745098
[27] CEC2017 N=27 D=10,462.133807722613,416.055830314644,541.287920163745,465.60415110254,35.4660804624562,0.235294117647059  
[28] CEC2017 N=28 D=10,754.451108939678,406.375582708773,993.261906420408,777.909085554178,126.955248791773,0.0784313725490196
[29] CEC2017 N=29 D=10,441.24143018326,313.772117836529,709.350816998101,460.271580293412,105.821185200278,0                  
[30] CEC2017 N=30 D=10,3144751.54172683,73363.4823797354,22867013.5717364,4858089.40448581,5096316.59582035,0.0196078431372549
 [1] CEC2017 N=1 D=30,9359467284.05572,3933673449.44163,20496475378.611,9285223661.422,3640567210.53115,0                       
 [2] CEC2017 N=2 D=30,8.57945467335099e+32,5.35424548418035e+29,1.42207272667605e+36,4.53805301027882e+34,2.00540281363371e+35,0
 [3] CEC2017 N=3 D=30,69741.8355924749,51924.9148791228,88078.5578605023,68079.6362054582,8433.12971091042,0                    
 [4] CEC2017 N=4 D=30,1158.48279343342,543.607105673431,3397.00268834203,1264.30612708021,663.790818103817,0                    
 [5] CEC2017 N=5 D=30,232.317246823922,159.925137868065,297.072913875908,227.666067292244,26.8528253057794,0                    
 [6] CEC2017 N=6 D=30,44.6457619300631,28.0072331835637,63.8223101574495,44.0860667494118,8.76491539982472,0                    
 [7] CEC2017 N=7 D=30,358.110845392735,281.051253214245,465.052555691422,354.684016488167,41.9418066842576,0                    
