Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,7.11801817487867e-09,3.68632413483283e-09,1.56734500933453e-08,8.12977474447061e-09,2.94896896341355e-09,0             
 [2] CEC2017 N=2 D=10,0,0,0,0,0,8.58823529411765                                                                                             
 [3] CEC2017 N=3 D=10,1.13686837721616e-13,5.6843418860808e-14,4.54747350886464e-13,1.3374922084896e-13,9.01096602250269e-14,5.56862745098039
 [4] CEC2017 N=4 D=10,0,0,9.66338120633736e-13,5.3499688339584e-14,1.86948927338356e-13,4.96078431372549                                     
 [5] CEC2017 N=5 D=10,1.98991811803029,3.01531599689042e-09,3.97983623526488,1.95090011843409,1.05222805936531,3.6078431372549               
 [6] CEC2017 N=6 D=10,1.58747866407793e-07,8.36758999867016e-08,1.40143028414695,0.113421616760093,0.338961388440032,2.23529411764706        
 [7] CEC2017 N=7 D=10,11.8197207130333,10.8936347994038,14.0293955228234,12.0051931102807,0.676645500555159,2                                
 [8] CEC2017 N=8 D=10,1.98991811697965,1.02699004855822e-08,3.97983622837319,1.85335511482157,0.867832644902562,3.17647058823529             
 [9] CEC2017 N=9 D=10,0,0,0,0,0,5.94117647058824                                                                                             
[10] CEC2017 N=10 D=10,3.41496068769175,0.124908882077762,122.103113070099,8.09116844621482,23.5101715271121,3.03921568627451                
[11] CEC2017 N=11 D=10,9.5983523351606e-09,0,1.98991812602821,0.370671028200823,0.628032288543567,3.72549019607843                           
[12] CEC2017 N=12 D=10,453.345081372814,129.61128970255,871.517723734607,445.317632750575,171.058904369343,0                                 
[13] CEC2017 N=13 D=10,3.9798311942875,7.43284545023926e-10,22.7648224412753,4.24488908224281,4.20428395677608,2.05882352941176              
[14] CEC2017 N=14 D=10,4.97479032589376,4.00114004150964e-08,28.9730233575622,10.2872803355495,9.96330543394107,0                            
[15] CEC2017 N=15 D=10,1.45402949908726,0.00580728123873087,21.0650343874904,2.49776360994036,3.53204238676038,0.156862745098039             
[16] CEC2017 N=16 D=10,1.49294122647461,0.231481443926896,121.30346168996,10.6879441045753,32.3464857891181,0.196078431372549                
[17] CEC2017 N=17 D=10,22.0519309343554,1.49054680866629,43.1376623718011,20.0193167700266,9.02402284066891,0                                
[18] CEC2017 N=18 D=10,22.5173136972508,4.29326824663531,55.445662345496,26.2805270386936,10.8254896795385,0                                 
[19] CEC2017 N=19 D=10,2.03303649932127,0.429920648920643,6.5090579882492,2.28704186869102,1.33969780141711,0                                
[20] CEC2017 N=20 D=10,20.3599470002639,4.63867831967946e-06,140.420401993142,19.6199677953174,28.7331064190874,0                            
[21] CEC2017 N=21 D=10,202.719459124342,100.00000014858,204.916051243165,199.984825774477,14.6457223887862,3.90196078431373                  
[22] CEC2017 N=22 D=10,100.000000026195,100.000000016854,100.00000009865,100.00000002669,1.11008987942696e-08,4                              
[23] CEC2017 N=23 D=10,300.000000143726,300.000000007323,310.382244084381,301.576400339737,2.39497056376469,4                                
[24] CEC2017 N=24 D=10,326.735143410004,100.000000168503,329.644977827076,316.659667017273,34.4427379389073,4.64705882352941                 
[25] CEC2017 N=25 D=10,398.008989444355,397.742869469987,443.384957011472,406.898309965045,18.188881073943,4.94117647058824                  
[26] CEC2017 N=26 D=10,300.000000149249,200.000001502086,1188.36510388317,315.458139468297,125.459626942699,0                                
[27] CEC2017 N=27 D=10,395.010928562802,389.517990249899,406.916483526904,395.592326877868,3.15353399706088,2.03921568627451                 
[28] CEC2017 N=28 D=10,583.745226311946,300.000000169823,646.480341393877,537.604505694189,127.641330896309,0                                
[29] CEC2017 N=29 D=10,233.976347582377,218.258744863285,358.639839923158,237.671244497258,19.0414005433488,0                                
[30] CEC2017 N=30 D=10,464.139107402846,394.500777575385,1249131.73162809,194499.375529958,407917.568998609,0                                
 [1] CEC2017 N=1 D=30,3.83594880304372e-08,2.59099834920562e-08,5.10480901994015e-08,3.91762591343471e-08,6.15276489375371e-09,0               
 [2] CEC2017 N=2 D=30,0,0,1,0.0392156862745098,0.196039211763921,1.6078431372549                                                               
 [3] CEC2017 N=3 D=30,7.85064457886619e-09,2.27373675443232e-12,1.20033405437425e-08,7.76803437260884e-09,2.54391921741023e-09,1.96078431372549
 [4] CEC2017 N=4 D=30,58.5615575465272,0.730074423477447,64.1173953781558,55.3670746151281,13.4063792808728,0                                  
 [5] CEC2017 N=5 D=30,3.9798362336029,0.994959083557887,6.96471348818068,3.72621993280854,1.37640161691748,1                                   
 [6] CEC2017 N=6 D=30,3.25309770232707e-07,2.25239773499197e-07,7.75063199398573e-07,3.30999254776329e-07,7.09804018115384e-08,1               
 [7] CEC2017 N=7 D=30,35.5331636016364,32.6485571258335,38.9452077524518,35.6132824763786,1.41001719310337,0.901960784313726                   
 [8] CEC2017 N=8 D=30,3.97983645461898,0.994959064037516,6.96471353723439,4.37001670499343,1.60529088309253,1                                  
 [9] CEC2017 N=9 D=30,8.30004864837974e-09,4.28485691372771e-09,1.63267941388767e-08,8.88581004854881e-09,2.74551051326879e-09,2               
[10] CEC2017 N=10 D=30,124.830507841985,4.07016870797452,361.735103739093,117.040642526427,93.4793389932601,1                                  
[11] CEC2017 N=11 D=30,8.95462648755301,0.994959072756501,80.8732553111493,24.6734214147979,27.37837206797,0.745098039215686                   
[12] CEC2017 N=12 D=30,1118.65511592712,429.947593508504,1945.57706139105,1129.63329837904,319.220423601517,0                                  
[13] CEC2017 N=13 D=30,39.7013651636246,4.9747953139954,136.98992694965,44.2541551725586,23.5559812777987,0                                    
[14] CEC2017 N=14 D=30,25.1337982318057,21.1452383762171,62.9537354394331,26.7824870953449,6.1719189596591,0                                   
[15] CEC2017 N=15 D=30,27.0740398209957,3.22214526758489,72.4061278709587,29.6446738889212,17.0875769829404,0                                  
[16] CEC2017 N=16 D=30,26.345786151529,2.53308350360453,266.129105651769,63.0275734266926,69.5409617068768,0.0392156862745098                  
[17] CEC2017 N=17 D=30,30.5308484389398,2.35070252745641,204.063741089041,58.0470058471604,41.2378500010215,0                                  
[18] CEC2017 N=18 D=30,34.3999710332223,11.0802544164981,89.3173844959169,36.807307009843,12.9803101827406,0                                   
[19] CEC2017 N=19 D=30,13.9527202668712,6.92514098288098,40.9860707089274,16.3925521323873,8.14393870192596,0                                  
[20] CEC2017 N=20 D=30,69.0379792112039,1.63000757834061,208.860792033289,68.4152356720228,53.3556213919698,0                                  
[21] CEC2017 N=21 D=30,205.77298188503,200.000000126275,217.941923831401,207.729545503956,4.9862601510705,0.745098039215686                    
[22] CEC2017 N=22 D=30,100.000000506202,100.000000419129,100.000000553844,100.000000502635,3.39166573800276e-08,0                              
[23] CEC2017 N=23 D=30,349.421113916138,337.380853559912,366.764797095473,350.425630077797,7.75433634213267,0.666666666666667                  
[24] CEC2017 N=24 D=30,418.67503694154,402.292319009784,424.498706212718,417.586485826474,4.50680164227354,1                                   
[25] CEC2017 N=25 D=30,386.695755821615,386.687827950575,386.736198230248,386.699544848003,0.00965869011450889,0                               
[26] CEC2017 N=26 D=30,693.824305493845,200.000003211142,872.923755485792,554.475215050325,274.346280149605,0.764705882352941                  
[27] CEC2017 N=27 D=30,508.110044627184,495.456266824694,525.209905483662,508.372206987081,6.83499817697547,0                                  
[28] CEC2017 N=28 D=30,300.000000166275,300.00000011751,413.975165773812,321.50985606279,44.0493787875233,0.941176470588235                    
