Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,8.54518589221698e-09,3.80545372991037e-09,1.63392428476072e-08,8.96933002815215e-09,3.11330683656642e-09,0              
 [2] CEC2017 N=2 D=10,0,0,0,0,0,8.70588235294118                                                                                              
 [3] CEC2017 N=3 D=10,1.13686837721616e-13,5.6843418860808e-14,4.54747350886464e-13,1.58269911337936e-13,8.53134129494406e-14,5.88235294117647
 [4] CEC2017 N=4 D=10,0,0,1.13686837721616e-13,1.0031191563672e-14,2.46621377549054e-14,4.98039215686275                                      
 [5] CEC2017 N=5 D=10,0.994959075988731,0,3.9798362374342,1.54121109650223,0.939985704232704,3.6078431372549                                  
 [6] CEC2017 N=6 D=10,1.51724748320703e-07,8.39900167193264e-08,1.58198208528825,0.117057334911726,0.347916170556688,2.35294117647059         
 [7] CEC2017 N=7 D=10,11.8417738748337,10.6520291613723,13.7662631169131,11.9294364425137,0.70403783566919,1.94117647058824                   
 [8] CEC2017 N=8 D=10,1.98991811418659,0,2.98487718929698,1.56072013851662,1.03886119591598,3.19607843137255                                  
 [9] CEC2017 N=9 D=10,0,0,3.20278559229337e-09,6.27997174959484e-11,4.48479687830025e-10,6                                                    
[10] CEC2017 N=10 D=10,0.437181095411688,0.0624544463335042,119.265448922957,5.66317509961773,17.1186869952917,3.09803921568627               
[11] CEC2017 N=11 D=10,6.9323959905887e-09,0,0.994959069761308,0.117054012086065,0.323755384932562,3.64705882352941                           
[12] CEC2017 N=12 D=10,414.753191361953,11.3810980764965,897.041916463392,440.83680456229,194.180310334653,0.0196078431372549                 
[13] CEC2017 N=13 D=10,2.98487717489115,7.86940290709026e-10,13.1798669259172,3.3137971249727,3.00440760567377,2.15686274509804               
[14] CEC2017 N=14 D=10,20.0095967699933,2.43035174207762e-08,26.9989279096797,12.2505868366604,10.2431446552186,0                             
[15] CEC2017 N=15 D=10,1.48928225579562,0.00712660515159769,17.9192159460181,3.25160585953751,4.09486104399105,0.0980392156862745             
[16] CEC2017 N=16 D=10,1.49089163876397,0.237886975138053,121.089023795176,6.08718233789554,23.3722906783649,0.254901960784314                
[17] CEC2017 N=17 D=10,22.219667650535,1.04428340219465,44.8234497648987,21.0428379012682,10.2555107375693,0                                  
[18] CEC2017 N=18 D=10,23.714171510371,0.497428786114597,167.294303157482,29.1335785290081,24.555002277803,0                                  
[19] CEC2017 N=19 D=10,2.45501184749446,0.141173726755824,15.4498625040856,2.51842495885526,2.34102687637871,0                                
[20] CEC2017 N=20 D=10,20.0245307125424,0.3121780518984,25.0054054377044,12.1658791015993,9.85502693498598,0                                  
[21] CEC2017 N=21 D=10,202.75888608335,174.211707092235,207.105690300355,201.581239943306,4.61621304562417,3.86274509803922                   
[22] CEC2017 N=22 D=10,100.000000026359,100.000000016222,100.000000096521,100.000000028488,1.42168181612966e-08,4                             
[23] CEC2017 N=23 D=10,300.000000139974,300.000000008811,308.148024092733,301.455780994113,1.98004079498788,4.2156862745098                   
[24] CEC2017 N=24 D=10,327.164706216575,100.000000123713,328.588539570385,305.374913610194,61.2115824525929,4.35294117647059                  
[25] CEC2017 N=25 D=10,397.745670887051,397.742869469987,443.399647007936,407.654875682575,18.8768994986078,5                                 
[26] CEC2017 N=26 D=10,300.000000161292,200.000001172553,300.000000189671,296.078431566646,19.6039209763304,0                                 
[27] CEC2017 N=27 D=10,395.074556547029,393.818764686313,402.761282610671,395.7199095421,2.32655673025358,1.94117647058824                    
[28] CEC2017 N=28 D=10,583.745226310662,300.000000171604,646.480341420538,526.068918404182,123.133170620198,0                                 
[29] CEC2017 N=29 D=10,232.878748782708,226.970978928992,259.060378027516,236.079825404174,7.67046397578602,0                                 
[30] CEC2017 N=30 D=10,464.134617379806,394.500776231314,1248762.77868335,154002.275048513,369075.951559683,0                                 
 [1] CEC2017 N=1 D=30,3.89270269351982e-08,2.08544435054137e-08,5.4749648370489e-08,3.95198881898407e-08,6.49410653735766e-09,0 
 [2] CEC2017 N=2 D=30,0,0,1,0.0588235294117647,0.237635410314402,1.66666666666667                                               
 [3] CEC2017 N=3 D=30,8.32176283438457e-09,4.36500613432145e-09,1.43793954521243e-08,8.16987499003481e-09,2.01259973141877e-09,2
 [4] CEC2017 N=4 D=30,58.5615575677273,0.0356652598887308,64.1173954036013,56.9211885129985,11.7403190741312,0                  
 [5] CEC2017 N=5 D=30,4.9747952921071,1.98991812182976,7.95967246677907,4.64314242694356,1.41643413544156,1                     
 [6] CEC2017 N=6 D=30,3.19586661134963e-07,2.28828525905556e-07,7.86285909271101e-07,3.34211676999985e-07,9.60293526200076e-08,1
 [7] CEC2017 N=7 D=30,35.4283001174622,32.7036772951805,38.6949564334202,35.6793429113272,1.3237783049988,0.901960784313726     
 [8] CEC2017 N=8 D=30,3.97983676242438,0.994959069201741,7.95967323798072,4.54559779084117,1.65600092150716,1                   
 [9] CEC2017 N=9 D=30,8.00878297013696e-09,5.01768226968125e-09,1.20126060210168e-08,8.04230275403539e-09,1.79298179774646e-09,2
[10] CEC2017 N=10 D=30,128.197116136766,5.26951977219323,432.66707463186,138.616835780307,110.443401449148,1                    
[11] CEC2017 N=11 D=30,9.95637544728061,1.98991812163285,78.8833422351436,27.3434770521801,28.9495408356762,0.686274509803922   
[12] CEC2017 N=12 D=30,1255.20925229564,362.649587895373,1883.58509238565,1212.00472068663,372.172606797152,0                   
[13] CEC2017 N=13 D=30,40.3064294731798,8.95462649406659,164.178862920542,48.6498757884828,31.5481701104191,0                   
[14] CEC2017 N=14 D=30,26.0766987546099,11.9395037466554,38.0572703141058,26.5890021663933,4.23764319580238,0                   
[15] CEC2017 N=15 D=30,28.1260993690269,5.06515763779635,87.7971255688753,32.3749380348203,19.7336458501946,0                   
[16] CEC2017 N=16 D=30,26.783507131466,2.82796055273411,508.919786243839,76.4169083551514,95.1249534774851,0                    
[17] CEC2017 N=17 D=30,24.8232662940238,20.3970977719409,202.72472395646,55.3994771491265,39.9608254525995,0                    
[18] CEC2017 N=18 D=30,29.2365038604041,21.4818325260267,98.7592266557992,35.062045884699,14.2714308258831,0                    
[19] CEC2017 N=19 D=30,14.3217765316192,6.27030821370522,35.1079891655638,16.3473549618103,7.37855411697146,0                   
[20] CEC2017 N=20 D=30,67.9736800075648,20.4164122628526,212.839072291644,70.6244089415082,53.241928608635,0                    
[21] CEC2017 N=21 D=30,205.746245657785,200.000000100871,217.260093517386,207.408589721102,4.26803984507752,0.803921568627451   
[22] CEC2017 N=22 D=30,100.000000510393,100.000000438438,100.00000058757,100.000000510036,3.48751101306257e-08,0                
[23] CEC2017 N=23 D=30,349.07460723535,338.731153533176,374.600115649634,350.0324771266,7.56675043450565,0.862745098039216      
[24] CEC2017 N=24 D=30,418.973241364718,404.456506492336,425.15947232679,418.064767954641,4.72942948122241,1                    
[25] CEC2017 N=25 D=30,386.698900452627,386.687827947164,386.723119159205,386.69948503158,0.00755465640347326,0                 
[26] CEC2017 N=26 D=30,735.959836873283,200.000003388833,888.903871623115,573.982263804149,272.232508725889,0.843137254901961   
[27] CEC2017 N=27 D=30,509.016899553254,490.793991956975,526.814914477033,509.896240076216,7.84551136836792,0                   
[28] CEC2017 N=28 D=30,300.000000158679,300.00000012679,451.711289945355,317.773433904755,42.121729459252,0.941176470588235     
[29] CEC2017 N=29 D=30,418.934501587645,393.713230904473,539.502525233821,443.474407621082,45.4967509030507,0                   
[30] CEC2017 N=30 D=30,2108.50934183764,1946.70693295886,2791.6510686975,2163.78918617828,165.168416590601,0                    
 [1] CEC2017 N=1 D=50,7.9464683722108e-08,5.90013939927303e-08,1.02473023844141e-07,7.95070239884772e-08,1.0567620887132e-08,0  
 [2] CEC2017 N=2 D=50,2,0,22,3.05882352941176,3.6683062287976,0.352941176470588                                                 
 [3] CEC2017 N=3 D=50,8.39855829326552e-09,5.5362647799484e-09,1.48609728967131e-08,8.94480348613476e-09,2.11373251169963e-09,1 
 [4] CEC2017 N=4 D=50,32.499478381866,28.5127116338314,142.30515714265,64.4437510443545,39.8233890024615,0                      
 [5] CEC2017 N=5 D=50,6.96471339965484,0.994959064076056,11.9395086972914,6.6135513843243,2.66844627944888,0.549019607843137    
 [6] CEC2017 N=6 D=50,3.49395236298733e-07,2.67126210928836e-07,4.3949523842457e-07,3.49152153777301e-07,3.70187361708692e-08,0 
