Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,7.70991448462155e-09,2.13655937386648e-09,1.63715725420843e-08,8.57746403751519e-09,3.39761042768777e-09,0              
 [2] CEC2017 N=2 D=10,0,0,0,0,0,8.7843137254902                                                                                               
 [3] CEC2017 N=3 D=10,1.13686837721616e-13,5.6843418860808e-14,3.97903932025656e-13,1.51582450295488e-13,8.17175633106059e-14,5.88235294117647
 [4] CEC2017 N=4 D=10,0,0,1.52908796735574e-11,3.4551882052648e-13,2.13887949666793e-12,4.96078431372549                                      
 [5] CEC2017 N=5 D=10,0.994959075597535,0,3.97983623475335,1.58022909539545,1.01810073315845,3.58823529411765                                 
 [6] CEC2017 N=6 D=10,1.65280653163791e-07,7.71220811657258e-08,1.40267844050118,0.101893764957468,0.333827146085556,2.23529411764706         
 [7] CEC2017 N=7 D=10,11.8739166267595,10.746448028028,13.9564380754018,11.9592912170351,0.757545747346884,1.96078431372549                   
 [8] CEC2017 N=8 D=10,1.98991811958797,0,2.98487719879165,1.7363011089234,0.908482886577345,3.19607843137255                                  
 [9] CEC2017 N=9 D=10,0,0,0,0,0,6                                                                                                             
[10] CEC2017 N=10 D=10,0.312272210289848,0.0624544455222349,15.3069403079917,2.14283677026737,3.74520087494446,3.03921568627451               
[11] CEC2017 N=11 D=10,8.89986040419899e-09,0,1.98991811418659,0.253617021897472,0.481014588698659,3.72549019607843                           
[12] CEC2017 N=12 D=10,406.072882136592,0.208142986623216,1006.80252440371,426.591862303258,241.175762205467,0                                
[13] CEC2017 N=13 D=10,2.98487717518583,4.44765646534506e-09,8.1920747401673,3.13519233669957,2.29197061740612,2.19607843137255               
[14] CEC2017 N=14 D=10,20.0165931233266,5.74457317270571e-08,32.9596727257222,13.5792996974587,10.5821841014097,0                             
[15] CEC2017 N=15 D=10,2.08459509729164,1.01815894595347e-05,18.1822137681863,3.53839610148526,3.80703500780762,0.0980392156862745            
[16] CEC2017 N=16 D=10,1.38360456454939,0.387045220370283,121.017642805482,15.2503648086029,38.7657454577912,0.352941176470588                
[17] CEC2017 N=17 D=10,23.6400413484739,0.491124278225925,80.5931057261018,23.1003010619126,12.3803168174145,0                                
[18] CEC2017 N=18 D=10,24.0816989793038,2.07699410772807,84.9936482551823,27.21680575395,14.9792160650077,0                                   
[19] CEC2017 N=19 D=10,2.43259034000903,0.019449109866855,10.5488280717407,2.30293409279952,1.79497539355972,0                                
[20] CEC2017 N=20 D=10,20.3574510958911,0.283743047585631,33.2665567201993,15.7638903380364,9.21346575178012,0                                
[21] CEC2017 N=21 D=10,201.978620316378,100.000000144054,205.049753062561,196.70564068834,17.6355636405018,3.90196078431373                   
[22] CEC2017 N=22 D=10,100.000000025518,100.000000016196,100.000000041145,100.000000025177,5.48109786739555e-09,4                             
[23] CEC2017 N=23 D=10,300.000000152555,300.000000008073,305.769503349486,301.583236584496,1.88611200979534,3.90196078431373                  
[24] CEC2017 N=24 D=10,326.108063735915,100.00000012069,330.243837869901,291.811104737816,77.8233256214269,4.37254901960784                   
[25] CEC2017 N=25 D=10,397.74567088248,397.742869469987,443.381617989478,402.330946238433,13.6600022750265,5                                  
[26] CEC2017 N=26 D=10,300.000000153027,200.000001182842,300.000000181427,294.1176472818,23.7635407402935,0.0392156862745098                  
[27] CEC2017 N=27 D=10,394.499806610961,389.517990242614,407.088481273266,395.245402668707,3.25174540806972,1.92156862745098                  
[28] CEC2017 N=28 D=10,583.74522631333,300.000000155315,646.480341311255,547.413001700759,112.374713750983,0                                  
[29] CEC2017 N=29 D=10,235.475029956366,227.137291956809,297.02594805475,237.665404200435,11.7516751434374,0                                  
[30] CEC2017 N=30 D=10,483.880178893995,394.500776756041,1248762.77924513,113528.686550383,320476.034657547,0                                 
 [1] CEC2017 N=1 D=30,4.03134094995039e-08,2.7395060442359e-08,5.19222709272071e-08,4.00540848070651e-08,5.07284668348535e-09,0          
 [2] CEC2017 N=2 D=30,0,0,1,0.0392156862745098,0.196039211763921,1.49019607843137                                                        
