Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,5.62927482405939e-09,2.47378295625822e-09,1.24561267966783e-08,5.98632979352831e-09,2.00869044844742e-09,0
 [2] CEC2017 N=2 D=10,0,0,0,0,0,0                                                                                               
 [3] CEC2017 N=3 D=10,5.6843418860808e-14,0,1.13686837721616e-13,5.9072572541624e-14,2.26256353323016e-14,2                     
 [4] CEC2017 N=4 D=10,0,0,0,0,0,1                                                                                               
 [5] CEC2017 N=5 D=10,1.98991811418671,0,4.97479025128678,1.99149712706051,1.22597163873012,1                                   
 [6] CEC2017 N=6 D=10,3.08398739434779e-07,2.09642166737467e-07,3.93265167986101e-07,3.02656060596871e-07,4.58063651378837e-08,2
 [7] CEC2017 N=7 D=10,11.7651070544196,10.5033039263404,13.9223546769097,11.9174239154407,0.822396472660436,0.96078431372549    
 [8] CEC2017 N=8 D=10,1.98991811418659,0,3.97983622837319,1.7167920985419,0.996518555013183,1                                   
 [9] CEC2017 N=9 D=10,0,0,0,0,0,2                                                                                               
[10] CEC2017 N=10 D=10,15.3069403079953,0.187363323118007,1305.33615235464,169.30411990438,352.750957576903,0.568627450980392   
[11] CEC2017 N=11 D=10,0,0,0.994959057093411,0.0796781652487809,0.267587946249249,0.784313725490196                             
[12] CEC2017 N=12 D=10,323.143178708719,0.208142986859684,812.276532168824,335.286502107437,191.17049417058,0                   
[13] CEC2017 N=13 D=10,5.5841242193062,5.07725417264737e-10,6724.19160041676,332.581154875189,1244.06358003721,0                
[14] CEC2017 N=14 D=10,1.98991816037756,2.97945916827302e-08,263.791300980828,23.4857773010919,47.9760610402563,0               
[15] CEC2017 N=15 D=10,0.49999999419515,0.000489415166384788,1.49495905942217,0.426357273789648,0.32690781573408,0              
[16] CEC2017 N=16 D=10,11.7751481798425,0.271385801008364,19.2693242955872,9.63494313315819,5.53835647280383,0                  
[17] CEC2017 N=17 D=10,41.1740329767097,24.6725028455853,81.8597848528229,40.8425817213697,9.87092163108863,0                   
[18] CEC2017 N=18 D=10,20.4598158784511,0.000759774725111129,6537.2580006479,141.008306240043,913.625824881409,0                
[19] CEC2017 N=19 D=10,0.99956587510178,0.024317215574456,647.707594209004,13.7156307936072,90.5650284272575,0                  
[20] CEC2017 N=20 D=10,39.8221878341408,9.26163397707569e-06,65.6757099606857,33.1754420724569,19.893186301194,0                
[21] CEC2017 N=21 D=10,203.694383471842,175.937711513971,205.769955573583,202.952542370775,4.08141709394485,1                   
[22] CEC2017 N=22 D=10,100.000000020425,100.000000013341,100.00000002665,100.000000020066,3.47625436570198e-09,2                
[23] CEC2017 N=23 D=10,305.761905445117,302.575746289062,311.780854107603,305.728217423268,1.66402550257771,0.764705882352941   
[24] CEC2017 N=24 D=10,330.895523469391,321.168158097596,336.054709994807,330.780706718866,2.94281604081919,0.980392156862745   
[25] CEC2017 N=25 D=10,443.3339087684,398.008989440577,445.793242550376,423.997225574876,22.850477702698,2                      
[26] CEC2017 N=26 D=10,300.000000182272,300.000000094194,1219.08163082245,318.021208672456,128.697170291535,1.94117647058824    
[27] CEC2017 N=27 D=10,394.856464283461,389.005526519005,397.247496583828,392.74612503118,3.21432018021321,1                    
[28] CEC2017 N=28 D=10,611.821808085647,300.000000805192,611.821808105316,555.198874076857,111.838433228955,0.215686274509804   
[29] CEC2017 N=29 D=10,232.200353612322,227.1995236709,241.72488080317,232.692723586198,3.49283117243954,0                      
[30] CEC2017 N=30 D=10,495.083719971279,394.514152756741,1248762.74464752,371424.967234316,420074.168447103,0.0392156862745098  
 [1] CEC2017 N=1 D=30,3.10460812613655e-06,1.26185548765534e-06,5.72221796346639e-06,3.31050121332612e-06,1.15642435763965e-06,0
 [2] CEC2017 N=2 D=30,0,0,0,0,0,0                                                                                               
 [3] CEC2017 N=3 D=30,1.45519152283669e-11,8.69704308570363e-12,3.10365066980012e-11,1.58760325147716e-11,4.76160995430355e-12,0
 [4] CEC2017 N=4 D=30,58.561557324252,58.5615573129706,58.5615573343802,58.5615573238599,4.22581065127254e-09,0                 
 [5] CEC2017 N=5 D=30,3.97999978443266,4.23015511046287e-05,8.95831853696586,4.27320806327069,2.16478565761783,0                
 [6] CEC2017 N=6 D=30,2.7667620088323e-05,2.04505515739584e-05,3.13798633442275e-05,2.74374858178157e-05,1.92041031090546e-06,0 
 [7] CEC2017 N=7 D=30,63.8846003622649,1.5636704777146,177.006254881736,74.61532067753,50.5945278813275,0                       
 [8] CEC2017 N=8 D=30,3.97985287866811,1.17807226160949e-05,7.95973132201652,3.86279817133517,1.95627452982796,0                
 [9] CEC2017 N=9 D=30,8.5265128291212e-12,3.41060513164848e-12,2.29647412197664e-11,9.46275737506392e-12,4.30166646932681e-12,0 
