Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,3.54418716597138e-10,1.70530256582424e-13,5.11246867063164e-09,8.4734979817072e-10,1.17695126845681e-09,0                
 [2] CEC2017 N=2 D=10,0,0,0,0,0,0                                                                                                              
 [3] CEC2017 N=3 D=10,5.6843418860808e-14,0,1.70530256582424e-13,7.5791225147744e-14,3.71299657184739e-14,2                                    
 [4] CEC2017 N=4 D=10,0,0,8.98126018000767e-12,1.76103140784464e-13,1.25762797595386e-12,0.980392156862745                                     
 [5] CEC2017 N=5 D=10,1.98991811418688,5.6843418860808e-14,6.96470836183403,2.47764304341093,1.5203355465231,1                                 
 [6] CEC2017 N=6 D=10,2.67739665105182e-07,8.18105263533653e-08,4.10924258176237e-07,2.32528078395619e-07,1.01070860742682e-07,1.62745098039216
 [7] CEC2017 N=7 D=10,12.2914056755387,10.3669207724208,14.0729384517579,12.2165196238334,0.956336647384023,0.823529411764706                  
 [8] CEC2017 N=8 D=10,1.98991811418659,0,2.98487717128,1.48268408508215,0.829405628623208,1                                                    
 [9] CEC2017 N=9 D=10,0,0,0,0,0,2                                                                                                              
[10] CEC2017 N=10 D=10,6.8299213753844,0.187363323117097,801.634561384413,61.9474239866892,152.299884965128,0.450980392156863                  
[11] CEC2017 N=11 D=10,0,0,0.994959057093411,0.234108013439615,0.426243771654607,0.568627450980392                                             
[12] CEC2017 N=12 D=10,307.279668843928,1.67233338288497e-09,735.076607319549,308.153186937884,201.1933153167,0                                
[13] CEC2017 N=13 D=10,5.39412527019385,4.02451405534521e-11,764.054026922897,63.3067738101547,172.773441703622,0                              
[14] CEC2017 N=14 D=10,0.994959062119051,3.82442522095516e-10,109.41139671281,10.2208554556494,19.0013725267727,0                              
[15] CEC2017 N=15 D=10,0.466259244379899,0.00124690872553401,2.08276574862771,0.388095466964663,0.411044933521416,0                            
[16] CEC2017 N=16 D=10,11.6711257385762,0.744501591160542,15.6183221506551,8.91231951969148,5.30408211240835,0                                 
[17] CEC2017 N=17 D=10,26.3578973691569,6.51453934819006,39.4479215206961,26.8329599854554,6.62386771433919,0                                  
[18] CEC2017 N=18 D=10,17.4326318412795,0.00143077064581121,209.870405654558,17.762071707571,37.1404805107344,0                                
[19] CEC2017 N=19 D=10,1.08977102901849,0.0194322281697623,10.2467638906228,1.62990627550115,2.06718356083742,0                                
[20] CEC2017 N=20 D=10,24.6348004561553,2.94362143904436e-06,47.5707511203448,21.3072838840812,15.2372056586241,0                              
[21] CEC2017 N=21 D=10,203.630249305172,100.000000000151,206.362637575042,193.59366663576,30.640168986159,1                                    
[22] CEC2017 N=22 D=10,100.000000009057,100.000000000006,100.000000055145,100.000000011129,1.22904875450894e-08,2                              
[23] CEC2017 N=23 D=10,304.852039130743,300.000000000521,313.516802535847,305.17248049992,2.96216235877026,0.784313725490196                   
[24] CEC2017 N=24 D=10,330.530636019808,300.000000000035,335.869954684107,329.686978828595,5.24097349375165,0.96078431372549                   
[25] CEC2017 N=25 D=10,443.345912896563,397.742869469996,445.792938405977,424.739295779988,22.5907892053305,1.96078431372549                   
[26] CEC2017 N=26 D=10,300.000000011166,300.000000000004,1197.03233366322,368.728731266646,237.959627284157,1.80392156862745                   
[27] CEC2017 N=27 D=10,394.442172818212,389.005526518858,397.247496583706,392.611094594346,3.2889270199862,0.980392156862745                   
[28] CEC2017 N=28 D=10,611.821808083573,300.000000000432,611.82180809437,587.972820897136,73.5632716541364,0.0392156862745098                  
[29] CEC2017 N=29 D=10,230.525630533798,226.76231252368,241.166047773976,231.078546341362,2.77401047750352,0                                   
[30] CEC2017 N=30 D=10,483.908916027297,394.500774356871,1248762.74760642,427257.090343823,473018.232787273,0.0784313725490196                 
 [1] CEC2017 N=1 D=30,8.74776799264509e-06,1.21201613012545e-06,4.51113170214512e-05,1.05316992162153e-05,9.3111281907887e-06,0 
 [2] CEC2017 N=2 D=30,0,0,0,0,0,0                                                                                               
 [3] CEC2017 N=3 D=30,7.82733877713326e-11,2.25668372877408e-11,2.90697244054172e-10,9.38897238822891e-11,5.11222836246277e-11,0
 [4] CEC2017 N=4 D=30,58.5615573285003,58.5615573193414,58.5615573545361,58.5615573300826,6.80400340506214e-09,0                
 [5] CEC2017 N=5 D=30,2.98601138244283,0.000290606696353279,9.07809080783272,3.47796217507704,2.00497164265723,0                
 [6] CEC2017 N=6 D=30,9.18415872774858e-05,4.87849029013887e-05,0.000169713492823576,9.01138988905693e-05,2.58023383076677e-05,0
 [7] CEC2017 N=7 D=30,35.1919624519662,1.18415740131445,60.9650907638866,36.0739147586365,8.63858088825369,0                    
 [8] CEC2017 N=8 D=30,3.97998412152845,2.41036154875474e-05,9.94962269609709,4.58530841089032,2.19938691728164,0                
 [9] CEC2017 N=9 D=30,3.27418092638254e-11,6.25277607468888e-12,1.04932951217052e-10,3.77908423508737e-11,2.24940051586472e-11,0
