Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,82.6173425014284,0.856350204692617,11912.3691689901,1152.55216157453,2694.59124316142,89                  
 [2] CEC2017 N=2 D=10,0,0,48923,1455.50980392157,7649.72005336809,89                                                            
 [3] CEC2017 N=3 D=10,4.42642311782038e-06,5.50961829048902e-07,2.29484959959336e-05,5.34736394527892e-06,4.3833380051876e-06,89
 [4] CEC2017 N=4 D=10,0.000278235423195383,1.16730514605479e-05,0.00920702784350169,0.00102076501137198,0.00177363397212975,89  
 [5] CEC2017 N=5 D=10,30.8321211587488,13.3327481431303,36.7720834255972,29.5482962365504,4.87469782324279,89                   
 [6] CEC2017 N=6 D=10,0.00742489392257539,0.00333150553274209,0.0273563265687926,0.00823135788656975,0.00395735897228049,89     
 [7] CEC2017 N=7 D=10,37.7021310376982,26.2823641052889,45.3466804671657,37.2431875332065,4.52498661452752,89                   
 [8] CEC2017 N=8 D=10,26.245616805649,1.95048592855971,34.4135126921949,24.7469490563174,6.95399100516918,89                    
 [9] CEC2017 N=9 D=10,3.23866356666258e-06,4.01509623770835e-07,7.67538504078402e-05,6.6198690101195e-06,1.19465772689568e-05,89
[10] CEC2017 N=10 D=10,1198.46605116091,824.382900996429,1424.70346327965,1210.111955672,134.565054610354,89                    
[11] CEC2017 N=11 D=10,4.156012001931,0.225714175637449,7.40449931871422,4.11607069090426,1.71559503162376,89                   
[12] CEC2017 N=12 D=10,376.729803642395,1.05646035571181,148530.168966203,3249.25922284623,20751.1674793438,89                  
[13] CEC2017 N=13 D=10,11.6693324405651,4.27028027362508,25147.9882775131,3365.12341174684,5512.07142781501,89                  
[14] CEC2017 N=14 D=10,26.5250630573005,1.39845323792247,224.025467648426,62.9681803080967,54.6820124718454,89                  
[15] CEC2017 N=15 D=10,2.06157030612144,0.554112298909104,4.38167762830972,2.2907989148322,1.12316341917881,89                  
[16] CEC2017 N=16 D=10,28.6195658295649,8.87751962854645,58.8875384051626,30.1378433030496,11.4746196857791,89                  
[17] CEC2017 N=17 D=10,63.6684295914965,39.7945474511982,88.4365603530214,64.0100200210446,10.355927487007,89                   
[18] CEC2017 N=18 D=10,22.1584541942048,1.95338601410049,6935.04744760884,237.589897699005,1095.4311018642,89                   
[19] CEC2017 N=19 D=10,3.96900463151792,1.22193714129344,1563.02133611477,57.5812446492959,244.811601514619,89                  
[20] CEC2017 N=20 D=10,78.3655004311772,46.3509705439917,106.026171681803,78.3189727294548,14.3011021207401,89                  
[21] CEC2017 N=21 D=10,184.404385905179,130.317931421447,230.277203458642,180.995832603807,25.6298876576227,89                  
[22] CEC2017 N=22 D=10,100.001153545702,100.000287982988,100.00418686923,100.001302905212,0.00074699229332935,89                
[23] CEC2017 N=23 D=10,327.991574941483,307.874650131938,339.882809905216,327.876103143295,7.21865459976816,89                  
[24] CEC2017 N=24 D=10,353.393547507206,241.779344284959,365.889197112961,337.291889431925,31.9191347383961,89                  
[25] CEC2017 N=25 D=10,443.410305646872,398.009145926985,445.824343881508,436.079606345131,17.8991310822243,89                  
[26] CEC2017 N=26 D=10,300.006310058646,300.001999944176,505.141931637938,314.007886066123,47.4239528004138,89                  
[27] CEC2017 N=27 D=10,395.984768150902,389.005542574278,396.257499311386,394.435206107,2.74106754655476,89                     
[28] CEC2017 N=28 D=10,464.071300084348,300.008507557624,508.439781260219,443.785046909402,62.3323655814288,89                  
[29] CEC2017 N=29 D=10,268.112455397316,242.864510935576,304.80497656717,268.081851558846,12.7103367872038,89                   
[30] CEC2017 N=30 D=10,44911.552168773,395.737129317777,817737.360529304,189750.721809813,237957.922328981,89                   
 [1] CEC2017 N=1 D=30,12031799.7323354,4762323.70824356,97554678.0951454,14897258.23575,14017527.5805948,78                      
 [2] CEC2017 N=2 D=30,2.06270265547987e+26,6.67587321838072e+21,9.76191963099309e+32,2.70212688166538e+31,1.44233624997901e+32,78
 [3] CEC2017 N=3 D=30,241.872969112406,42.1635724751742,398.116071292501,232.108891605661,88.397347759149,78                     
 [4] CEC2017 N=4 D=30,107.813451094589,97.4443839738661,115.395281806028,107.325026155012,4.1511657783441,78                     
 [5] CEC2017 N=5 D=30,193.55519106787,171.396651203808,219.64176466771,193.418921136766,10.3999979163338,78                      
 [6] CEC2017 N=6 D=30,5.0678213210673,2.79212517227393,10.6573133038301,5.37451522621731,1.51109315682808,78                     
 [7] CEC2017 N=7 D=30,220.172114563515,189.751008305682,246.330302638344,219.27399485513,12.4751156222049,78                     
 [8] CEC2017 N=8 D=30,188.942737359385,157.80514048599,207.972541904199,187.484913123621,9.9290722038605,78                      
 [9] CEC2017 N=9 D=30,23.3924789023918,6.68888390369057,103.327200066235,28.9012209164582,21.4819585236687,78                    
[10] CEC2017 N=10 D=30,6773.51249143511,5760.84954677566,7362.40539246893,6753.21760674297,315.042118901868,78                   
[11] CEC2017 N=11 D=30,173.265345473152,114.759253639682,227.786354902452,172.277627416896,26.1217457763537,78                   
[12] CEC2017 N=12 D=30,13695116.9098531,1767654.045464,95900006.1554058,19913152.8909862,18416292.0659708,78                     
[13] CEC2017 N=13 D=30,280159.405764428,32281.128401475,322251338.434292,16111080.1808449,50596439.8651125,78                    
[14] CEC2017 N=14 D=30,193.842708733988,118.382145277793,327.141006336056,195.773158318449,46.893005761022,78                    
[15] CEC2017 N=15 D=30,2048.75914139908,939.526667945538,6063.40517916804,2394.09682031603,1223.09460837016,78                   
[16] CEC2017 N=16 D=30,1314.90997669902,964.958196778964,1692.69510613083,1324.03261359864,164.393734053468,78                   
[17] CEC2017 N=17 D=30,602.401217713442,316.631360676397,777.466541512882,578.6895684562,108.253039974994,78                     
[18] CEC2017 N=18 D=30,1106.16027950967,568.257059557591,6135.28468903237,1351.89470674622,938.408500403999,78                   
[19] CEC2017 N=19 D=30,674.16806715962,203.810636004534,12811195.1182097,287480.439988361,1805676.63655921,78                    
[20] CEC2017 N=20 D=30,531.735651630891,278.601513683345,696.846356127928,512.252699515624,94.5381293075368,78                   
[21] CEC2017 N=21 D=30,380.990564197756,355.916754509263,400.821092375323,378.591609210867,11.2555832332926,78                   
[22] CEC2017 N=22 D=30,144.412578859976,128.538971052999,1159.10356528047,232.646960927173,256.346029747757,78                   
[23] CEC2017 N=23 D=30,553.748151564912,523.686500326976,572.952117926619,552.852044224691,11.0946286015394,78                   
[24] CEC2017 N=24 D=30,611.881007519089,582.066686026211,629.93824056604,610.816212578225,11.2863735699017,78                    
[25] CEC2017 N=25 D=30,392.581824696051,389.599102632089,400.69915435835,393.240784638807,2.19755929122832,78                    
[26] CEC2017 N=26 D=30,2936.03486292103,2613.42383284198,3158.50779869351,2921.63643300933,114.995824473875,78                   
[27] CEC2017 N=27 D=30,529.565227692098,522.910826815965,543.019669269941,530.81862444928,5.49822627390543,78                    
[28] CEC2017 N=28 D=30,551.550261615099,438.669661640197,571.550475460017,539.836097159571,30.8100605372491,78                   
[29] CEC2017 N=29 D=30,987.084746766615,741.627825355471,1146.96774340442,975.285695669882,91.7981184664864,78                   
[30] CEC2017 N=30 D=30,27451942.3020292,40099.5612099991,67032168.3101779,24499561.9241153,15879016.9896987,78                   
 [1] CEC2017 N=1 D=50,4859476556.3291,2474045005.43871,8882996494.47843,5017828646.81149,1468861889.13314,70                     
 [2] CEC2017 N=2 D=50,3.13896148199749e+52,3.38991723179201e+47,1.19328510162486e+57,2.54814546916713e+55,1.66883340903728e+56,70
 [3] CEC2017 N=3 D=50,83253.3495857633,42251.8942943085,129665.229301166,80409.2022675066,21528.132787776,70                     
 [4] CEC2017 N=4 D=50,406.518579126913,340.423644540903,590.988919713064,418.555549064643,43.2925531786363,70                    
 [5] CEC2017 N=5 D=50,402.723117915056,371.999326802737,430.105495528733,404.283418597055,12.5634964059715,70                    
 [6] CEC2017 N=6 D=50,24.9814132499936,21.1698674898798,29.8892550744621,24.882639063771,1.84615757996987,70                     
 [7] CEC2017 N=7 D=50,439.665411982,382.501246405359,489.58045558704,439.592425019719,21.6497372402286,70                        
 [8] CEC2017 N=8 D=50,407.513941062199,354.489492618797,431.11875382673,406.623854387206,16.7717215830224,70                     
 [9] CEC2017 N=9 D=50,3683.27480673593,2392.23343764704,5736.56190676158,3772.6362413831,631.57906771772,70                      
[10] CEC2017 N=10 D=50,12788.1088564189,11986.6104482799,13385.290264694,12764.5065174594,347.306832675538,70                    
[11] CEC2017 N=11 D=50,538.057147951747,401.04441052747,815.831416971917,557.704266226376,97.8844893591787,70                    
[12] CEC2017 N=12 D=50,1482929165.35155,455552552.943558,2937150013.63643,1523083692.53636,578073018.403121,70                   
[13] CEC2017 N=13 D=50,460836755.702337,115167816.059613,757696920.536667,437170104.203198,157316922.176192,70                   
[14] CEC2017 N=14 D=50,12209.6915215367,2204.68220739643,476482.952523457,40174.4969076322,76695.9494774128,70                   
[15] CEC2017 N=15 D=50,8200666.9319596,851349.523260604,121138614.475223,15850088.7078827,25350628.1278822,70                    
[16] CEC2017 N=16 D=50,2929.77627605362,2270.70320851739,3361.52768011698,2924.29336867702,204.123014711567,70                   
[17] CEC2017 N=17 D=50,1822.64637513684,1236.12487817678,2145.83535904815,1805.41412264511,169.826253581993,70                   
[18] CEC2017 N=18 D=50,151647.47530114,65613.9951947969,889520.240360145,216102.195968652,171927.049229562,70                    
[19] CEC2017 N=19 D=50,37754759.3522938,10517166.2580951,63969365.0666384,37076469.8284951,13943002.4191053,70                   
[20] CEC2017 N=20 D=50,1544.72516834171,1053.13239959788,1827.36740959801,1523.82873779851,140.279339098958,70                   
[21] CEC2017 N=21 D=50,616.611320342364,554.461880878918,644.809667088381,612.723288457094,17.2897846403969,70                   
[22] CEC2017 N=22 D=50,13070.9837446371,12013.6981058718,13498.7838100889,12940.3846089429,374.065625455408,70                   
[23] CEC2017 N=23 D=50,859.076835961486,834.953054394718,891.609635496568,861.71309197514,16.879560272536,70                     
[24] CEC2017 N=24 D=50,894.808007041298,840.686844170712,917.145682155787,894.287526913766,14.1049350669709,70                   
[25] CEC2017 N=25 D=50,798.385079778071,682.130164418269,1004.23211037966,809.593629987892,78.4891597104137,70                   
[26] CEC2017 N=26 D=50,5379.281777063,4781.92920572819,5702.18051457204,5365.26688651,171.283676345691,70                        
[27] CEC2017 N=27 D=50,796.303987245156,746.78230398541,938.183698308998,803.722539119448,42.2051656236801,70                    
[28] CEC2017 N=28 D=50,767.809303202001,687.046453194318,890.381648084562,772.567570892465,46.4030574176039,70                   
[29] CEC2017 N=29 D=50,2087.13802200636,1511.61161981625,2557.07270855969,2093.51774260691,197.042643258309,70                   
[30] CEC2017 N=30 D=50,52460750.2160788,7391239.99306561,327746535.341492,65787297.6604441,58291939.3906671,70                   
[1] Calculation time[hours]:  8.18609088844723 ,,,,,,
