Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,6.16955730947666e-09,2.3877646526671e-09,0.0509304230450454,0.000998642939209708,0.00713168467871242,0.431372549019608
 [2] CEC2017 N=2 D=10,0,0,0,0,0,0                                                                                                           
 [3] CEC2017 N=3 D=10,5.6843418860808e-14,0,2.27373675443232e-13,5.6843418860808e-14,3.77056584324623e-14,3.94117647058824                  
 [4] CEC2017 N=4 D=10,0,0,3.97580945678709,0.220886715048835,0.894659481558904,1.09803921568627                                             
 [5] CEC2017 N=5 D=10,1.98991811418671,5.6843418860808e-14,4.97479528546654,2.3020631591719,1.15157902630551,1.29411764705882               
 [6] CEC2017 N=6 D=10,1.51807398651727e-07,7.55528617446544e-08,3.94687162952323e-07,1.62750581569294e-07,6.2868210114285e-08,2             
 [7] CEC2017 N=7 D=10,12.2336554348406,10.4613396442026,36.3985955040705,18.7777478489339,9.14574862115114,0.450980392156863                
 [8] CEC2017 N=8 D=10,1.98991811418659,0,4.97479528546648,1.6192475084862,1.15964277298571,1.37254901960784                                 
 [9] CEC2017 N=9 D=10,0,0,0,0,0,3.03921568627451                                                                                            
[10] CEC2017 N=10 D=10,3.66477845184909,0.249817764155523,150.199211801717,11.4731394270973,22.0097876790083,0.862745098039216              
[11] CEC2017 N=11 D=10,0,0,1.61093494464603,0.339908091828834,0.498944692152987,0.803921568627451                                           
[12] CEC2017 N=12 D=10,238.176207234744,2.07410266739316e-09,710.651762135927,263.468622375249,217.94017493839,0.0196078431372549           
[13] CEC2017 N=13 D=10,6.50810183135832,4.38831193605438e-10,4189.31022776608,197.329534551516,734.497327961408,0                           
[14] CEC2017 N=14 D=10,20.0199238199443,2.63648871623445e-08,180.084148961391,31.1279108597728,46.5313755039664,0                           
[15] CEC2017 N=15 D=10,0.473706574116477,2.87797563487402e-05,9.06194589824963,0.785444043530485,1.43735844134266,0                         
[16] CEC2017 N=16 D=10,12.5256796739147,0.338205319970029,17.4001797563601,10.4541171503055,5.24568159944745,0                              
