"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
"1",3809822325.036,3631310042.8914,4797170013.34624,2582263117.39127,1663188937.6039,3280223957.54076,3722754307.72441,2893208539.05057,3578393840.80128,1613476935.81863,1544212639.62714,3392194459.37393,4339147298.86225,4285834432.61799,4876437021.74947,2004642042.71971,2834050727.12495,3698606638.94339,2743784173.7607,3673826439.06376,2983175109.6636,4519373954.08971,3043123221.18762,3410774862.91695,4365791909.82602,6662054434.45477,2561578650.89778,5597322525.17524,2392943464.59161,2723504085.01261,3979856110.75544,4552101854.74828,5758713401.30466,2281916457.60797,4160348171.82478,2563175428.27417,3322040321.27792,4869447787.84341,3525364711.07228,3711626799.6161,4179112985.69141,5855223003.27956,5106330976.85261,2941836817.73643,3172511103.09635,3357202605.17877,5425194366.2677,2854587269.92342,3010274789.36622,3384840286.15628,2311464569.37903
"2",2920359603.19362,3495626430.95138,4130540904.96412,2572773119.49146,1663188937.6039,3280223957.54076,3722754307.72441,2476663137.32967,3364581561.2908,1258949941.33593,1544212639.62714,3288733893.80304,4215655655.35667,4285834432.61799,4607110759.41274,2004642042.71971,2834050727.12495,2740467227.42785,2605316506.47378,3673826439.06376,2774529670.28034,4519373954.08971,3043123221.18762,3410774862.91695,4365791909.82602,5704850802.85119,2561578650.89778,4921742600.70845,2392943464.59161,2092975667.76799,3596033072.4042,4552101854.74828,5656184874.29418,2081147438.66457,3749938005.51318,2235635564.08801,3322040321.27792,4869447787.84341,3292100337.62411,3711626799.6161,3577498564.77074,4371230037.71017,4205905032.19857,2941836817.73643,3172511103.09635,3334869388.27352,5402377383.18987,2854587269.92342,3010274789.36622,3384840286.15628,2311464569.37903
"3",2920359603.19362,3098781417.04968,4130540904.96412,2572773119.49146,1663188937.6039,3280223957.54076,3695671610.5696,2476663137.32967,3364581561.2908,1258949941.33593,1544212639.62714,3288733893.80304,4215655655.35667,2978776609.39958,4264761605.00093,2004642042.71971,2834050727.12495,2740467227.42785,2605316506.47378,3387694390.905,2774529670.28034,4519373954.08971,3043123221.18762,3410774862.91695,3235783312.13108,3829276603.81151,2561578650.89778,4171409880.23789,2392943464.59161,2092975667.76799,3596033072.4042,3883790940.71117,4304991990.78951,2081147438.66457,3749938005.51318,2235635564.08801,3322040321.27792,4567942374.95032,3292100337.62411,3711626799.6161,3577498564.77074,4371230037.71017,3793806201.86801,2941836817.73643,3172511103.09635,3334869388.27352,3925850791.47669,2854587269.92342,3010274789.36622,3384840286.15628,2311464569.37903
"4",2611197053.43542,1665693524.75914,2262945131.29552,2410423125.03159,1663188937.6039,3064784281.28719,2032255714.08789,2241742928.8838,2651342706.67352,1258949941.33593,1544212639.62714,2338152938.41025,3211522493.7203,2695980929.97357,2953609656.08738,2004642042.71971,2473448508.13554,2122307364.8432,2605316506.47378,2323549268.13373,2774529670.28034,2257945925.07026,2557400070.58864,2683528750.07941,2524733269.51568,1888566013.04385,2022577000.23477,2413930579.68385,2219966945.38488,2070797383.16973,2573175240.22784,2789867685.14928,2272865076.10474,2081147438.66457,1869084390.18824,2235635564.08801,2706909566.90012,2980361936.31112,3133774480.0209,3041750977.49541,2794468448.92258,3020608681.36435,2089400710.6206,2660828592.31294,2400654157.9302,3069697432.13394,2574040951.83448,2751523830.01259,2440544091.12374,2270117345.04255,2157431363.64979
"5",870700992.722515,761806777.10432,779926268.47922,697165102.431005,819343833.941583,1028465605.94668,650231168.157305,626984728.333194,776458888.65099,796209599.704523,813884407.902761,808815783.772431,778501478.642344,732630565.445477,858338147.90535,725617127.553617,644703938.059178,674084751.898491,720062540.743241,706393119.071269,855878977.426135,732901963.909508,1017014810.83953,369951304.516857,797064896.026673,666300621.408715,961059307.531638,640727525.635886,869447511.723852,699175811.257205,561291777.093237,803221519.940379,883053122.641999,969445473.020206,716526003.615984,834863361.416447,802537027.839681,613506323.699684,751042359.568107,673459473.159144,883372877.335935,1315479125.47784,635275502.136413,803740618.634647,717862553.721344,844157039.028615,1098875598.79875,677490638.847603,534750111.115024,756805380.78572,792456035.239585
"6",38721347.551224,36488366.8931005,21642796.5540368,24487179.4578488,30500383.1165909,27511470.962847,37904308.4114356,24147559.1467682,22860022.4286065,18106723.1341272,16233237.7079514,32800116.0834799,22710834.6933881,27456129.2796881,29310202.2110953,26947836.9279425,38637187.6986212,15498154.8064474,32339732.66294,48096363.5846311,43630490.9824337,28067287.2233168,36087839.3351155,18243899.0847748,34827431.6465503,24010228.0916633,37184552.8573675,21936610.2465843,10232703.0362313,15419261.7685466,31331299.7458615,33900021.6022266,30959965.4777014,19384316.7064222,10264126.1087426,37106077.3867953,32177473.515703,28955377.2508969,38900702.976909,23463419.3686782,28634237.6263927,429743864.384597,32783217.6679424,28240183.9490924,24980135.6318065,50261721.3022755,34883804.0728555,22024853.3026398,19840321.0740972,26092577.4160255,66417543.7855281
"7",707535.171156448,509183.114473016,640265.197783343,498031.691967902,417616.61257283,1210116.32011597,678208.896387618,561053.76686135,412086.413518024,308678.143202428,660696.239159833,629175.706869922,553856.792420235,385232.684006943,453787.507882526,696294.105741951,485435.296968289,805030.134721951,514088.658098433,811294.475335239,608607.676056259,656616.509070169,763492.852654128,407363.065448691,783753.3427676,306821.664726064,618104.552327528,322767.711871217,889357.163985497,824159.926004499,389835.552120512,457222.823227111,1031744.58557177,841722.759296783,419948.127567564,1000750.28302113,610997.683115258,558159.598392712,637857.771213723,501323.254149162,926274.126909368,172641320.538707,453816.09737954,514628.975799162,847541.498754625,874424.70880738,409376.802213157,244684.258889991,576750.443394323,494125.876899021,842155.930241197
"8",46909.4715014036,44547.4546215754,45620.9751663901,45925.4652546811,63579.2236569294,45014.8319575914,54026.3772930487,66430.0757822564,40884.8726901404,71195.1099950078,57368.0135848904,67430.9328001437,50289.8582290604,44044.2309416785,52287.0394223168,39290.6121858517,43258.5188030104,32620.9207696335,51293.8688276669,67179.6702109251,66925.2558958602,48407.5504004001,62246.1932053758,50317.8686734962,61149.203951052,35825.4505899664,73034.0531631429,68050.0891455682,71409.813592274,55810.3293962266,52204.806458203,59739.6655617014,73648.1785852738,49727.3977878826,50023.9165559192,56848.3543007169,41751.1815707669,37872.0066645099,59169.0178509958,46126.0740200092,29059.1592321228,172641320.538707,56981.9111666398,61118.2651580542,41114.7167170292,28113.5196208372,48683.8824981245,54905.2895216263,51725.3108834923,60139.9122247817,63265.3123272619
"9",16689.3422307446,16453.6898727817,13491.861982021,16658.4705939747,14533.5024098594,16542.1861348746,19175.8671745057,18471.2768465185,12546.8334029192,9849.74975077897,21002.4711234871,15659.7013089196,15255.0550740169,10720.4168801421,16176.8908364271,10446.4933603168,20349.563373393,10824.9143262664,20434.798981417,21460.3360563885,20552.8176454956,11557.2988938054,19127.6052384782,15752.1552883604,17425.5026855657,13992.7871101876,23074.2598503859,32651.0626779617,25772.6136960661,19748.3445424006,14266.5337279017,17167.710975696,18772.5304825033,11448.2840606163,17203.4038541553,17475.7873910298,13940.6562420863,12611.4949225514,11779.3615799343,14307.0363905677,11993.3106878961,146399215.688736,17008.1612237629,13481.3601492878,16289.2133755157,9769.97838387947,11133.9081529978,11623.4981730936,15764.1025151781,22621.1432499508,18403.3054981235
"10",5572.20450078799,6975.1455410806,6530.36873942125,7077.52516448722,4656.11037151534,6616.42584228473,6279.83742328342,5304.48778279679,5763.90700064888,5044.29444029892,8437.95010579447,6665.21076576032,8131.98690588851,5404.33239571729,6884.1945469181,6176.58101169396,4964.86028430885,4525.89624684264,8995.20675855985,7589.46512769313,5413.94504126421,5850.49150042957,6077.85899704473,5785.31292897333,7803.41110549622,5650.92494661981,6453.70234930858,5665.41684186585,10906.5884619472,8077.61095186538,5403.23957899638,5098.56255100719,5701.86119397473,4111.65924162791,5309.82598572247,8105.20541832284,8671.1628794119,5026.62854041065,5029.75225212199,5220.84811053176,7152.47625133598,133001013.320266,6569.59331603931,6853.86143266209,7655.22973430647,6052.28049098622,5991.27293808412,4701.65876272414,6621.86042076225,6725.39867865109,8802.53000836476
