Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,8.00598343175807e-09,3.27085558637918e-09,1.64992712825551e-08,8.47014644914809e-09,2.91351583650575e-09,0.96078431372549
 [2] CEC2017 N=2 D=10,0,0,0,0,0,0                                                                                                              
 [3] CEC2017 N=3 D=10,5.6843418860808e-14,0,2.8421709430404e-13,9.9197338796312e-14,6.41531684965267e-14,3.54901960784314                      
 [4] CEC2017 N=4 D=10,0,0,0,0,0,2                                                                                                              
 [5] CEC2017 N=5 D=10,2.98487717127995,0.994959057093297,7.82566434689909,2.78715945152512,1.51976385093325,1.94117647058824                   
 [6] CEC2017 N=6 D=10,1.44871933116519e-07,7.34936520530027e-08,3.81477775590611e-07,1.62508441979869e-07,7.19555091116047e-08,2.94117647058824
 [7] CEC2017 N=7 D=10,12.1221973980907,10.6280627005218,14.949057264382,12.1597131292875,0.952438086912903,1.80392156862745                    
 [8] CEC2017 N=8 D=10,1.98991811418671,0,3.9798362283733,2.14599012314245,1.00234506278255,2.03921568627451                                    
 [9] CEC2017 N=9 D=10,0,0,0,0,0,3.90196078431373                                                                                               
[10] CEC2017 N=10 D=10,13.7847516328493,0.312272205196678,1380.71516512686,237.039833728476,433.262586351825,0.862745098039216                 
[11] CEC2017 N=11 D=10,0,0,1.98991811418659,0.487725027986948,0.640881821952705,1.15686274509804                                               
[12] CEC2017 N=12 D=10,384.447279109546,0.41628597242493,947.56133284206,422.159934611947,207.730396995936,0                                   
[13] CEC2017 N=13 D=10,7.07809862345903,8.01037458586507e-10,83.1124691157154,10.7966546434672,16.4886392724,0                                 
[14] CEC2017 N=14 D=10,1.17682957482452,3.40064616466407e-08,27.0412586585865,8.01966275624594,9.84784121469796,0                              
[15] CEC2017 N=15 D=10,1.13357945119947,0.00532055335611403,9.0219276203311,1.6687408243292,1.83900504763647,0                                 
[16] CEC2017 N=16 D=10,1.89923618725697,0.466104981545186,27.7571379515641,6.08965482264333,6.26656014372765,0                                 
