"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
"1",245714102.598045,170396149.710361,109507855.742508,163192844.23981,181850809.545772,278117615.831265,195655577.792324,109481615.174919,201502118.175113,135761325.19923,239149102.452815,169127470.536409,223569322.181567,355813479.302927,207874921.644583,292653534.23388,221680940.298173,243269483.650369,144410602.700504,280713454.376839,171320189.926672,269834533.671946,273637657.077188,284073371.080906,121620324.153146,188466437.159809,193552165.07483,84203129.4788188,166271154.792229,306609243.641262,221167067.206439,241415507.942022,133934510.800482,297592568.883318,202912579.494523,178052131.950354,85144650.234402,264947428.852808,210705562.195806,309043047.800776,179023194.913077,257476154.448589,199144638.057743,191413315.717422,206384005.427851,307496125.790134,60318330.6394264,282303709.619804,90537562.4584574,123713176.949193,113186220.494833
"2",68599824.0768993,121172028.983955,109507855.742508,163192844.23981,93089978.7601461,145661813.970689,87695985.7800161,109481615.174919,153619356.395173,120280150.132209,50499635.5324742,94972140.5083428,100402401.21351,137754646.887832,172948149.297942,171860048.657118,148288552.879341,154486103.79166,132486099.91063,84357453.5620742,103231337.130845,146303140.489978,114953678.94494,179320914.153308,121620324.153146,135285919.36172,128018255.939578,34541940.0521785,82753429.5466171,161000013.456088,67370395.7934059,153313970.333312,93945054.4526003,50478428.7398413,87679525.2436845,109368035.84535,83759432.6557749,133074612.82759,210705562.195806,190354684.308149,139217025.243789,169458951.711585,168687536.921183,146018907.198171,160384073.15217,82696331.4106427,60318330.6394264,149399196.846449,36272446.6794709,123713176.949193,62426514.4947125
"3",32820096.3300258,14117730.3978384,30393873.0028358,60065612.4040501,93089978.7601461,145661813.970689,87695985.7800161,42056958.6211875,126551345.225326,92821525.6408046,6671219.85581782,7347523.99000377,22519156.0257961,137754646.887832,83943803.1715377,119737346.931514,58889241.1362847,141952703.727924,41868034.1751325,24928744.9481399,59167664.5641049,146303140.489978,58803672.2515688,118160676.294055,52774463.7118822,43748866.6114665,128018255.939578,34541940.0521785,46883517.409254,47351441.6383464,25399756.8649691,25977753.35966,93945054.4526003,4230209.25347776,52819708.7859548,109368035.84535,13997932.4187407,64412609.0776591,48961055.8862772,104757663.958897,64851190.4598561,77340685.5327996,51579859.6687249,108876552.351425,30744191.4152174,82696331.4106427,60318330.6394264,50390783.2939986,3842785.2601591,46065034.1585091,31097441.3520316
"4",1555026.85858434,1299316.93176957,3450160.8189621,3220319.0440738,24792917.9693812,113070175.086269,20772676.2771933,974136.540912872,36181025.8193844,973630.871434237,1395372.85513064,497183.560922407,950561.923309661,13376208.824828,3567816.32364988,48858377.897092,6523470.90207615,83471190.1231631,1645165.37722259,1826541.52477112,31552926.1546476,48756352.0693492,55922989.786678,2350277.04387004,2279973.53382551,2418019.07913336,55388673.3322575,34541940.0521785,1224070.57337809,1557674.80774217,4977717.35998866,1825105.90066308,93945054.4526003,420687.35691702,31030819.852585,4413312.1344288,3800940.89334535,33381822.4798047,2284161.54520535,1818644.47234616,30326492.5384457,56227323.0874749,3348982.1043855,3137276.95695536,5228776.11052809,82696331.4106427,60318330.6394264,2105798.0172498,444475.137576659,19685407.4877199,1758013.27949695
"5",32804.0936027252,41025.5160289065,36607.9558457963,31223.1774835513,68667.4113786926,27927461.6657871,104472.196371419,56622.4311168101,25887749.7185159,130832.643256543,12901.6363569788,36434.2526803535,39163.9788193666,186542.230313783,38664.886668365,16127925.8946993,85567.6410839338,506078.854499822,36873.3945114265,24319.53363229,241834.144802623,47910392.0684216,14689182.8981298,35200.2103685491,80167.2842789375,39610.0166296932,14058727.6833982,20306677.9388994,50118.2247164152,44752.8534802892,31251.4697010686,22113.6478156408,31669147.8323841,31091.7020905151,513422.16141653,116488.223523125,33698.2342733825,15460764.8902971,44893.8375690085,29709.7270000729,16040276.1891261,23261373.658885,41057.2074836321,36698.978453682,33860.2673871708,82696331.4106427,47415646.4597073,32641.1738098822,38997.0207463802,15551305.4207398,26492.109088924
"6",3573.08962379518,2388.32137293852,2113.60131386179,2792.38952378501,3691.1693932305,7345038.77185876,4721.22171199262,2939.0145519036,19589859.3860321,3090.66108796593,2280.64490315213,2178.54043329495,2576.60514928092,6715.5522704551,2577.42633091332,13541734.9639084,2216.17227299895,5369.87881538832,2421.46801438792,3152.28624688487,3421.16647628407,15148086.7504796,14689182.8981298,2455.79321279655,4034.25303935941,2751.41945326654,10841916.0616468,8876616.71821716,3156.48044806049,2387.38583909069,3854.65953791479,2798.36031422936,22766943.7948808,2751.00239477767,7544.48496859768,2695.53313223771,2631.29553003566,13710018.3159176,2343.570822476,2753.49309828572,9528920.03924662,9655523.88790531,3144.48257283114,2704.71242144844,2699.52963364604,17630435.8559668,26650490.0609189,2771.55312043717,2533.06891817815,4479988.4790869,3007.82886969982
"7",2593.85752344543,2084.11756712225,2050.09718450791,2312.37235614247,2270.39134982722,6010564.23482569,2435.87348018945,2220.64698245363,15473598.420411,2245.30112443795,2097.96832742789,2027.93822440521,2099.40362984639,2431.88092341385,2023.52806747541,7022528.60682401,2002.6558553019,2515.42302804407,2034.15488397564,2404.8965917409,2715.22771002754,7807899.0492007,7399609.49234523,1980.03372288583,2453.76111497379,2173.88533055969,4724883.17665272,5561742.13087337,2335.93611487289,2222.17173844355,2529.84171671983,2100.10809139554,22766943.7948808,2203.21046187794,5585.98929777408,2260.57251894149,2167.23289271395,13710018.3159176,2059.71795458685,2366.18076586365,2259548.53740267,9655523.88790531,2182.10222536254,2278.52589189345,2334.46116464605,11514.5573429939,26650490.0609189,2030.98947908218,2337.22798716134,4479988.4790869,2223.35403823204
"8",2288.5749808386,2081.76225494428,2048.59792936446,2307.80144839029,2057.1610585063,5033633.91998289,2216.43275492502,2041.5855159191,10777965.7695969,2238.43593135732,2089.46903765782,2025.94082851526,2096.5772997549,2373.26875895179,2018.58074318722,7007668.20904319,2002.20596880686,2293.03391706993,2029.33919266823,2396.4978644107,2640.81869761627,3294935.63445043,7399609.49234523,1973.2548621018,2219.31926790294,2169.37604784787,4724883.17665272,5218885.31024889,2205.3856036411,2220.61237002661,2299.86132501989,2088.28236136344,15432494.7673027,2184.97123759002,5547.12388023945,2253.61592087326,2163.86633538893,13710018.3159176,2057.30278740353,2364.33287554127,2259548.53740267,9655523.88790531,2177.88892865684,2275.42546201335,2331.43802213215,2460.76379866292,18046094.8162071,2009.95342526722,2301.23535046374,4011644.74939414,2118.30193507386
"9",2265.88734296031,2080.78153710771,2047.97904643875,2306.96461520887,2043.57125019178,4657123.15825209,2211.95740956829,2036.75190454596,10777965.7695969,2224.05586824703,2088.71073244352,2025.66288198687,2095.40862191634,2372.46520248917,2009.24783076168,7007668.20904319,2001.42005788268,2247.04794436557,2028.96297881333,2395.29025969242,2639.25469952381,3294935.63445043,7399609.49234523,1972.25947845412,2216.64346489052,2169.23272442373,4724883.17665272,5218885.31024889,2201.97784805158,2220.35810943474,2297.84269963499,2086.94572529256,15432494.7673027,2183.93910635652,5546.31096379514,2253.07092405169,2163.6078518679,10055104.9159706,2056.46193443607,2363.3687707822,2259548.53740267,9655523.88790531,2176.75943164923,2273.82440559656,2329.66917640065,2168.63001353796,17499352.2700449,2005.51898139024,2299.68100815591,4011644.74939414,2116.22853360314
"10",2264.90406998156,2079.99747427815,2047.26487953542,2306.41632829894,2041.96362528263,4657123.15825209,2210.98036132017,2034.48908740543,5198571.35385651,2221.7919490193,2087.77855265845,2025.21041642234,2094.69323746023,2371.75200623792,2007.21376905665,7007668.20904319,2000.89782766894,2246.10962292928,2028.12621138821,2393.95425934354,2638.01949772372,3294935.63445043,7399609.49234523,1972.08905567894,2215.75320021555,2168.5374279285,4194156.48099746,5018519.06441424,2200.73641897877,2219.4695988582,2295.96411372028,2086.7569690056,15432494.7673027,2183.29070082301,5546.12742844529,2252.90005502537,2162.6512654144,10055104.9159706,2056.03822423296,2362.81662270289,2259548.53740267,7034748.93858321,2176.39998539005,2272.23700941472,2329.49002196999,2160.58166745461,8562142.07344968,1997.97171333261,2299.02905010857,3975407.99528893,2115.08931491691
