Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,6.80262246532948e-09,2.92986612748791e-09,1.44381715472264e-08,7.30129389627537e-09,2.46449665917913e-09,1               
 [2] CEC2017 N=2 D=10,0,0,0,0,0,0                                                                                                              
 [3] CEC2017 N=3 D=10,5.6843418860808e-14,0,1.70530256582424e-13,7.0218340945704e-14,3.13170309066826e-14,4                                    
 [4] CEC2017 N=4 D=10,0,0,0,0,0,2.07843137254902                                                                                               
 [5] CEC2017 N=5 D=10,2.98487717127995,0.994959057093354,8.82062340988665,2.96274036325982,1.58805295793895,2.80392156862745                   
 [6] CEC2017 N=6 D=10,1.30097305373056e-07,8.26693167255144e-08,4.23294636675564e-07,1.82385201251058e-07,1.01796370194422e-07,3.05882352941176
 [7] CEC2017 N=7 D=10,12.0207438574298,10.893634765212,14.6699320201103,12.0644590973378,0.712431193345737,2.54901960784314                    
 [8] CEC2017 N=8 D=10,1.98991811418659,0,3.97983622837319,1.77531910187244,0.981207727746681,3                                                 
 [9] CEC2017 N=9 D=10,0,0,0,0,0,4                                                                                                              
[10] CEC2017 N=10 D=10,6.95483025746125,0.249817764160071,486.060288367242,37.9183483375328,84.5025701517949,1.82352941176471                  
[11] CEC2017 N=11 D=10,0.994959057093411,0,2.98487717128,0.799869045898584,0.796454821368578,1.96078431372549                                  
[12] CEC2017 N=12 D=10,487.831220158949,0.416285975082701,908.146310205393,476.797828602881,212.171119567125,0                                 
[13] CEC2017 N=13 D=10,8.7750804098971,0.994959058265977,50.2393037639031,10.9543942585037,9.34290489966417,0                                  
[14] CEC2017 N=14 D=10,20.0167974640353,3.66540007235017e-08,30.943632875435,15.6288275488167,9.45497039744411,0                               
[15] CEC2017 N=15 D=10,2.02990596730365,2.57660199167731e-05,18.1727606759318,3.38504276700528,4.28440085046741,0                              
[16] CEC2017 N=16 D=10,1.86823949086124,0.615177659142091,13.0526851946308,6.78673689248145,5.59615158307281,0                                 
[17] CEC2017 N=17 D=10,22.111652734081,0.049347093943652,42.2195729096629,19.9108615266289,10.013442529906,0                                   
[18] CEC2017 N=18 D=10,22.4843199081754,2.4863959762522,54.3241604678194,24.08285763386,9.7904834901087,0                                      
