Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=50,7.71206174476902e-08,5.84779229484411e-08,1.01292926046881e-07,7.78376110755583e-08,9.24062456393761e-09,0
 [2] CEC2017 N=2 D=50,0,0,28,0.784313725490196,4.01653445393013,0                                                               
 [3] CEC2017 N=3 D=50,5.34328137291595e-12,3.92219590139575e-12,7.50333128962666e-12,5.34885425711799e-12,7.29126693958116e-13,0
 [4] CEC2017 N=4 D=50,59.8469352748809,5.22263394486799e-06,171.201306780278,63.9142385446147,50.8548736756632,0                
 [5] CEC2017 N=5 D=50,7.95967245675246,2.98487717128427,14.9243858564154,8.6424874959381,2.91433135279319,0                     
 [6] CEC2017 N=6 D=50,2.97216161015967e-07,2.35801735470886e-07,3.89894239560817e-07,2.94388472884391e-07,3.18673942157141e-08,0
 [7] CEC2017 N=7 D=50,57.6942354556327,55.830670191824,63.2391852398641,57.9732740792244,1.46313181905505,0                     
 [8] CEC2017 N=8 D=50,9.94959057093865,2.98487717128307,17.1112679813898,9.77787130395096,2.82922504697422,0                    
 [9] CEC2017 N=9 D=50,0,0,0,0,0,0                                                                                               
[10] CEC2017 N=10 D=50,368.013523137564,21.8642792674254,1472.99459784674,370.821701434951,301.537804744233,0                   
[11] CEC2017 N=11 D=50,32.194258695034,21.2497191431207,45.0718033289268,32.3095717220935,5.88751639932472,0                    
[12] CEC2017 N=12 D=50,2261.6827750291,1049.93852439794,13803.806744522,2364.90179415323,1698.00885606518,0                     
[13] CEC2017 N=13 D=50,178.391719925979,43.3476813551642,5177211.41153712,101739.027525838,724922.474355752,0                   
[14] CEC2017 N=14 D=50,23.378058006057,21.2746562199357,28.2525791181422,23.8063804259275,1.73413153513855,0                    
[15] CEC2017 N=15 D=50,68.897647760914,32.0943236949261,124.395206428034,72.0232904862246,22.1143173726132,0                    
[16] CEC2017 N=16 D=50,250.56654547035,4.26832936500568,753.063156148863,226.706437706126,152.679085677266,0                    
[17] CEC2017 N=17 D=50,48.4431532533893,24.3636378693213,314.230386981555,89.8809584996958,73.4825144039147,0                   
[18] CEC2017 N=18 D=50,27.5467658164323,22.3574422613544,39.7675716765855,28.6792033477379,3.93401421802474,0                   
[19] CEC2017 N=19 D=50,8603.41906575396,14.9265881728929,2978670.64930858,345574.497232531,737391.99642033,0                    
[20] CEC2017 N=20 D=50,47.7579051445989,22.1126065747392,206.38008862381,61.5573743949933,42.8492493728155,0                    
[21] CEC2017 N=21 D=50,211.24215179295,204.028195765434,220.821281759778,211.450483209152,3.1738110433408,0                     
[22] CEC2017 N=22 D=50,485.983482651368,231.944199330226,1255.85363428474,498.691093754883,222.664725193389,0                   
[23] CEC2017 N=23 D=50,426.950239991752,417.582106570722,459.60462317286,428.441657415022,7.2211230666541,0                     
[24] CEC2017 N=24 D=50,508.42928688885,502.600512756184,518.078057988602,509.555795248063,3.98038283460155,0                    
[25] CEC2017 N=25 D=50,480.23464949142,477.343858902236,491.860195023035,480.69100765721,2.92438225758109,0                     
[26] CEC2017 N=26 D=50,1109.41216852481,857.644179502641,1265.17153491358,1099.90700952503,80.8010023425383,0                   
[27] CEC2017 N=27 D=50,536.043933182622,510.9332960078,597.70891970085,536.436034520836,18.5847984680209,0                      
[28] CEC2017 N=28 D=50,458.848722729703,458.848722728872,507.694692850795,464.271118578199,15.0582398918537,0                   
[29] CEC2017 N=29 D=50,330.453644786682,295.420473954831,492.125861746689,354.265904744281,58.9319958827392,0                   
[30] CEC2017 N=30 D=50,625332.958352851,579412.500958017,19592404.9563128,1272572.33562493,2858768.41447397,0                   
 [1] CEC2017 N=1 D=100,2.52224556512894,0.76315280768867,41563.1270747425,1232.66003970073,6074.85452137279,0                    
 [2] CEC2017 N=2 D=100,433089,160,21888982681,1215593736.60784,4272341155.2017,0                                                 
 [3] CEC2017 N=3 D=100,3.74404692138341e-06,2.35680761306867e-06,6.04820309035858e-06,3.83516438169667e-06,7.51113178128619e-07,0
 [4] CEC2017 N=4 D=100,212.276859654543,162.68330127424,219.130278503333,208.48158491717,10.2979558367879,0                      
 [5] CEC2017 N=5 D=100,12.9403721173105,6.96900035905998,21.8932087622551,13.4491856656181,3.09669533859991,0                    
 [6] CEC2017 N=6 D=100,0.000877001630556151,0.000684516590581552,0.00117490351226479,0.000890335270221786,0.000104315475439563,0 
 [7] CEC2017 N=7 D=100,114.091936165477,110.995963605887,130.550162384164,114.797151182788,3.26024306436758,0                    
 [8] CEC2017 N=8 D=100,13.9352426738091,5.97378880247254,21.91823445538,14.2304764806994,3.83144952507041,0                      
 [9] CEC2017 N=9 D=100,1.04608125184313e-06,5.3386634135677e-07,1.69833890595328e-06,1.05988245721557e-06,2.42862669499607e-07,0 
[10] CEC2017 N=10 D=100,15719.6362650449,4242.26132890256,22607.911238547,14792.5835287396,4300.91921060057,0                    
[11] CEC2017 N=11 D=100,59.0479595772831,19.6690729244344,152.685480452731,65.6437858344963,39.7507227454924,0                   
[12] CEC2017 N=12 D=100,5866.20730624366,3474.32490718997,25827.7732902129,7643.12306814902,4827.82365823537,0                   
[13] CEC2017 N=13 D=100,480.581370326284,246.092014927337,4780.7377984938,604.948090195243,646.19690759734,0                     
[14] CEC2017 N=14 D=100,27.9615335719516,23.9638238878592,34.0165310774078,28.1603454221212,2.38873738298645,0                   
[15] CEC2017 N=15 D=100,172.497480869834,66.876580782513,8420684.56199467,165276.186343211,1179108.16217473,0                    
[16] CEC2017 N=16 D=100,141.560352906277,24.7724464087689,679.464231169111,184.838377867045,133.890130582643,0                   
[17] CEC2017 N=17 D=100,308.730900417945,210.341081674255,847.796978213813,365.54194052957,138.927912429882,0                    
[18] CEC2017 N=18 D=100,43.2823114220562,30.3131244006588,102.949098396885,46.6749315563866,13.2321507903052,0                   
[19] CEC2017 N=19 D=100,56.9355135401729,37.2869773233274,9971296.62775558,501267.358515296,1995485.27163208,0                   
[20] CEC2017 N=20 D=100,298.362186916905,180.218215543151,2551.54346397121,428.645827274133,411.119511435905,0                   
[21] CEC2017 N=21 D=100,237.53091702337,230.015757655513,250.138345871974,238.096646140101,4.75390977645612,0                    
[22] CEC2017 N=22 D=100,3342.56975129069,423.196375295436,14353.9008508959,4782.24190259574,3963.84835286049,0                   
[23] CEC2017 N=23 D=100,559.647398057332,538.049585101545,580.498579008028,558.491580163726,8.67646066242776,0                   
[24] CEC2017 N=24 D=100,891.708455477984,874.784608680525,904.581457820658,891.388184768547,5.11222979517897,0                   
