Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,1.22845051464537e-07,3.25501616771362e-08,2.02642638669204e-07,1.2428795422042e-07,3.21904171241269e-08,0.0196078431372549
 [2] CEC2017 N=2 D=10,0,0,1507,29.5490196078431,211.022208663021,0                                                                              
 [3] CEC2017 N=3 D=10,5.11590769747272e-13,1.70530256582424e-13,8.5265128291212e-13,5.33882306555432e-13,1.20356959653311e-13,2                 
 [4] CEC2017 N=4 D=10,0,0,5.6843418860808e-14,1.8947806286936e-14,2.70628804952095e-14,1                                                        
 [5] CEC2017 N=5 D=10,1.98991812072069,2.27373675443232e-13,4.974795285467,2.25980978472383,1.25809309469391,1                                  
 [6] CEC2017 N=6 D=10,4.60355295217596e-07,3.74675323655538e-07,5.17084799867007e-07,4.52629632598152e-07,3.26531288565031e-08,2                
 [7] CEC2017 N=7 D=10,11.9609077010889,10.4613396442027,13.8352737392415,11.9815160764385,0.812310871333038,0.901960784313726                   
 [8] CEC2017 N=8 D=10,1.98991811418671,1.13686837721616e-13,3.97983622837364,1.56072008955852,1.09454363648818,1.01960784313725                 
 [9] CEC2017 N=9 D=10,1.13686837721616e-13,0,2.27373675443232e-13,1.09228530359984e-13,3.18386829355406e-14,2                                   
[10] CEC2017 N=10 D=10,10.1824276222878,0.147557158509699,1366.00580152854,168.813941527977,390.099538865699,0.529411764705882                  
[11] CEC2017 N=11 D=10,2.27373675443232e-13,0,0.994959057093638,0.113727166312865,0.315315421564772,0.862745098039216                           
[12] CEC2017 N=12 D=10,248.049624321849,11.3810980827259,728.106076773283,310.853879351128,189.40165517057,0                                    
[13] CEC2017 N=13 D=10,5.39412527058334,1.68051883520093e-09,7734.85034923661,238.789231392857,1178.13003096384,0                               
[14] CEC2017 N=14 D=10,0.99495940127531,1.27041175801423e-07,264.559014556178,28.7690587435668,60.1924578595811,0                               
[15] CEC2017 N=15 D=10,0.330387469960897,8.55822765970515e-05,1.49495905381082,0.313125638471529,0.284714017388141,0                            
[16] CEC2017 N=16 D=10,11.94698406664,0.729442650833789,20.5063201945347,10.5839080659275,6.37817793396768,0                                    
[17] CEC2017 N=17 D=10,40.6015398186721,27.8085944935467,51.450551899386,39.6800998981472,6.74990900409196,0                                    
