Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,7.86913290085067e-09,3.13599457513192e-09,1.63543205644601e-08,8.31705876282963e-09,3.39004753095196e-09,0             
 [2] CEC2017 N=2 D=10,0,0,0,0,0,9.03921568627451                                                                                             
 [3] CEC2017 N=3 D=10,1.13686837721616e-13,5.6843418860808e-14,2.8421709430404e-13,1.30405490327736e-13,6.15319101405606e-14,5.94117647058824
 [4] CEC2017 N=4 D=10,0,0,0,0,0,4.98039215686275                                                                                             
 [5] CEC2017 N=5 D=10,2.98487717127989,0.994959057093297,4.97479530364427,2.92635017205481,0.876733728781694,4.03921568627451                
 [6] CEC2017 N=6 D=10,1.74581259670958e-07,9.70850351222907e-08,1.40451863376495,0.0985115905908765,0.316600285660604,2.33333333333333       
 [7] CEC2017 N=7 D=10,12.2181542077942,10.9762112000144,14.0624807410539,12.1624218744917,0.687962475277775,1.94117647058824                 
 [8] CEC2017 N=8 D=10,1.98991811418659,6.08224581810646e-09,3.9798362411691,1.69728310542046,0.918258653263056,3.70588235294118              
 [9] CEC2017 N=9 D=10,0,0,5.58929968974553e-09,1.99899356327175e-10,1.00412723771489e-09,6                                                   
[10] CEC2017 N=10 D=10,11.8295252037251,0.124908885351033,248.89355774156,60.2455870110991,64.2145731279937,3.84313725490196                 
[11] CEC2017 N=11 D=10,1.59147930389736e-08,0,1.98991812082522,0.526743036012516,0.640275786093766,3.80392156862745                          
[12] CEC2017 N=12 D=10,473.786239937559,4.40695657744072e-09,943.469059605331,462.717229505347,209.486993087378,0.0196078431372549           
[13] CEC2017 N=13 D=10,4.74772553397588,2.76418177236337e-09,21.61182421592,6.29802022637869,6.53958216537736,2.56862745098039               
[14] CEC2017 N=14 D=10,20.0089652420686,4.84446900372859e-08,41.89180459934,16.3135356754065,10.6569193247293,0                              
[15] CEC2017 N=15 D=10,2.41371376318989,0.00229969490555959,28.8542832537671,4.68444689386474,5.603863354819,0.0392156862745098              
[16] CEC2017 N=16 D=10,118.9569839992,0.353588772930607,255.638795356804,81.095026209194,79.5031528682892,0.333333333333333                  
[17] CEC2017 N=17 D=10,23.5119803659957,1.03446342904112,85.2497418388375,22.7287489195433,14.5899786322174,0                                
