Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,8.33848901038436e-09,2.92988033834263e-09,1.32774573557981e-08,8.53061530782653e-09,2.57637820115951e-09,0              
 [2] CEC2017 N=2 D=10,0,0,0,0,0,3.07843137254902                                                                                              
 [3] CEC2017 N=3 D=10,3.16731529892422e-09,5.6843418860808e-14,6.89902890371741e-09,3.24991658856686e-09,1.59132683191271e-09,1.98039215686275
 [4] CEC2017 N=4 D=10,3.17760395773803e-09,1.29710997498478e-09,8.98631924428628e-09,3.47944028273524e-09,1.56917188202931e-09,2              
 [5] CEC2017 N=5 D=10,1.98991812230071,1.40664724312956e-09,5.969754345436,2.30023496933576,1.54037482761366,0.941176470588235                
 [6] CEC2017 N=6 D=10,2.36545702136937e-07,1.40509428092628e-07,2.87318698610761e-07,2.31142819882057e-07,3.65386403630278e-08,1              
 [7] CEC2017 N=7 D=10,30.5796671473601,12.5092007204438,37.1635489516988,29.7105426363032,5.15484098845965,0                                  
 [8] CEC2017 N=8 D=10,2.98487717128023,3.12741121888394e-09,4.97479529245561,2.71175115947919,1.43603211558976,0.764705882352941              
 [9] CEC2017 N=9 D=10,2.98496161121875e-09,9.19840204005595e-10,5.6122644309653e-09,2.99738022637458e-09,1.09777278514357e-09,2               
[10] CEC2017 N=10 D=10,0.366186676700636,0.124908885164587,15.3072371838743,1.77421711803479,3.25853669845989,1                               
[11] CEC2017 N=11 D=10,3.77508513338398e-09,4.54747350886464e-13,0.994959069892047,0.117054511966324,0.323755200737535,1                      
[12] CEC2017 N=12 D=10,358.339744599851,11.3810980715541,733.309487802372,378.217846167543,188.583626819018,0                                 
[13] CEC2017 N=13 D=10,5.20412632552666,1.61844582180493e-09,9.62192109835291,4.32765481340434,2.86203285281399,0.509803921568627             
[14] CEC2017 N=14 D=10,0.994959119793748,3.36262928612996e-08,22.0221243395447,5.33262329537657,8.63050258633895,0                            
[15] CEC2017 N=15 D=10,0.500000008331199,0.000261044645640141,1.99168277639637,0.481874091353825,0.498485973386512,0.509803921568627          
[16] CEC2017 N=16 D=10,0.743972044049542,0.248323819961115,135.161806352127,3.63381920340502,18.8068153628706,0.156862745098039               
[17] CEC2017 N=17 D=10,27.2827412397455,0.132627760049218,45.593573418892,27.3525723989969,7.10262856494957,0                                 
[18] CEC2017 N=18 D=10,20.0684341462202,0.00392749488696609,38.4459699324602,13.2542309466529,10.7409805033498,0                              
[19] CEC2017 N=19 D=10,1.04033128488436,0.01943217295252,5.53676107781689,1.18235322671025,1.02817296994941,0                                 
[20] CEC2017 N=20 D=10,1.61931002879078,4.74146145279519e-06,42.0749479404421,13.3253858768613,14.9709802392066,0                             
[21] CEC2017 N=21 D=10,202.843825753381,176.288538974586,204.756852454426,201.737163424224,5.212783577536,1                                   
