Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,8.6957072653604e-09,5.06624076024309e-09,1.78613817070072e-08,9.44295134460987e-09,3.23527242478911e-09,0               
 [2] CEC2017 N=2 D=10,0,0,0,0,0,7.50980392156863                                                                                              
 [3] CEC2017 N=3 D=10,3.41060513164848e-13,5.6843418860808e-14,1.05728759081103e-11,7.73516327243152e-13,1.6805313725225e-12,5                
 [4] CEC2017 N=4 D=10,0,0,0,0,0,4                                                                                                             
 [5] CEC2017 N=5 D=10,0.994959066800504,0,3.97983623392327,1.30710308115166,0.943695373809809,3                                               
 [6] CEC2017 N=6 D=10,2.31277340390079e-07,9.7971110335493e-08,3.30423745253938e-07,2.27882667019787e-07,5.72465384991392e-08,2.56862745098039
 [7] CEC2017 N=7 D=10,11.9190813136314,10.7948340054184,14.516809976056,12.1009972789741,0.782065693356625,1.47058823529412                   
 [8] CEC2017 N=8 D=10,0.9949648401481,6.67330368742114e-09,3.9798362358614,1.73631235077348,1.03098573514193,2.86274509803922                 
 [9] CEC2017 N=9 D=10,0,0,0,0,0,5                                                                                                             
[10] CEC2017 N=10 D=10,0.374726647478383,0.187363323119826,15.2444858696163,2.57161923561901,3.99310931154369,2.92156862745098                
[11] CEC2017 N=11 D=10,5.76415004616138e-09,0,0.994959067216087,0.214599016176136,0.413296242841191,3                                         
[12] CEC2017 N=12 D=10,458.456833697046,119.737872620718,988.64156137444,486.88322717788,213.119136655793,0.0196078431372549                  
[13] CEC2017 N=13 D=10,4.83713692044535,1.66437530424446e-09,9.44493064000471,3.93145571315725,2.76687759589504,1.7843137254902               
[14] CEC2017 N=14 D=10,20.0264297227284,4.50504558102693e-08,28.9762184260239,12.4880371697865,10.6251055747938,0                             
[15] CEC2017 N=15 D=10,1.4423025504359,0.00174131438643599,26.8755327996828,2.58554460484535,4.40539115187093,0.215686274509804               
[16] CEC2017 N=16 D=10,1.22564478575146,0.266120453411986,136.562304984113,8.80754132391304,30.8997473433345,0.431372549019608                
[17] CEC2017 N=17 D=10,23.6129649419915,0.331903814245834,41.7151958058057,21.1565519692192,10.256160750736,0                                 
[18] CEC2017 N=18 D=10,24.0351930164093,0.0423295149230398,88.794686089931,24.4099100883786,15.0883670220861,0                                
[19] CEC2017 N=19 D=10,2.1102357961754,0.0194321198944181,10.0393359239501,2.1173653605455,1.76914372507432,0                                 
[20] CEC2017 N=20 D=10,20.0494015364452,7.36991660232889e-06,141.712980508414,14.5549828559727,20.7242400607091,0                             
[21] CEC2017 N=21 D=10,202.835235917121,200.000000096197,204.739885360476,202.690187328962,1.19669330100268,3                                 
