Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,2.61905341858437e-08,5.0275446028536e-09,7078.44256599419,325.090916677774,1143.9957022688,0                
 [2] CEC2017 N=2 D=10,1,0,44,2.7843137254902,8.05807353029295,10.7450980392157                                                    
 [3] CEC2017 N=3 D=10,1.13686837721616e-13,5.6843418860808e-14,16.082893553606,0.315350870585537,2.2520555512957,6.94117647058824 
 [4] CEC2017 N=4 D=10,3.01261525635852,0.477150494812633,8.32361274754442,3.36609751634008,1.89786406868483,0                     
 [5] CEC2017 N=5 D=10,2.98487834402829,0.994959249912711,6.96470867968765,3.31329530305471,1.26831475484126,5.23529411764706      
 [6] CEC2017 N=6 D=10,0.467312814342904,8.27546073196572e-05,12.7331868110846,1.00236281507562,1.92504850263269,0.0196078431372549
 [7] CEC2017 N=7 D=10,13.319839011054,11.6366596715739,23.9764439156901,14.3721550562728,2.93328305434849,1.80392156862745        
 [8] CEC2017 N=8 D=10,2.98487723374546,0.994959068656271,6.96471343599171,3.07746019789704,1.49379304924861,4.11764705882353      
 [9] CEC2017 N=9 D=10,4.43560566054657e-08,0,4.27041193299897,0.099663762474591,0.599739014518835,8                               
[10] CEC2017 N=10 D=10,124.425622596653,0.585962979678698,872.101127672383,182.223425880942,189.444497312369,3.25490196078431     
[11] CEC2017 N=11 D=10,10.1119153789489,2.05658574090012,52.1952855516954,13.6131857375623,11.087570205822,0.235294117647059      
[12] CEC2017 N=12 D=10,610.142997712884,121.715550755671,6418.8519419572,798.569260651244,893.04567480753,0                       
[13] CEC2017 N=13 D=10,84.4766660318003,8.98555128010526,695.309756098453,130.217249430649,131.328253249567,0.176470588235294     
[14] CEC2017 N=14 D=10,20.9604659174063,2.79039399237854,46.8666712205877,18.834783779192,9.58825509994958,1.27450980392157       
[15] CEC2017 N=15 D=10,31.3506442267246,1.55002756752515,154.63601008866,40.2371471930527,37.4474056631552,0                      
[16] CEC2017 N=16 D=10,3.27568391921818,0.634586778461653,260.807961136398,41.8396117893549,71.5721153288458,0                    
[17] CEC2017 N=17 D=10,26.9570496679328,3.44280546098457,92.4082651299857,32.2388775038495,17.3014274360509,0                     
[18] CEC2017 N=18 D=10,47.6725863864763,21.0943703165929,316.617015736972,58.8462038787309,48.7651811305339,0                     
[19] CEC2017 N=19 D=10,4.45824181607759,0.800146526525168,22.8134117314871,6.1719417558285,5.09140018605494,0                     
[20] CEC2017 N=20 D=10,25.6000055146783,1.30717590325821,148.701863133523,36.2803059855577,32.7821665255847,0                     
[21] CEC2017 N=21 D=10,203.931510709176,192.54590437182,208.292746711779,203.67680953911,2.6472366274781,5.43137254901961         
[22] CEC2017 N=22 D=10,100.000000193448,100.000000017463,100.289045931826,100.011316519405,0.0565457686648833,6.98039215686275    
[23] CEC2017 N=23 D=10,308.358970515229,302.88163231873,339.907479782197,309.45755123881,6.07208576449954,2.09803921568627        
[24] CEC2017 N=24 D=10,329.826023961059,100.000000207779,337.026568153578,317.744030412054,46.1616049234204,6.84313725490196      
[25] CEC2017 N=25 D=10,397.850852848497,100.004290958343,443.391380901463,396.056378085658,44.0269957043083,5.45098039215686      
[26] CEC2017 N=26 D=10,300.000000161443,200.000001320288,1244.56524661266,360.88889891576,216.49704252983,0.274509803921569       
[27] CEC2017 N=27 D=10,399.705766777832,389.308076777029,476.278435951367,403.063551828152,14.3799998845837,0.862745098039216     
[28] CEC2017 N=28 D=10,584.17806596906,300.000000224725,648.692342447716,539.471817240788,112.178798025712,0                      
[29] CEC2017 N=29 D=10,257.833725409182,233.987990940193,371.562405405654,262.163051439798,25.0337964589567,0                     
[30] CEC2017 N=30 D=10,652.050718490321,402.336584209565,2008673.22900432,150903.185346786,399791.330254382,0                     
 [1] CEC2017 N=1 D=30,8609731.74958113,30064.024904714,326200413.787918,31329227.864608,61332367.0249964,0                   
 [2] CEC2017 N=2 D=30,8274642584983,3809179534,1263004060160527,108920440644678,275254990443418,4.11764705882353             
 [3] CEC2017 N=3 D=30,644.494349987552,44.6175604052157,5116.95857694195,894.738503065726,1014.79971320085,0                 
 [4] CEC2017 N=4 D=30,114.071025446582,31.7099550315302,338.819257486586,117.609030219406,42.0876956910675,0                 
 [5] CEC2017 N=5 D=30,33.6702329781182,7.25421307865321,77.1899608127654,35.9083937778284,14.777542660861,0                  
 [6] CEC2017 N=6 D=30,3.65653050134654,0.510218998515143,10.5143504152219,4.43152700579846,2.6632868834198,0                 
 [7] CEC2017 N=7 D=30,63.7339979431724,44.5701778386274,100.711928233778,66.6295541341116,13.1367567571347,0                 
 [8] CEC2017 N=8 D=30,29.3710393059038,12.4439049955038,57.4381674780866,30.5412984712326,10.1115438033385,0                 
 [9] CEC2017 N=9 D=30,70.926930735527,4.45738310629008,1213.91491379282,136.943592638248,195.618260683854,0                  
[10] CEC2017 N=10 D=30,1701.08016034474,946.714221173388,2730.91847641318,1686.58795525039,394.144471471049,0                
[11] CEC2017 N=11 D=30,121.117950684165,61.1541398531697,207.01136724345,121.088375288884,37.1127142996969,0                 
[12] CEC2017 N=12 D=30,36717.8824412743,2953.36578714743,6823295.20472891,216092.192758663,954762.483625015,0                
[13] CEC2017 N=13 D=30,4075.88072441185,1566.88123051687,9998.80447986215,4345.82366295777,1836.88315381605,0                
[14] CEC2017 N=14 D=30,78.702542117971,41.9161373270758,135.432500757899,79.7937464427581,22.3837066807761,0.0784313725490196
[15] CEC2017 N=15 D=30,370.008738086607,152.315566279594,652.470646234879,373.879250310304,121.000236652264,0                
[16] CEC2017 N=16 D=30,293.101669247796,26.4347659731113,759.947730986819,313.424601562357,167.438389069249,0                
[17] CEC2017 N=17 D=30,101.23357761018,44.4073393395638,276.272826420493,122.648228769046,62.2920974406895,0                 
[18] CEC2017 N=18 D=30,250.496190084768,95.134120792789,712.159364748075,274.619534290069,121.589086254442,0                 
[19] CEC2017 N=19 D=30,96.0788812408084,39.1138355093767,200.769902799555,104.1591428055,41.338996245725,0                   
[20] CEC2017 N=20 D=30,155.738192677696,42.1523930461615,269.583619362943,143.08702722823,61.3500392309645,0                 
[21] CEC2017 N=21 D=30,234.389791673493,215.798107255775,269.933068571256,236.902532874711,11.711632847071,0                 
[22] CEC2017 N=22 D=30,140.125484049515,108.721375875108,525.659496548047,167.195355158339,79.6914635745911,0                
[23] CEC2017 N=23 D=30,426.260791515309,386.752991320534,570.666248208588,436.795893296323,40.8048399637187,0                
[24] CEC2017 N=24 D=30,484.304325464117,439.083593169013,598.581528122113,492.586143865992,36.2106111082149,0                
[25] CEC2017 N=25 D=30,407.581016210161,386.434423420414,450.061305897591,410.488661569672,17.6904569874892,0                
[26] CEC2017 N=26 D=30,1551.80387963291,241.636582511167,2398.10700632548,1385.33816363674,635.125554734864,0                
[27] CEC2017 N=27 D=30,546.230924578602,500.692443291005,637.566649759868,548.936727102901,25.5170104661091,0                
[28] CEC2017 N=28 D=30,459.895946713848,403.980747895483,561.186146526806,463.998389491856,36.3800822290637,0                
[29] CEC2017 N=29 D=30,563.119818608131,453.190935855328,806.319157616444,575.912393222041,86.8372820645971,0                
[30] CEC2017 N=30 D=30,6889.12398322251,3302.06111576384,54641.2617016839,8856.65474559885,7467.85290237975,0                
 [1] CEC2017 N=1 D=50,1565293008.98504,351301287.774117,10911275816.054,2063700913.31338,1767954634.80041,0                                   
 [2] CEC2017 N=2 D=50,7.74929394634599e+26,1.99428178307868e+21,3.2345284204287e+30,1.24990934607555e+29,4.65434097938325e+29,3.27450980392157
