Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,8.72334737778147e-09,3.27641203057283e-09,1.81290715772775e-08,9.55474730272174e-09,3.34404458719006e-09,0              
 [2] CEC2017 N=2 D=10,0,0,0,0,0,8.47058823529412                                                                                              
 [3] CEC2017 N=3 D=10,1.13686837721616e-13,5.6843418860808e-14,6.25277607468888e-13,1.42665835572224e-13,1.25247891352735e-13,5.49019607843137
 [4] CEC2017 N=4 D=10,0,0,3.5242919693701e-12,1.8947806286936e-13,6.41466501402498e-13,5                                                      
 [5] CEC2017 N=5 D=10,0.994959072524807,0,3.97983623524004,1.38513908742104,0.976448404349477,3.58823529411765                                
 [6] CEC2017 N=6 D=10,1.51862991515372e-07,9.36462356548873e-08,0.841214279328483,0.0302157653147877,0.135068672337923,2.41176470588235       
 [7] CEC2017 N=7 D=10,11.8691065841987,10.9195927641547,13.6388977178121,11.9808706968889,0.694942144454305,1.96078431372549                  
 [8] CEC2017 N=8 D=10,1.98991811418659,3.41060513164848e-13,3.97983623721018,1.69728310291471,1.00079464279245,3.11764705882353               
 [9] CEC2017 N=9 D=10,0,0,0,0,0,5.96078431372549                                                                                              
[10] CEC2017 N=10 D=10,0.437181096658605,0.124908891687483,247.848560324659,8.77167071284174,34.6706846285181,3                               
[11] CEC2017 N=11 D=10,1.01576915767509e-08,0,2.98487717127978,0.351162031445947,0.654665799894925,3.70588235294118                           
[12] CEC2017 N=12 D=10,469.629788612129,5.83463588554878e-09,1009.86295875204,447.916390936779,243.984793238586,0                             
[13] CEC2017 N=13 D=10,4.83713691901744,2.13435669138562e-09,14.8508298687063,4.15069295842587,3.55850328435523,2.09803921568627              
[14] CEC2017 N=14 D=10,2.98487722989557,2.2570020519197e-08,28.9633771779297,9.46174960503296,10.276209192142,0                               
[15] CEC2017 N=15 D=10,1.45526926452953,0.0067667975617951,26.9057911963034,3.17282184587751,5.09946022489414,0.215686274509804               
[16] CEC2017 N=16 D=10,1.21299115958823,0.0211847792311346,137.855750861876,8.49515600619145,29.8555645549312,0.274509803921569               
[17] CEC2017 N=17 D=10,23.2592620105845,0.494447179732788,44.200200558975,19.9788955312824,10.6418759025074,0                                 
[18] CEC2017 N=18 D=10,22.5093162996695,0.470973705066172,109.559084395672,24.8530790154346,20.2984759896265,0                                
[19] CEC2017 N=19 D=10,2.61015232056775,0.959140021961957,15.5555147103082,3.57501450477582,3.442714114297,0                                  
[20] CEC2017 N=20 D=10,20.3333989320706,8.29533632895618e-06,139.766122058742,15.7449180896108,20.051067544033,0                              
[21] CEC2017 N=21 D=10,202.74459536962,164.869081477808,205.758783416573,201.086407493531,6.70504816771255,3.90196078431373                   
[22] CEC2017 N=22 D=10,100.000000026549,100.00000001693,100.000000039,100.00000002612,5.04460170742606e-09,4                                  
[23] CEC2017 N=23 D=10,300.000000120127,300.000000007792,308.963084237152,301.295381371509,1.97872936955,4.01960784313725                     
[24] CEC2017 N=24 D=10,327.089589597398,100.000000201673,331.056775562438,319.356147648388,32.2624040041861,4.7843137254902                   
[25] CEC2017 N=25 D=10,397.745670880173,397.742869469987,443.364526485709,404.121895164567,15.7997577419485,5                                 
[26] CEC2017 N=26 D=10,300.000000156489,200.000001259275,300.000000205569,296.078431573747,19.6039209429686,0                                 
[27] CEC2017 N=27 D=10,395.074556549066,392.87971092212,402.029187231239,395.531820398176,1.7378413345824,1.35294117647059                    
[28] CEC2017 N=28 D=10,583.745226321395,300.000000194888,646.480341445488,545.299344391043,119.252252583174,0                                 
[29] CEC2017 N=29 D=10,233.760764424925,226.82375507891,259.178780574761,236.307920447757,7.04425402246817,0                                  
[30] CEC2017 N=30 D=10,464.190950247372,394.500776983047,1248762.77786867,210526.327712919,416083.95357141,0                                  
 [1] CEC2017 N=1 D=30,3.87807261859052e-08,2.744066307514e-08,5.36344657575683e-08,3.84398688043695e-08,6.29777492158752e-09,0                 
 [2] CEC2017 N=2 D=30,0,0,1,0.0196078431372549,0.140028008402801,1.47058823529412                                                              
 [3] CEC2017 N=3 D=30,7.74878117226763e-09,2.50111042987555e-12,1.18830030260142e-08,7.39648238082095e-09,2.52453146809302e-09,1.94117647058824
 [4] CEC2017 N=4 D=30,58.561557557971,8.74427996677696e-09,58.5615578443865,57.4132917268202,8.20025827303382,0.0196078431372549               
 [5] CEC2017 N=5 D=30,3.97983624063738,0.994959068086303,8.95463151942312,4.15541732524014,1.60068941881633,1.01960784313725                   
 [6] CEC2017 N=6 D=30,3.16646719511482e-07,2.66398842541093e-07,0.119461773242733,0.00234269737760698,0.0167279499581744,0.980392156862745     
 [7] CEC2017 N=7 D=30,35.1983877623056,33.214373571094,38.9459361965829,35.3699933230282,1.3098347251495,0.980392156862745                     
 [8] CEC2017 N=8 D=30,3.97983626550013,4.02370687879738e-08,7.95967782670891,4.31149049493145,1.7761250838871,1                                
 [9] CEC2017 N=9 D=30,7.62622676120372e-09,3.81066911359085e-09,1.27436123875668e-08,7.70660335547291e-09,1.90374017841168e-09,2               
[10] CEC2017 N=10 D=30,130.268108343904,4.72011681668482,578.038655622495,157.949469393421,143.130398067298,0.980392156862745                  
[11] CEC2017 N=11 D=30,8.95462647602176,1.98991812196823,70.9236798549152,18.6422987442594,22.7125485143052,0.823529411764706                  
[12] CEC2017 N=12 D=30,1285.48898676367,574.286071159855,2019.92136735561,1257.79751481751,363.216541603779,0                                  
[13] CEC2017 N=13 D=30,39.4557019954177,9.94958555707558,118.48409738194,42.6361956778233,22.6732882749981,0                                   
[14] CEC2017 N=14 D=30,24.1697969834115,2.98487731620799,42.0360217644488,25.3641024341567,5.20292230028421,0                                  
[15] CEC2017 N=15 D=30,25.1046977971339,3.2222436236882,68.9235662858489,27.65773629662,15.8823774631315,0                                     
[16] CEC2017 N=16 D=30,18.0159560452564,2.97321598803887,264.169316799447,65.3062849236932,79.3251356214502,0.0196078431372549                 
[17] CEC2017 N=17 D=30,78.3301011384087,20.5969732313074,122.873966954442,64.5239849012665,33.2093843335519,0                                  
[18] CEC2017 N=18 D=30,31.1370825038341,21.5762431631201,74.2076104143994,36.4207215031493,14.4866060012316,0                                  
[19] CEC2017 N=19 D=30,16.7300953526294,8.90467806837478,34.6381675978273,17.9391203584329,5.72156918897491,0                                  
[20] CEC2017 N=20 D=30,26.3254054296153,20.3552558718725,232.798639975725,71.057142596727,58.2147199505104,0                                   
