"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30"
"1",6.60972432342533e-09,0,5.6843418860808e-14,0,7.95966741892727,1.26956138046808e-07,22.6885879748272,1.98991811418659,0,11.891979620299,0,239.485579562114,5.39412527185095,22.031792106113,0.379094030198985,1.87489495736941,56.5106494788693,28.5301378198824,2.49645438423431,1.18694247248641e-05,204.563265923005,100.000000017894,308.926493620749,336.816616201877,445.797813422305,300.000000183776,395.984766687189,583.734041416843,233.797914683154,817578.05798273
"2",1.07920783420923e-08,0,5.6843418860808e-14,0,4.97479528546648,1.07374717117636e-07,12.9973091009182,2.98487717127989,0,3.7272328928857,0.994959057093411,217.13966940135,5.20412632480657,22.3080417985591,0.0307586596231886,12.8528960458409,26.7550045609587,21.5292375546273,1.17502545145612,52.4408487519049,203.23432895215,100.000000016758,305.504361854555,331.501187517696,443.3339087684,300.00000015344,389.005526519687,300.000000180259,233.782761460527,817578.088368313
"3",7.48815409679082e-09,0,5.6843418860808e-14,0,3.97983622837319,7.74330146668945e-08,13.0562555361371,4.97479528546648,0,145.262527896495,0,550.234759714223,6.50810183286853,21.0536057558322,0.499999992023277,12.8643000079267,29.5638856886833,20.5480564801094,1.09589620649876,21.4253358160265,202.396941910295,100.000000014185,306.45045533337,334.759273281026,443.38694200214,1164.25275279749,395.984766687189,611.821808086384,233.232659503187,544.221618162747
"4",1.0924821935987e-08,0,5.6843418860808e-14,0,3.97983622837319,1.00646957434947e-07,11.3228562661764,3.97983622837319,0,27.0214555354414,0,336.877542008382,7.95095617176935,8.8663682618062e-08,0.47372949629198,1.20869067938679,28.2851555488173,0.493249157131913,2.69959925526041,20.442459242141,202.968596950466,100.000000012978,304.83596649586,337.418786393481,443.378362334867,300.000000189636,389.005526518979,611.821808082406,229.135596451241,817578.058862485
"5",3.365471457073e-09,0,0,0,2.98487717127989,9.57849124461063e-08,14.1691975470593,2.98487717127989,0,0.249817764155523,0,238.176207233225,8.20508361739576,4.98569079354638e-08,0.250957557046149,11.9279776177696,44.7902370546167,20.076997403655,1.10738083947103,41.0266726032214,204.929120329817,100.000000017515,307.295959525967,331.007199513686,443.381099297097,300.000000202799,395.984766687189,611.821808080185,238.350174874372,464.181994654446
"6",1.33283322156785e-08,0,1.13686837721616e-13,0,3.97983622837319,1.26278223433474e-07,11.1785026971199,5.96975434255978,0,7.01728469849968,0.994959057093411,358.210551691315,9.25493167905756,16.3347345510801,0.286810200808986,0.779448828846625,38.644999123421,20.552551395569,0.142105294730754,40.8620638962402,168.331557676623,100.000000016202,307.092359011273,332.022723417764,443.373121327445,300.000000144142,389.005526519957,300.000000227159,236.202859360075,817578.084778285
"7",8.21114554128144e-09,0,5.6843418860808e-14,0,4.97479528546648,1.1915096820303e-07,13.3351156820689,6.96471339965308,0,819.153518180712,0,248.049624319653,0.994959058559289,8.92314346856438e-08,0.466560583918636,1.08034305072943,26.8102164134932,20.5934014626598,2.58945969095657,0.312184534437847,204.442875107881,100.000000013435,306.101260484626,330.763143769183,443.381099297097,300.000000126799,395.984766687189,300.00000019184,235.10490425943,483.908915080711
"8",1.06694812984642e-08,0,5.6843418860808e-14,0,3.97983622837319,8.78196715348167e-08,13.9029106888757,3.97983622837319,0,31.7613426623893,0,131.118970687394,0.994959058997665,20.0345367681632,0.00592718190500818,13.148698952167,45.3350140942732,20.3218660880666,1.12324755743998,20.6881107944573,204.770034583097,100.000000016519,306.012494802826,334.521991368639,445.801374859258,300.000000141313,395.984766687189,300.000000295708,244.160610284282,411.824571985735
"9",9.58446833010385e-09,0,5.6843418860808e-14,0,1.98991811418659,1.2325108400546e-07,11.9774607326513,3.97983622837319,0,1123.19245845675,0.994959057093411,142.08378279015,131.431444460178,9.28512235987e-08,1.49495906218181,12.170591655821,30.051459924505,1.37634097780551,1.12285799085794,21.6875076961246,205.522181527181,100.000000019669,305.539863783086,336.938724557449,398.008989440577,1161.38966899652,395.984766687189,300.000000207041,228.826643690923,544.221618857256
"10",1.31467601249824e-08,0,5.6843418860808e-14,0,2.98487717127989,9.37691311264643e-08,11.7164862489409,6.96470836183391,0,21.9494983602581,0.994959057093411,679.47036008196,6.14111242508307,0.994959141163463,1.48173509704452,17.0040424724989,35.9070646330808,20.1082133095781,1.12167635742549,1.30714649205584,204.546062381102,100.000000014268,300.000000007204,332.88847456843,398.035780788715,300.000000152205,395.984766687189,583.745226274561,236.121604033887,817578.058454651
