Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,9.58446833010385e-09,2.82138046259206e-09,2.00078602574649e-08,9.60039646908591e-09,3.41967621125444e-09,0
 [2] CEC2017 N=2 D=10,0,0,1,0.0196078431372549,0.140028008402801,0                                                              
 [3] CEC2017 N=3 D=10,5.6843418860808e-14,0,1.13686837721616e-13,5.2385111499176e-14,2.22870780548784e-14,0                     
 [4] CEC2017 N=4 D=10,0,0,0,0,0,0                                                                                               
 [5] CEC2017 N=5 D=10,3.97983622837319,0.994959057093297,10.9445395523881,4.58198676399698,2.31746686604779,0                   
 [6] CEC2017 N=6 D=10,1.05545723272371e-07,7.01708131600753e-08,2.05695369004388e-06,1.81217133638925e-07,3.75184193829047e-07,0
 [7] CEC2017 N=7 D=10,13.4599698774774,11.0139970848768,36.6355556729012,14.4801994543405,4.16078665340175,0                    
 [8] CEC2017 N=8 D=10,2.98487717127989,0,13.9294167236679,3.86278143141019,2.18571360967535,0                                   
 [9] CEC2017 N=9 D=10,0,0,0,0,0,0                                                                                               
[10] CEC2017 N=10 D=10,220.679538960343,0.249817764155523,1362.711222227,367.447795227487,445.094080723003,0                    
[11] CEC2017 N=11 D=10,0,0,2.98487717128,0.507234029106427,0.69994642061574,0                                                   
[12] CEC2017 N=12 D=10,322.047192463749,5.16092768521048e-09,834.877289645563,326.766550940488,223.434513990718,0               
[13] CEC2017 N=13 D=10,5.96412206442551,7.20092430128716e-10,1615.60531068862,44.8863751379935,226.039697718241,0               
[14] CEC2017 N=14 D=10,2.98487722165214,3.50069058185909e-08,34.9613850872263,11.3594200752784,11.3126242244237,0               
[15] CEC2017 N=15 D=10,0.47372949629198,0.00488194592617219,2.17007153317104,0.603382199165583,0.520571164306461,0              
[16] CEC2017 N=16 D=10,11.7406776165112,0.347515905255932,17.0040424724989,7.70335235698511,5.67606197799641,0                  
[17] CEC2017 N=17 D=10,34.0011672538005,20.5587911607809,77.2101883514488,37.2836814779818,11.0663816317372,0                   
[18] CEC2017 N=18 D=10,20.5174386035144,0.411118463709272,28.5301378198824,16.5206722467343,8.15433190627867,0                  
[19] CEC2017 N=19 D=10,1.1185098222445,0.0288000275179456,2.74957418229747,1.26048661854891,0.789829525349688,0                 
[20] CEC2017 N=20 D=10,20.3803921171686,1.18694247248641e-05,94.4298720542743,19.067692018005,18.4826100287619,0                
[21] CEC2017 N=21 D=10,204.885249162769,168.331557676623,212.216908891572,204.503322742206,5.58435416158289,0                   
[22] CEC2017 N=22 D=10,100.000000017894,100.000000012306,100.000000024788,100.000000017685,2.34431418903852e-09,0               
