Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,1.31393846913852e-08,4.01769284508191e-09,2.43079938400115e-08,1.3626809484723e-08,4.4659350850057e-09,0
 [2] CEC2017 N=2 D=10,0,0,1,0.0980392156862745,0.300326619585032,0                                                            
 [3] CEC2017 N=3 D=10,5.6843418860808e-14,0,1.70530256582424e-13,6.9103764105296e-14,2.85662369504851e-14,0                   
 [4] CEC2017 N=4 D=10,0,0,0,0,0,0                                                                                             
 [5] CEC2017 N=5 D=10,5.96974930474067,0.994959057093297,11.9973108715124,5.69775982625632,2.49688641716712,0                 
 [6] CEC2017 N=6 D=10,2.05062110580911e-06,9.56875965130166e-08,0.00380610406239157,8.1166306938262e-05,0.000532363825828219,0
 [7] CEC2017 N=7 D=10,15.9787762922866,2.49930410328977,35.9769148131677,16.7292614679626,5.72378655182988,0                  
 [8] CEC2017 N=8 D=10,4.97479528546648,0.994959057093297,13.9294167236679,5.20890221231177,2.4092643428253,0                  
 [9] CEC2017 N=9 D=10,0,0,0.454324018590796,0.00890831409001561,0.0636180874928263,0                                          
[10] CEC2017 N=10 D=10,766.15155011983,0.249817764155523,1572.828797292,797.873011431174,534.589710384915,0                   
[11] CEC2017 N=11 D=10,0.994959057093411,0,9.94956029858031,1.86740491221072,2.56238127714745,0                               
[12] CEC2017 N=12 D=10,427.017541461487,0.208142998251105,839.594033445805,415.698399483443,205.396650332375,0                
[13] CEC2017 N=13 D=10,5.77412513985132,1.84104465006385e-09,52.5671219496912,7.44799917389764,7.89853029798539,0             
[14] CEC2017 N=14 D=10,20.0297992144644,3.00042302114889e-08,29.2396104512256,12.2041110564843,10.0078395409799,0             
[15] CEC2017 N=15 D=10,1.33867630773784,0.00879012899645204,12.4092358499126,2.4410984588516,3.01804628223539,0               
[16] CEC2017 N=16 D=10,1.89743343034161,0.35037825749987,120.884387821636,8.73910626426387,17.2448923140993,0                 
[17] CEC2017 N=17 D=10,32.5921383615635,16.0881535260023,79.4443980509159,35.7459336527217,11.4736168349714,0                 
[18] CEC2017 N=18 D=10,21.1720500224083,0.0530635864447504,123.637690326507,23.8732550757886,17.2750363134356,0               
[19] CEC2017 N=19 D=10,2.48053787407025,0.144745526588622,10.0619826395803,2.47112839849815,1.79542973933522,0                
[20] CEC2017 N=20 D=10,21.0598162871026,0.508963630111111,62.7117979428776,19.6690125349925,14.7789557202895,0                
[21] CEC2017 N=21 D=10,206.232924699021,202.758886071058,211.741781011654,206.463044655359,2.23321163714147,0                 
[22] CEC2017 N=22 D=10,100.000000019703,100.000000011319,100.290164841816,100.011304759025,0.0565136582004264,0               
[23] CEC2017 N=23 D=10,306.508756234924,300.000000008484,319.628982846568,306.92223819716,3.36239126902795,0                  
[24] CEC2017 N=24 D=10,334.206921438471,324.143168936805,342.659868481654,334.19468968581,3.26702450149387,0                  
[25] CEC2017 N=25 D=10,443.408349628652,397.745670875791,449.0623275044,436.584618636913,18.0781049961221,0                   
[26] CEC2017 N=26 D=10,300.000000200268,300.000000120035,1235.14589137506,458.644919394789,338.760851156363,0                 
[27] CEC2017 N=27 D=10,395.984766687189,389.005526520162,399.235753377162,395.611614716232,1.68995234903805,0                 
[28] CEC2017 N=28 D=10,583.745226280004,300.000000169551,644.131695145906,520.195371648828,133.7450715234,0                   
[29] CEC2017 N=29 D=10,236.992406886679,226.641187983778,271.674930949842,238.694312686448,7.98434789942912,0                 
[30] CEC2017 N=30 D=10,571.739494543467,394.53696021809,1249091.68253542,406413.100736367,487336.222058838,0                  
 [1] CEC2017 N=1 D=30,9.55842835992371e-08,6.51801741469171e-08,29.5765647188148,0.581536125220447,4.14133425313767,0           
 [2] CEC2017 N=2 D=30,6,0,1559295,32566.7450980392,218273.759777106,0                                                           
