Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,1.48793191101504e-08,5.37377786713478e-09,3.87537824053652e-08,1.52556381470847e-08,6.50347525530528e-09,0
 [2] CEC2017 N=2 D=10,0,0,1,0.0784313725490196,0.271524382323353,0                                                              
 [3] CEC2017 N=3 D=10,5.6843418860808e-14,0,1.13686837721616e-13,6.5760033584072e-14,2.63511989439356e-14,0                     
 [4] CEC2017 N=4 D=10,0,0,0,0,0,0                                                                                               
 [5] CEC2017 N=5 D=10,4.97479528546648,1.98991811418659,9.94958553311386,5.01381170721317,2.13358357422299,0                    
 [6] CEC2017 N=6 D=10,8.23372943159484e-07,7.95270125308889e-08,1.77792035783932,0.069654387667133,0.304297577640958,0          
 [7] CEC2017 N=7 D=10,15.8208245619351,11.5253112528241,28.5268980881777,16.3915359971197,3.56815846534655,0                    
 [8] CEC2017 N=8 D=10,3.97983622837319,0.994959057093297,9.94959057093297,4.33099775461993,1.94791992785828,0                   
 [9] CEC2017 N=9 D=10,0,0,0.454324018590796,0.00890831409001561,0.0636180874928263,0                                            
[10] CEC2017 N=10 D=10,582.366064349103,0.187363323116188,1637.49128287838,663.052920757952,562.683164871208,0                  
[11] CEC2017 N=11 D=10,0.994959057093411,0,19.8990749830157,2.12101878253513,3.2790475867561,0                                  
[12] CEC2017 N=12 D=10,376.338354800967,5.33077582076658e-09,809.353096914379,406.96820476747,213.255021601042,0                
[13] CEC2017 N=13 D=10,7.26809757552269,1.63436197908595e-09,120.308624275144,17.0148764569705,26.1712961484272,0               
[14] CEC2017 N=14 D=10,17.7301943527218,7.41513304092223e-08,27.7050727518908,11.7755483210209,10.1288438426363,0               
[15] CEC2017 N=15 D=10,1.23577990947911,0.0112079631162487,6.1810900704329,1.69136537224287,1.58864203315055,0                  
[16] CEC2017 N=16 D=10,1.96607158885195,0.512831484503067,14.9626005676682,6.7096074623667,5.79550261782624,0                   
[17] CEC2017 N=17 D=10,36.3892867500613,21.2324942734247,73.6548598273066,40.4984629321348,13.293875273631,0                    
[18] CEC2017 N=18 D=10,21.2881018327957,0.483343263688539,71.9505500069597,19.8786853924066,11.5086305290607,0                  
[19] CEC2017 N=19 D=10,1.91440798212398,0.15333859974362,3634.75347172505,73.1901432394626,508.694600436199,0                   
[20] CEC2017 N=20 D=10,21.3519655639218,0.312189169143721,92.1780649195889,23.4019700754723,17.9818452770052,0                  
[21] CEC2017 N=21 D=10,206.077809989672,200.000000006021,213.209223099057,206.208936560253,2.64101309416331,0                   
[22] CEC2017 N=22 D=10,100.000000020817,100.000000015133,100.397469647853,100.014547254221,0.0729147189165377,0                 
[23] CEC2017 N=23 D=10,307.013696749014,302.575746289062,314.70495578799,307.12837352893,2.82497520449994,0                     
[24] CEC2017 N=24 D=10,334.337025896807,300.000000109164,343.513499124807,333.72040601899,5.7168852635225,0                     
[25] CEC2017 N=25 D=10,443.39964700114,398.008989440577,445.913724931982,432.780081926434,20.5430002504361,0                    
[26] CEC2017 N=26 D=10,300.000000187278,300.000000113945,1186.34542435715,339.282972394368,171.550306452644,0                   
[27] CEC2017 N=27 D=10,395.984766687189,389.005526520614,397.247496586328,395.869096495218,1.14587710031387,0                   
[28] CEC2017 N=28 D=10,611.821808101016,300.000000250484,645.05013831975,545.489209688493,119.617923982649,0                    
[29] CEC2017 N=29 D=10,235.866611164048,227.418656346906,261.307363734402,238.609818945722,7.81796870747511,0                   
[30] CEC2017 N=30 D=10,520.98997115837,395.984567536424,1248765.09697074,393369.071066944,513913.914009556,0                    
 [1] CEC2017 N=1 D=30,1.2877680433121e-07,7.31725151581486e-08,391.881197768357,13.2827802656337,58.820215689917,0              
 [2] CEC2017 N=2 D=30,10,0,340349,8863.05882352941,47811.2377766616,0                                                           
 [3] CEC2017 N=3 D=30,4.66116034658626e-12,2.21689333557151e-12,6.93489710101858e-12,4.67007696130952e-12,1.09171171458501e-12,0
 [4] CEC2017 N=4 D=30,58.5713786478024,58.5615574431837,67.4801479663189,58.9096313125602,1.48064217832221,0                    
 [5] CEC2017 N=5 D=30,22.6925973672032,6.9810537443185,178.135575425379,39.2150920642626,45.2165422468429,0                     
 [6] CEC2017 N=6 D=30,3.90928107663058e-06,2.05806941266928e-07,0.000161910174938384,1.4386905470875e-05,2.84313148041358e-05,0 
 [7] CEC2017 N=7 D=30,103.664642815251,10.9421690476943,204.018699039536,118.65089092003,65.2338762324286,0                     
 [8] CEC2017 N=8 D=30,16.9844244844219,4.97479528546648,131.854811494298,19.635438298306,18.0390372877401,0                     
 [9] CEC2017 N=9 D=30,0,0,1.13686837721616e-13,2.8978997850608e-14,5.00384179980005e-14,0                                       
[10] CEC2017 N=10 D=30,6746.28509304872,5719.87279164307,7222.18690881961,6687.7232503502,371.355263772343,0                    
[11] CEC2017 N=11 D=30,10.9445445902072,0,81.9198644325947,31.7399321181918,31.1501397376758,0                                  
[12] CEC2017 N=12 D=30,1399.31851039074,29.8737901335173,4982.76627341238,1463.99179571506,802.190876689651,0                   
[13] CEC2017 N=13 D=30,181.589640861667,40.4573655455711,6412.2310512006,437.939244719351,1023.44772875683,0                    
[14] CEC2017 N=14 D=30,23.330308380702,20.0326384097584,28.9698976738446,23.6534347823032,1.80389157926437,0                    
[15] CEC2017 N=15 D=30,28.0602581141104,6.23500853730502,62.7596479117092,30.2652345379524,14.7783906583746,0                   
[16] CEC2017 N=16 D=30,23.4868384172617,4.56430445049932,873.878580142622,53.1990435833351,128.827455156781,0                   
[17] CEC2017 N=17 D=30,58.5704235081203,25.615158568407,531.613364435047,115.703003822496,132.885885065317,0                    
[18] CEC2017 N=18 D=30,29.1811431945157,20.3840874018449,62.1085424146622,30.7899269395953,7.91985878682822,0                   
[19] CEC2017 N=19 D=30,11.1197983061022,5.0081368801616,159.295871820842,20.6030253843259,29.9286596567544,0                    
[20] CEC2017 N=20 D=30,57.8012101217146,21.4157233185688,690.922149686692,158.857140412063,194.667317227153,0                   
[21] CEC2017 N=21 D=30,215.786081374326,207.212657752835,265.599514064222,219.41851996157,11.7463003144302,0                    
[22] CEC2017 N=22 D=30,100.000000840762,100.000000609014,6993.91581788778,545.861873279806,1381.78966435961,0                   
[23] CEC2017 N=23 D=30,363.333150296011,352.657454001132,375.215461462941,363.822874191173,5.96791032515626,0                   
[24] CEC2017 N=24 D=30,435.312708152816,427.322052739168,455.788355018241,435.913771092857,5.50063237709543,0                   
[25] CEC2017 N=25 D=30,386.7029592152,386.691308592602,386.750580104869,386.705147117084,0.0137996884265691,0                   
[26] CEC2017 N=26 D=30,947.756360794432,745.418311955758,1198.29068954548,952.940335642222,88.009621070116,0                    
[27] CEC2017 N=27 D=30,510.256327713703,493.452684141885,527.71906060615,510.741836657817,6.80766317020165,0                    
[28] CEC2017 N=28 D=30,300.002553833289,300.000000141155,466.640021210098,347.208601332722,61.499783597479,0                    
[29] CEC2017 N=29 D=30,434.141952047758,413.044251760621,524.003224801016,442.298442049839,23.8490118784295,0                   
[30] CEC2017 N=30 D=30,2368.42552654193,1985.64346895322,12400366.1720313,274206.465395981,1736166.02216891,0                   
 [1] CEC2017 N=1 D=50,8261.15366176843,96.1701639662377,26718.4722096035,8982.79339226785,7289.86247865846,0                   
 [2] CEC2017 N=2 D=50,41249,70,1622210144434,49354133948.9216,255997801680.951,0                                               
 [3] CEC2017 N=3 D=50,1.08798303699587e-10,6.01403371547349e-11,5.95036908634938e-10,1.2836692928663e-10,7.94926431578069e-11,0
 [4] CEC2017 N=4 D=50,124.742372816566,24.2066972397044,201.68222962722,111.441269927584,49.0045763421979,0                    
 [5] CEC2017 N=5 D=50,272.629350368019,13.9294267993064,340.804748456131,201.259915437043,128.019707840281,0                   
 [6] CEC2017 N=6 D=50,0.00014189567127687,1.31461506498454e-05,0.00108642637849243,0.000169063314437082,0.000157740940094096,0 
 [7] CEC2017 N=7 D=50,367.698352240335,42.6509767097298,390.946296714602,339.456760639836,79.2975624284822,0                   
 [8] CEC2017 N=8 D=50,225.911259016832,12.9345022045483,344.205694772315,189.073924983928,129.110816753639,0                   
 [9] CEC2017 N=9 D=50,2.27373675443232e-13,1.13686837721616e-13,0.0895282504166062,0.00175545589074683,0.0125364626015924,0    
[10] CEC2017 N=10 D=50,12940.4330641753,12149.9446078311,13634.4796801991,12892.28506071,315.34278522777,0                     
[11] CEC2017 N=11 D=50,35.122229212501,22.2448294733847,87.4116110189475,37.6307312009345,11.6620258029109,0                   
[12] CEC2017 N=12 D=50,10530.0715149137,2501.9895414687,28410.5529774914,13174.0713588203,8050.8291978513,0                    
[13] CEC2017 N=13 D=50,982.419422709374,402.233113357493,21144.3154475283,1917.48477527818,3193.16825750408,0                  
[14] CEC2017 N=14 D=50,26.9690327825958,20.9949982335413,34.9516322563991,27.4314937067514,3.16107682340672,0                  
[15] CEC2017 N=15 D=50,161.923861153398,66.0091744364961,1353.70468750133,179.443711256903,175.590255227258,0                  
[16] CEC2017 N=16 D=50,145.30526525016,8.62253847784154,2450.89335385011,260.530239688239,454.475480024855,0                   
[17] CEC2017 N=17 D=50,1255.40397872142,112.043734486807,1658.95277180436,1033.23127659532,496.569241952915,0                  
[18] CEC2017 N=18 D=50,39.339769137355,23.2653263683349,126.494969642324,42.1575608264362,17.4634482695994,0                   
[19] CEC2017 N=19 D=50,108.399087702742,22.2118897608902,43880.8677668996,1994.27435745979,6658.30702154881,0                  
[20] CEC2017 N=20 D=50,1447.42445530478,1033.36969752713,1749.04087371844,1462.50641776797,143.393168511338,0                  
[21] CEC2017 N=21 D=50,239.854270889342,212.953047228182,541.179762928539,279.271405375285,91.8454999634009,0                  
[22] CEC2017 N=22 D=50,13016.9725797319,11677.5190925672,13684.7409258504,12930.9347686694,398.776646267477,0                  
