"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30"
"1",8027364048.4966,1.51269370809279e+36,82976.402474221,1307.13909846739,262.019693648213,38.6102295524428,293.437953319245,229.981200496305,1642.65394879303,7488.98242216194,5776.84778915154,1113269403.99631,533944427.323693,256259.870104848,28903952.0566641,1554.26567563315,1193.81885704269,6398727.56835507,5877253.78275118,717.362904446516,447.273022379914,1412.54871482369,672.457774079293,744.223659937917,910.626240576691,5051.20549895259,799.271133405172,1789.42337736547,2534.68765056279,79790063.7805327
"2",5162595671.72326,8.46652663754649e+35,78077.4861621651,1222.83107135092,235.602693425243,31.9120522198973,322.914519351331,252.690980573209,2017.34592575061,7514.97440592357,5365.2473842966,1099953520.58146,692531592.71522,207478.795812976,12181875.0360181,2307.2073444532,1212.49066591343,4001125.33763654,7046727.83738084,781.160059337838,464.713414590637,1332.93572579555,666.789488704911,706.696643885791,1031.99294190713,5083.61740780274,910.745476067914,1981.63589617505,2638.96101961516,54050379.9287099
"3",4046721464.08091,3.94530512173675e+36,84560.5363825364,983.009196407251,254.745454192048,33.2375202841962,285.062462256913,243.38105680095,2287.95804851649,7430.80268393462,2540.71886669961,1403174781.63397,966483763.190046,319909.515701165,7607437.99576683,2158.04873311574,1293.0332014218,6794874.83437742,4857176.39670999,569.838919389194,475.331946351988,1871.59077530185,669.19356482522,728.823579365663,907.224188763233,4782.8016861343,787.978555468582,2120.92127417907,2246.31696150691,84681806.4630131
"4",6075559461.51205,6.78011849850672e+34,78453.1992485401,1299.23133943764,245.729067123742,31.8046562797342,308.915524896357,234.412372193726,2204.53453855051,7112.11530286119,5305.77138828349,1448784611.4561,261615681.865222,467029.350943358,22909435.7002917,2053.58437876783,910.733401570204,3586981.72820402,5650384.80258069,771.338400745563,486.378372995011,2540.25532562544,638.981821528112,764.100785840944,949.808150589238,4980.85214919412,942.336312433127,1870.07683186142,2532.31747904854,123020649.497742
"5",7071832510.7341,1.09064072082854e+35,73081.4018334634,1476.79360310875,252.266450114832,44.4457918482025,318.046680549409,237.265351455626,1842.08400763841,7059.48604290447,4355.07756563826,2002203658.04872,393946334.089595,24688.2114289181,35237905.330488,2568.435511482,924.414842421419,9182528.81425877,7213060.8798757,817.232459472787,433.955236465434,1575.58476113599,714.206771086574,758.720157132232,975.248227561752,4670.59531997197,877.283977917078,1635.19518941713,2485.52906192937,79365269.6964966
"6",8764262877.16708,4.12612373268364e+35,83333.4091252827,1367.49515266515,257.253790894974,37.3007960578043,317.123834296086,249.16989873653,1908.95383047029,7468.92805002238,4141.07453402717,1731582755.42546,646294768.989149,327228.991530859,4935802.88033346,2608.50174791541,1102.95051608091,7024851.02231663,4830030.37884861,767.467132846191,466.275045796163,2004.66195526639,734.71593788064,759.111163371692,1064.32399818087,4953.84886222643,841.851574563124,1908.55854121921,2580.42826951304,58784432.705615
"7",6587220806.95756,7.07592471087251e+37,74355.018111173,1418.36457172077,223.413682457309,42.7644909101014,300.182515852074,245.913355825425,1990.69642763352,7499.61847806522,6423.62794851635,1503303023.21426,751916736.738655,65558.0825384746,9618229.22307009,2485.54466215857,1082.54666443899,7530067.6881625,8460891.90372782,807.913161610887,477.902090025324,1980.25900664085,659.524147174612,777.96899392199,1162.87842092018,4634.44424473282,874.581905037169,1650.27893191965,2639.91753128261,46196346.5435779
"8",5625604390.86191,4.3830108904979e+37,83884.5695571499,1291.41575774072,271.569302883711,39.1262463150375,302.239219238417,235.530623406033,1903.60804305635,7157.33620950145,5241.79436249338,1364317639.92227,205221502.338817,340970.877641067,26087249.7438903,2297.60574212908,1220.92283559873,9436479.00136243,9920193.09920848,822.069117183369,463.649774102412,1688.58908988481,733.521542858096,748.632737952725,972.345918703857,5179.89582451284,838.15697269363,1677.48450866792,2572.1896666862,79286777.6079394
"9",5578379480.8305,1.25718848067184e+35,82441.2464727841,1312.5809800956,252.154016630559,41.2838240582113,323.287166862306,252.800578681605,1510.99498304142,7329.71592760164,3859.38041212372,889333563.862212,886584712.346372,381756.800180414,13728212.809364,2415.31577445998,978.197099739707,2604337.13700475,4510664.87009785,887.107667314473,471.908268328435,3698.51738432671,665.695767926666,790.520475410702,950.416573584958,4797.09282681991,917.869200411935,1973.27924516877,2020.68408589053,100493473.259796
"10",6231502957.24706,3.31172261639886e+35,83925.399118134,1392.75533018236,231.402056507842,43.1356629804002,304.284282665548,234.767617251745,2923.40012445795,7562.86618682811,5850.7136633588,1504582802.99083,689090909.830861,76679.4193953759,24858457.4826329,2091.01798874996,1287.41262090312,4555970.13956753,8529267.52945522,761.820439543027,458.428154550929,2427.31470903759,778.729316739073,811.398858863694,1021.44163113993,4755.06980726326,902.536821889438,2074.02403744698,2481.04022533134,76414739.7544387
