Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,0,0,0,0,0,0                                                                            
 [2] CEC2017 N=2 D=10,0,0,0,0,0,0                                                                            
 [3] CEC2017 N=3 D=10,0,0,0,0,0,0                                                                            
 [4] CEC2017 N=4 D=10,0,0,0,0,0,0                                                                            
 [5] CEC2017 N=5 D=10,7.95966741892727,0.994959057093297,132.327659803074,43.5825965558082,53.1725452501953,0
 [6] CEC2017 N=6 D=10,58.7177738747878,43.0141227768054,60.1105187312018,58.0066698758276,2.96111201661047,0 
 [7] CEC2017 N=7 D=10,105.632969698745,11.8297321670135,115.386123082917,75.3960545785719,45.634660178171,0  
 [8] CEC2017 N=8 D=10,31.8386141688229,6.96471339965308,35.8184453593769,31.0582563986743,4.45542226020205,0 
 [9] CEC2017 N=9 D=10,870.475770699078,849.748986735894,887.589174457557,871.078857344118,8.41968605784166,0 
[10] CEC2017 N=10 D=10,1551.54679129189,240.291629916567,2118.67455660804,1469.32567510704,495.186659788693,0
[11] CEC2017 N=11 D=10,14.9243505462277,0.994959057093411,53.448812032361,16.4358855671581,13.8040476670131,0
[12] CEC2017 N=12 D=10,437.202774039828,11.1729550841744,970.3109370195,436.35360925984,227.19714412852,0    
[13] CEC2017 N=13 D=10,18.9806075587637,1.11788932731702,323.550403992696,32.0419965228925,48.8367299620754,0
[14] CEC2017 N=14 D=10,45.865695393866,2.98487728087662,121.483841529867,48.6979609395383,21.3790857979654,0 
[15] CEC2017 N=15 D=10,30.7144114020541,3.05777760247884,110.597492341481,36.4152730395876,23.85301856609,0  
[16] CEC2017 N=16 D=10,359.125119584119,118.831810373397,539.944785662338,360.490970687938,81.4756016819926,0
[17] CEC2017 N=17 D=10,52.2778755537693,22.7390954304985,290.69871031141,88.0304924240542,83.5230897473488,0 
[18] CEC2017 N=18 D=10,78.4499444880626,26.1977013122623,198.561029468604,86.9042677938893,41.0708026369537,0
[19] CEC2017 N=19 D=10,12.0977733638076,4.07227208329437,68.5293320083256,17.2512757865663,12.7198033375487,0
[20] CEC2017 N=20 D=10,443.173918982588,431.238054121434,450.1399014969,442.574891434109,2.98186873649281,0  
[21] CEC2017 N=21 D=10,204.791850991809,200,211.766134334701,204.687382071227,2.03483321181885,0             
[22] CEC2017 N=22 D=10,100,100,1978.95482904094,136.873860186213,263.101806137456,0                          
[23] CEC2017 N=23 D=10,306.058375408753,300,1003.61069379195,416.554127162075,227.639285245926,0             
[24] CEC2017 N=24 D=10,100,100,334.237172425206,113.725098814686,55.4469459655612,0                          
[25] CEC2017 N=25 D=10,443.372624156372,397.742869469987,445.803257991975,439.108169365162,13.7320405161341,0
[26] CEC2017 N=26 D=10,300,200,300,260.78431372549,49.3089499890191,0                                        
[27] CEC2017 N=27 D=10,397.739731121374,393.818764684298,405.694918689567,398.138579278699,2.93840292431574,0
[28] CEC2017 N=28 D=10,583.745226265944,300,644.131694667389,554.932739343515,94.9922334142384,0             
[29] CEC2017 N=29 D=10,265.004894262796,236.851321647419,392.183995401262,270.150886739436,28.4860699572275,0
[30] CEC2017 N=30 D=10,442.907274457343,394.501352677412,817578.056990335,16465.4659732254,114421.774872441,0
 [1] CEC2017 N=1 D=30,0,0,1.4210854715202e-14,5.57288420204e-16,2.78588475685981e-15,0                             
 [2] CEC2017 N=2 D=30,0,0,0,0,0,0                                                                                  
 [3] CEC2017 N=3 D=30,0,0,5.6843418860808e-14,2.229153680816e-15,1.11435390274392e-14,0                            
 [4] CEC2017 N=4 D=30,58.5615573023852,0,64.1173950133551,52.8702802632941,19.6287311206508,0                      
 [5] CEC2017 N=5 D=30,7.95967245674638,2.98487717127989,15.9193449134928,8.05721716600145,3.09081645809889,0       
 [6] CEC2017 N=6 D=30,1.37705910674413e-07,1.13686837721616e-13,63.108439822742,27.7381836889117,28.9114326796298,0
 [7] CEC2017 N=7 D=30,37.2572793729835,33.4838674595936,40.014236021983,36.9145983742212,1.6014672344587,0         
 [8] CEC2017 N=8 D=30,8.95463151383967,3.97983622837319,13.9294267993062,8.56445129388861,2.37191567506025,0       
 [9] CEC2017 N=9 D=30,4501.58078344784,0,4589.28368942915,3882.8643424969,1565.60708547971,0                       
[10] CEC2017 N=10 D=30,3308.98808818862,1122.32730939547,4515.14764657228,3287.62653584374,703.311794024824,0      
[11] CEC2017 N=11 D=30,85.5653364248699,36.8201537543109,182.358038802951,90.4049334788184,33.1636141037241,0      
[12] CEC2017 N=12 D=30,1297.42998752193,463.307445896973,2006.45380692405,1270.63908509684,346.134269375639,0      
[13] CEC2017 N=13 D=30,46.8216194292536,4.28658289419968,195.449663731497,68.573570753544,51.0280834483602,0       
[14] CEC2017 N=14 D=30,119.494865445445,79.6973421205862,195.11014235558,123.940550891802,28.3100366110237,0       
[15] CEC2017 N=15 D=30,238.529754615463,80.743057046589,421.176555821836,235.607484123233,62.9773850353981,0       
[16] CEC2017 N=16 D=30,133.249403975646,3.37775327592499,644.078946768671,175.109470401523,159.833346824877,0      
[17] CEC2017 N=17 D=30,64.0163905070492,37.2751104863289,314.600387180881,90.3639262248453,62.2120743792461,0      
[18] CEC2017 N=18 D=30,192.106881918622,99.0529364935262,312.67971643534,194.760677901335,50.0472331218239,0       
[19] CEC2017 N=19 D=30,93.6192029660288,46.739926222534,170.57261939904,96.1042398931692,30.6183741010739,0        
[20] CEC2017 N=20 D=30,441.324429522236,38.6492339618642,745.800624109604,442.129298304591,242.470800027784,0      
[21] CEC2017 N=21 D=30,215.154489842609,205.373004184122,221.537149321973,213.846568052849,4.67557160765307,0      
[22] CEC2017 N=22 D=30,100.000000000001,100,100.000000000001,100.000000000001,2.00166333134564e-13,0               
[23] CEC2017 N=23 D=30,359.384588824768,335.646146606297,369.824234620258,358.322058738142,7.20761720751919,0      
[24] CEC2017 N=24 D=30,423.056020936489,407.492049980339,432.359821807904,422.68328389402,5.04254661147658,0       
[25] CEC2017 N=25 D=30,386.75325408839,386.687827939199,386.827120108052,386.751141123495,0.026918174544374,0      
[26] CEC2017 N=26 D=30,200.000000000004,200.000000000003,982.389432317681,431.976165101922,315.78754009124,0       
[27] CEC2017 N=27 D=30,513.626921958562,501.068519287559,540.300230291714,515.359073833349,8.44439848309714,0      
[28] CEC2017 N=28 D=30,300,300,451.711289945139,336.426070705882,52.4681746757269,0                                
[29] CEC2017 N=29 D=30,459.30793556205,416.546615842571,524.701815640522,460.672179014548,21.6167108843657,0       
[30] CEC2017 N=30 D=30,2218.91087516216,2018.43473591508,5561.92507074037,2276.20961816102,487.967296766905,0      
 [1] CEC2017 N=1 D=50,1.4210854715202e-14,0,1.4210854715202e-14,1.39322105051e-14,1.98991768347129e-15,0            
 [2] CEC2017 N=2 D=50,0,0,0,0,0,0                                                                                   
 [3] CEC2017 N=3 D=50,5.6843418860808e-14,0,5.6843418860808e-14,5.57288420204e-14,7.95967073388516e-15,0            
 [4] CEC2017 N=4 D=50,114.011561486616,5.6843418860808e-14,142.305156891609,73.8225308141558,52.8616186755478,0     
 [5] CEC2017 N=5 D=50,9.94959057093297,3.97983622837319,16.914303970586,9.40333853958763,2.51953594587937,0         
 [6] CEC2017 N=6 D=50,2.27373675443232e-13,1.13686837721616e-13,60.5293989916552,2.87623261531809,11.8028859753407,0
 [7] CEC2017 N=7 D=50,59.7610316800717,56.880959806593,63.720595199586,59.9001561523001,1.56880062820896,0          
 [8] CEC2017 N=8 D=50,9.94959057093297,4.97479528546648,17.9092630276793,10.2422255877251,2.96019377034617,0        
 [9] CEC2017 N=9 D=50,12218.4337623884,1.13686837721616e-13,12353.5035201345,11482.9165866139,2901.46306512536,0    
[10] CEC2017 N=10 D=50,3452.07761453551,1071.7244749792,5820.09424507395,3358.47641577998,1031.99916929527,0        
[11] CEC2017 N=11 D=50,131.689536925056,85.9218457612646,194.371190286193,130.652238528243,24.9037663665832,0       
[12] CEC2017 N=12 D=50,2621.21603558539,1562.28844003609,3513.42209472111,2498.6561964974,501.174860665489,0        
[13] CEC2017 N=13 D=50,176.730196428028,39.6173744415405,600.65104568411,200.182857185047,103.468168867118,0        
[14] CEC2017 N=14 D=50,200.085507529968,134.416921027273,263.75984494422,197.022045260989,30.8672943757194,0        
[15] CEC2017 N=15 D=50,456.114609661767,295.509404023452,658.981482723659,463.826542396204,88.6626341152303,0       
[16] CEC2017 N=16 D=50,365.38740659393,123.916742872703,784.398693685791,364.389305309151,158.54003294576,0         
[17] CEC2017 N=17 D=50,281.396259450688,190.412842184624,791.483155313862,327.361168279939,122.370353403481,0       
[18] CEC2017 N=18 D=50,335.484110140838,209.94156215877,592.905605914036,341.431563140884,78.4985715824394,0        
[19] CEC2017 N=19 D=50,96.971683930843,50.0234883430853,153.980371772891,100.788894064573,25.7117159596142,0        
[20] CEC2017 N=20 D=50,1283.53590451853,248.174627015425,1858.55648746936,1346.53881372955,364.317386860433,0       
[21] CEC2017 N=21 D=50,213.438960265864,206.203574684405,220.942155814796,213.420145845974,3.08906609754149,0       
[22] CEC2017 N=22 D=50,100.000000000002,100.000000000002,100.000000000002,100.000000000002,1.82386784298779e-13,0   
[23] CEC2017 N=23 D=50,434.96565691592,405.4610433925,459.041864015229,434.452428315901,9.74953845901896,0          
[24] CEC2017 N=24 D=50,492.525974707311,473.011216556971,505.616918262113,493.138909887935,6.83356525931242,0       
[25] CEC2017 N=25 D=50,480.239403203728,480.230708956375,562.585182919609,482.317039228815,11.6880697991942,0       
[26] CEC2017 N=26 D=50,823.324682580419,300.000000000002,1181.73895562912,817.332075937462,197.342506904345,0       
[27] CEC2017 N=27 D=50,533.201946287659,507.229553221899,557.653738807585,533.401828172755,8.86986285028048,0       
[28] CEC2017 N=28 D=50,507.694692846078,458.848722725707,507.694692846078,491.412702805955,23.2553333091584,0       
[29] CEC2017 N=29 D=50,468.137533080733,357.447837612646,806.149035028933,487.200199648506,113.378415693869,0       
[30] CEC2017 N=30 D=50,600454.865084291,579520.639370829,750419.055604347,614164.380181293,39871.3175466897,0       
 [1] CEC2017 N=1 D=100,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-14,0,0                      
 [2] CEC2017 N=2 D=100,2.43462294616527e+159,0,4.17209688777541e+164,1.79877584896935e+163,Inf,0                                
 [3] CEC2017 N=3 D=100,5.6843418860808e-14,5.6843418860808e-14,5.6843418860808e-14,5.6843418860808e-14,0,0                      
 [4] CEC2017 N=4 D=100,192.067709475892,6.16813622400514e-09,212.276856262435,178.672699061684,47.5037773416117,0               
 [5] CEC2017 N=5 D=100,13.9294267993062,3.97983622837324,20.8941401989592,13.4807196747775,4.11828300154371,0                   
