"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
"1",34248255016.2186,34451864432.2202,34370793128.7938,34560893561.2054,34521612932.7665,34316511933.6489,34473388785.8294,34312056018.5398,34081057671.2004,34508339431.3161,34414884280.242,34523859551.1817,34609462303.0232,34633953062.6087,34210128033.5543,34190722319.9493,34352070961.6638,34713406670.714,34493642932.5076,34496207528.0806,34131100813.683,34556138901.9982,34481096162.6895,34377669666.2802,34522942933.2513,34479088433.6927,34318442404.8494,34481116876.3868,34441145348.6451,34548740184.7491,34793769381.4505,34399231705.9343,34576853629.2838,34337334636.055,34355570136.7311,34349753514.2597,34410540139.6033,34379317677.5367,34363130950.5517,34774873540.3136,34126623755.5549,34511677060.1555,34460306222.0265,34641526207.2631,34457449875.226,34534578679.2859,34469314532.447,34456912827.5152,34485919124.8588,34366133603.282,34473948362.5844
"2",25369004964.4394,25453287629.0961,25192875724.358,25529325699.0551,25305635485.5666,24936692972.5741,25018580711.0816,25553539823.4161,24970831356.7,25246310117.6256,25169252883.3325,25142648736.702,25457332835.7459,25473924618.0916,24730035992.443,24907226629.3483,25293565280.659,25633964540.6714,25287011916.0327,25274491033.1641,24780281626.8362,25397013307.5989,25033900239.1897,25161080082.659,25352956669.5297,25266793905.804,24904654316.5882,25221550395.4019,25513051541.1057,25815545686.2932,25597367716.8704,24739589500.4446,25569691089.363,25292396907.6639,25072738536.2559,25265414268.4457,25224385628.2607,25330482265.8299,25312363923.8447,25603712456.9507,24866171007.5121,25359763853.7703,25344236343.7564,25605918256.9297,25059588969.0838,25120371662.5227,25605390495.7473,25117810988.3022,25382370128.671,24813927792.5392,25589182376.0112
"3",15048520506.5388,15040789874.8023,15098109087.5054,15389708757.6483,15317589495.4008,14464014515.2203,14905933097.9453,15419190574.9941,14895762741.5353,14966669137.6519,14791710348.4153,15238658479.3364,15257057974.7474,15434183501.526,14469728120.2729,14713906110.0217,15112364903.8079,15726316578.895,14910416982.4725,15135931770.0044,14270694449.9285,14894390203.8602,14597818291.7049,14688128529.6189,15177748573.1864,14926075360.1625,14145138648.1784,15206246797.6807,15570513778.9332,15593005761.7481,15813896597.6671,14069406006.283,15549025603.1723,14979983948.1565,15431642557.8374,15337712458.9011,15061160494.87,15568467704.4436,15055668838.3374,15368511501.676,14542007877.3683,15204937235.3145,14645230150.9081,15713867134.8489,14762944512.7466,14700407950.3531,15296709027.4765,14721944871.3601,14899318307.4636,14663932546.1437,15559658184.6785
"4",76076850.7924451,171070636.513721,212164547.678211,344152594.210652,136806062.697946,125157124.007213,171487543.114656,352284592.980636,221821224.307668,258319183.467142,113533547.538652,345364642.317474,182947169.696991,308359414.723841,103271299.509529,150779829.984568,224030899.272403,321456948.289538,218486408.522532,228610616.790687,135441850.740195,320282690.626873,186709090.308308,55827772.9232316,319629347.762144,154996366.093262,193820233.322039,243681885.731033,155071254.637029,370335382.44074,336134410.766112,150925011.127223,413993023.995987,135073492.838273,294762248.217105,260461513.564065,230366669.971151,220729637.572334,393215123.097745,337406558.875359,138880245.958131,300166265.533397,105090237.620804,375918490.680032,144939175.70486,124138804.039648,233319997.244747,195477237.560197,119624690.846603,157008241.76477,275957167.74071
"5",2416346.29468147,2603257.82752412,1862427.92706868,2983135.89035877,2379873.98673473,2540783.4693595,2457056.72903462,1723907.7787171,2347389.7550121,1949113.36482017,2440685.7058482,2306223.00542916,1649466.20787051,2341341.83978975,2141442.23184282,2780171.87588135,2965043.10923124,2109299.10314999,2043101.80303829,2094760.68090023,2007397.77752828,2145804.66674386,2409895.20203142,2215158.92417252,2106239.02940299,2681620.01382884,2669885.32958462,2532549.74597159,1884446.40182128,1800867.77605878,1823605.17543511,1620301.09234502,2747728.20314904,1780670.40095894,2222087.0225174,2467387.54044198,2106669.71738081,2690437.6018434,2598318.27254017,1918890.69696448,2153993.17004016,2194699.67757986,1576331.50564627,3125034.95035464,1823704.20927072,1919802.35887767,2464388.93848824,2487180.57947827,1866687.23582353,2640627.17213634,2419904.79370926
"6",157679.765983693,229836.687251403,160094.037779153,190467.346998559,139428.54867498,182961.253365654,135916.676349237,233844.685961041,137494.116080995,163768.095857807,140604.743876665,241669.8692513,173142.756716188,186066.570488191,122083.451767576,134551.929367138,190575.664266747,167116.714236696,177985.623252524,151749.155275414,161944.919553062,176195.619825945,160236.276201349,170482.255652198,197532.991769973,154795.584900855,168478.642348878,108766.863065304,153450.828391612,139265.23627157,184720.414162575,149593.431701679,164777.714799108,179917.476504924,178569.302225821,173023.571378395,119488.33536192,154739.511634009,163277.474200322,224203.720223995,191017.6971313,148483.311833477,178653.066608263,180271.900542387,132622.186975056,181852.646404227,166807.017237951,152890.291102423,135795.558702819,162986.699543005,203074.820492999
"7",46459.3872958196,55499.7874642852,34514.5064255005,46760.8572879355,42951.8936565852,44444.5930841175,29553.0615956662,37254.5837445043,26804.1398031057,37318.8982239117,16934.9767717469,51108.1858040901,43065.2461856672,41232.697125332,43180.7967225826,28083.7843616123,47322.2237032066,27880.1993100762,43153.9779837452,33372.754984711,48485.2007527486,41581.3797506524,47931.7418929191,42155.8223283857,32171.6081348914,45853.8613174799,47396.9507909553,26262.3828280792,43113.0348001935,23289.4247817009,30413.21702469,21761.0681917679,42314.2297896828,36803.4339539754,34895.2536020789,38017.8469137183,23662.9375877215,23585.6507165174,27593.5326997502,31878.6184368534,49060.1837338139,37218.3076575582,44021.5966503655,44003.6545894389,26324.8602311029,42775.930341574,38600.9832880272,40212.486904874,23458.2105901457,38722.8540035426,48801.7251224155
"8",4621.26576203033,3887.28801056268,6343.00575054107,6622.98484891291,5932.09292160671,5773.50690918669,4273.47577454056,5760.06602821205,6229.75767669238,5231.73289239325,5798.25304434013,4645.81928877194,3958.05779181276,5873.4478971996,4574.57137009114,5785.27260469025,4423.01884831847,6238.61133898779,4921.11209388295,6151.08515978813,4511.29006034419,4457.99328222834,6538.98823597971,5926.6428968798,4915.08528936469,4242.14391218623,5191.20739996845,6088.71720236686,5119.91872602618,7041.12086532819,6214.19882296324,7740.28670053408,5010.90308756601,6756.85317886815,6699.77298819007,5544.48304018551,7496.84451516084,5692.46327133756,6817.0947356365,7046.9100641015,4934.53726853263,5896.18920528839,4629.79865799852,5224.6104442071,8164.64564785836,3967.84354066574,5450.2131931822,4815.35671803971,6093.09890964678,4230.79042233038,5123.2762027613
"9",1215.69347852975,1320.68483589848,1576.26339608426,1440.73312034195,1190.73553042337,915.016496996618,1000.4522878762,1872.19844642991,1327.88551210452,1068.47825084328,1283.50898601096,918.539494059862,1701.40089554944,1017.48294500825,1195.82888532289,1139.4299574836,992.713609802011,1021.79476405692,1079.67064946235,1046.93381859796,1161.52527839199,1140.55438979536,1235.51649995397,1347.33154903736,1342.05381748223,1322.35921569676,1459.07769103214,1232.88802023894,889.619600065306,1174.6349313337,1449.71203793537,1200.3498119927,1072.54838310689,1923.880727867,1294.03120589228,1558.16003286146,1554.31876842645,1162.08010719031,821.417089741,1257.29825086253,1334.35133846036,1547.9897062656,1015.01588555099,1289.44961373998,1117.01212422493,942.350315351946,979.11298196741,1302.60174675967,841.656715608891,1149.77417837592,1340.65277096236
"10",374.101512357597,353.189833022303,389.229870637419,330.175851059088,373.870733484332,391.493306418198,342.77907012169,445.723919292739,411.341341313309,319.445296721111,438.503509544627,389.4850400433,365.804424753877,393.014353606871,369.268004027225,394.045084155102,394.585550812367,395.418435116901,384.550804433127,346.484933226477,406.521026139771,305.150656580092,361.068983004516,392.980379907919,376.922149398517,359.569202144422,331.443567930482,391.038700236501,352.648309937519,431.653516001826,395.061442729232,393.938104056528,404.834585082168,378.341487835099,428.018420872735,384.013042845417,406.4222966857,333.033771519987,431.130328712654,361.34241756651,348.970440258616,369.225176022027,318.777320078425,383.581235984456,371.349716334013,412.501613148165,348.549041683546,391.989250201886,404.157608362161,364.474760577125,436.266540417576
