"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30"
"1",8770.36587766155,0,0.0359367019536307,84.6996117705278,854.657745012108,63.8219593925963,2632.03800446465,1099.41245217559,22208.9729005315,15916.6938588193,811.173494058318,5514.37093753365,1459.18918190662,223.264738426715,365.015430152492,4993.79220721244,4258.66663657692,202.529995900198,174.458982069652,4258.77594859312,1365.77276833002,20194.0872325767,6128.21956077537,2551.2379901613,747.215272454775,21662.7101440941,13646.3647642076,552.110776930333,5245.34334590721,2885.13953861855
"2",14685.6664411453,0,0.0344484571192538,82.3416045380668,881.52079983758,64.3046427913971,2621.87725079426,1098.41769208191,22196.9641731771,15819.2320655808,766.118494806819,6102.73660436004,2251.95857586258,233.169414066075,289.367419836262,4954.10329744894,3575.12714359547,197.681184467873,126.513692870831,4277.87556706799,1423.85716934651,20418.1429613038,6034.17618074839,2754.01205310087,697.765421637089,23601.3388462541,13892.9344183175,521.705071371719,5155.32352908721,2936.88587174239
"3",10724.4052493794,0,0.034547222528488,75.8613758264769,861.622433988297,63.8220029738986,2604.87329034257,1105.38205579721,22217.5405694418,15503.2156984287,913.647879624125,5689.36607671156,1908.88282090081,235.197128248502,369.119313075688,4914.9894199726,3319.78091831453,165.618370469858,173.298347166487,4257.60200545557,1403.41280452778,20304.464078536,6128.22296618016,2609.90649093554,697.768595007164,23728.0778423702,13851.0854197667,541.516748494652,4857.8144087539,3235.20159587736
"4",10866.7961929282,0,0.0349954071025991,84.0216674798544,877.541200954975,64.3044874310051,2640.87074403988,1107.37181154303,22208.2728071209,15720.4526285486,795.250944512932,6658.32951743364,2025.5016156559,228.201078966848,327.721008097776,5013.80927679281,3323.8972281792,183.599075678079,164.639302144943,4257.47075612968,1374.06035889971,20204.4634398089,6056.51161794526,2687.70144955741,697.767946206572,21897.6295098975,14012.1136012702,531.884067779853,5048.95831908746,2860.74062349337
"5",10484.2878394672,0,0.0330971462771004,83.0450505474756,854.657911989669,63.3957908830739,2595.07302358991,1104.38714945588,22253.3751130974,15819.2347974396,661.435919275035,4655.24991953919,1107.39500962061,198.39206029804,329.052866344399,4993.90789340238,3976.67623706884,184.561602706077,184.689580256202,4240.56077362403,1536.42609562685,20599.897674251,6119.87986470514,2446.43952337916,702.756475636941,20124.5731264022,13948.2794105407,546.267110796241,5352.79895129817,3212.61172273154
"6",12254.3091017112,0,0.0322617802933678,100.594610322312,886.495631878949,63.8219706136803,2623.10529426127,1098.41756331947,22242.9766561594,15819.2289276785,703.439073111355,6243.0961635873,3309.3048599962,226.210770481569,378.762240086061,4776.53451345017,3205.37826686076,173.564739355174,144.023086817487,4241.40053901524,1338.32779404154,20417.4861947231,6089.80482103528,2633.38529083434,697.767523816103,22565.087735007,13944.6751199983,590.127539362498,5058.22948983529,3570.73780346656
"7",11736.6199502719,0,0.0332135891153484,99.3802249511201,863.612171790863,63.7267242774352,2630.63405884234,1107.37204837078,22186.6560152056,16036.6778055471,631.806865876908,6796.68154497148,1035.87432825654,234.196262815486,312.901168190194,5033.53984491288,3141.50021087651,195.122917437307,196.401989171523,4257.27195197086,1538.20109226983,20468.9974054587,6143.74627762854,2060.33381866879,697.769877951626,20523.0516496275,13812.3917103106,484.927643630332,4871.10321921391,3228.67554196023
"8",13008.385945575,0,0.0328225617631119,79.8514392821171,859.632605841869,63.3960354562236,2613.15701058371,1108.36681662427,22216.2324067734,15621.6414225961,705.425627930683,4903.4513230559,2079.99543407633,223.216112883005,375.909351452371,4776.34473628306,3386.30779249122,142.692946705396,182.667515023033,4257.37211022779,1493.37639235994,20544.9515065451,6153.01661292123,2464.31066194678,637.156939162205,21828.1660513909,13272.4913581452,539.074556887903,5851.53955735508,2988.89573597586
"9",14315.5555357297,0,0.0360129983226898,83.3688984707434,858.637645885495,63.8220975973709,2605.02062576607,1095.43263329613,22231.8741002282,15877.9656507572,745.996149988959,5809.70492444405,1904.92676500243,236.222376156509,335.265988668465,4993.60001284011,3530.15912823369,209.866548899385,197.836063443413,4257.51465918957,1244.38938791273,20261.0336025033,6128.22378225855,2527.73797522374,637.15432049944,21796.3228495584,13782.4355382921,537.499713537161,5032.99810130531,3246.04632486776
"10",9307.98833678466,0,0.0259423819777567,4.00189814358248,866.597015826232,63.3957257372184,2617.07933702319,1099.4125267515,22243.5203809378,15858.7495207843,833.771785784492,5893.87385961652,1943.05007164322,196.338982477147,372.678889118218,5132.40438147499,3266.1836397366,189.111037683824,155.845222912694,4240.42176487277,1554.91758469026,20476.2981061311,6002.64194591818,2835.50586932013,747.220219737842,20976.442339207,13873.6072098449,531.875223333716,4988.65715349064,2985.69139629236
"11",13432.2031693817,0,0.0336362281096854,103.097669195374,857.64256140876,63.7488882131667,2624.61658270223,1107.3720362308,22144.2734950301,15819.2276235432,650.488120408557,5144.71237436971,1805.59752566494,262.023421507699,278.203644646482,5013.94880588953,3636.36512461339,229.231611261779,213.746177494885,4256.79587783476,1587.08521068525,20304.4638633911,5963.80168556484,2572.20778914298,697.778306006886,23979.5817720881,14058.3971093758,521.713404683022,5533.56138900868,3493.29724902345
"12",11749.1555450755,0,0.0315498574302069,4.00113890926565,863.612450537312,63.8220855257205,2630.33488972481,1099.41243424857,22232.0922403644,15819.2361986475,694.771071087756,5981.96584870055,2078.27626396491,219.265680788396,334.564230058902,4993.9652225614,3503.07947281843,171.431570504443,187.946428292055,4257.30334311809,1546.66593321431,20136.0958091463,6089.80423743607,2749.62804060305,697.760171275795,21553.747857461,13929.997747706,544.408657856203,4578.66531393423,3228.96379609856
"13",10878.8966558385,0,0.0318120319759601,98.9983297266766,859.632498260678,63.3956382122119,2651.27285054464,1099.41247368802,22207.4753040305,16036.6832955171,773.366589697352,4246.25482747843,1814.00149431768,236.158195974072,316.654054082823,4935.49577412166,3987.67345455975,201.18309399038,164.141223946612,4240.58880148025,1388.74769537123,20514.1626316092,6128.22380515285,2637.03295872795,702.760911182012,19143.0817245094,13750.1741508991,520.118170543164,5562.25233752252,3526.92219002763
"14",9527.09153946299,0,0.0325167394475443,84.0048129067288,854.657856649022,63.7265045026124,2624.11746935122,1108.36699456488,22223.0609480184,15720.4401662092,741.524343974444,7005.96812985057,1987.37993041739,209.341026841695,282.366319091261,4993.61166902169,4145.50469485456,215.299847235212,139.167497337026,4246.66803097652,1376.34792259258,20261.036586086,6128.22244011745,2887.88033847449,702.75794677198,21858.1609947941,13792.4757165095,537.265967495729,5443.80419955873,3212.33953342186
"15",10281.4781038645,0,0.0336336083148012,4.00725174944739,857.642732141496,63.3959869293574,2650.83608465559,1107.37205426671,22273.4719510737,16096.1948790877,701.735658543958,5181.5094293882,1527.37632034508,226.184883710894,327.077489081318,4736.96202099653,3739.91817371828,198.258439013975,149.531175076529,4258.08242736091,1530.26289920584,20230.4604345057,6128.22294215735,2216.66611339419,702.766340256571,21008.0571904605,13900.6549555969,541.6113857629,5223.31027486304,2871.76307432734
"16",13799.454102914,0,0.0318558163532998,4.00996458937556,855.65283669592,64.5309578052276,2605.88547046246,1107.37198147127,22202.8281336342,15878.990625781,601.728144307898,7006.77123114116,1328.35437135619,236.192663368956,482.116354365374,4796.75601151545,2939.99930770588,181.437777313062,188.660103423599,4277.8525154923,1389.88022274387,20136.1065329622,6089.80560433735,2442.49358396136,702.761545227313,18897.4290485154,13653.4022525253,545.27225542289,4613.00130884728,3595.51249638097
"17",11368.5865959194,0,0.0352191089689882,4.00735270202603,878.536076945775,63.7267725617545,2605.88693596103,1098.41765448663,22235.9089265771,15819.2395444795,756.451373598823,6645.65038527014,1917.84932996347,214.278270594525,319.844819343457,4993.59771602847,4003.12921771574,180.801889618998,195.093940676034,4257.44206602034,1512.44932214275,20841.6655073493,6089.53352885586,2750.93870175121,697.762360235471,22295.2305539841,13794.4816273736,509.686789329766,5392.55222307385,3483.5080838165
"18",13364.7406212697,0,0.0336400015448248,4.00679438791173,861.622241144788,63.3008574760684,2624.11545222912,1108.36675042069,22262.2061254362,15819.2392359345,661.433072024742,4641.80920019721,1926.49606100133,219.274422007275,427.504375364603,4737.33808039502,3410.78201537503,182.848742692616,178.483389928305,4277.79373645832,1328.80753836374,20194.0915278909,6160.15939197093,2682.0082275584,702.772741234919,20075.2174125018,13735.0726903063,531.878538260325,4666.30163016217,3291.1741271617
"19",9569.24312873903,0,0.0354659129913557,4.00933064198074,873.561373668379,63.7267571674568,2604.87437832224,1104.38708960155,22134.5199166211,15957.5395030149,686.307686745137,5017.82795425919,2293.336428892,230.163163764579,355.679961647526,4993.80859723761,3393.81623469407,206.199047265827,145.861228318548,4258.30706682737,1479.42549011675,20136.1066244586,6153.01742533188,2734.05358996591,702.777943917933,21076.8546521601,13725.0039442463,535.855934635443,4888.65977770301,2961.67192929082
"20",11782.9437491117,0,0.0315579763759501,84.9297716784922,877.541057193627,64.3258413400657,2604.87553163855,1099.41255292039,22244.5762307267,16036.4541834695,674.869646293506,4773.8712217554,1756.58884859917,243.15351845075,328.576277579034,5152.78884739053,3287.0578487189,198.824510354502,150.090972566654,4268.92105133223,1395.816296031,20310.9469072808,6089.80357032135,2357.69322202199,697.760510059716,22338.0157321894,13988.7022291,533.417984842227,4561.78714603932,3443.46920993489
"21",10721.7803239068,0,0.0328896062770809,4.00219254547312,872.566903567805,63.8220701944994,2601.83125623349,1099.41232729805,22161.166160331,15837.5689925066,738.035774912546,5395.1778379557,3074.06323846545,212.301098351109,351.186075083501,4993.33953393825,3387.20022980644,210.882838488538,172.425371143985,4240.57940338568,1452.79768196176,20092.117709879,6089.80489706997,2342.18121380884,702.772750468392,22232.3778899638,13717.9629097126,552.642648054053,5556.69194660935,3256.52298011705
"22",11353.5719396255,0,0.0304354939261771,4.00056238538446,874.556269673091,63.2577236379429,2613.15552972212,1108.36689117644,22297.9235565379,15819.2189678159,722.11852150537,5367.56323875551,1436.10439989289,250.111310120121,359.002578017267,4776.44977843607,3185.08300584561,198.796086777167,150.235454388184,4240.52658259174,1552.60837716353,20249.2195002425,6114.00348922938,2428.01617619735,637.144913330038,23481.1442288132,13970.4046821758,590.128537026248,5138.5731585631,3126.56250639073
