Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,0,0,5032.86734991053,100.657318448116,704.601428987503,0                                   
 [2] CEC2017 N=2 D=10,56363,358,503289970,14287866.4901961,72855618.8927228,0                                    
 [3] CEC2017 N=3 D=10,0,0,0,0,0,0                                                                                
 [4] CEC2017 N=4 D=10,1.68172044623236,0,10.3694577990432,2.26427321723034,2.25964232204946,0                    
 [5] CEC2017 N=5 D=10,132.327659803074,131.332700745981,133.322618860168,132.327659803074,0.198991811418659,0    
 [6] CEC2017 N=6 D=10,59.0966065875226,59.096606587516,60.1105187312149,59.5140998231556,0.503965154461308,0     
 [7] CEC2017 N=7 D=10,111.273144662256,111.273144662256,112.563290233918,111.435564707214,0.338589166405964,0    
 [8] CEC2017 N=8 D=10,34.8234863022836,34.8234863022836,35.8184453593769,34.8429953034031,0.139322135207103,0    
 [9] CEC2017 N=9 D=10,878.862367767783,849.748986735894,883.22577111267,874.880966709897,7.9268616735662,0       
[10] CEC2017 N=10 D=10,2178.05274725943,2039.7075122401,2375.8587850013,2183.153379083,84.9155825068137,0        
[11] CEC2017 N=11 D=10,33.8283443727437,5.96974930474062,112.428950592597,34.4743912992137,19.7360979985462,0    
[12] CEC2017 N=12 D=10,340.00912024967,118.438334614438,3147.55889513374,490.519276568055,474.837806931477,0     
[13] CEC2017 N=13 D=10,237.391966980452,81.9619469444999,718.138462019401,290.470609806814,152.344923725425,0    
[14] CEC2017 N=14 D=10,41.8894020498112,23.7959783140152,401.810827549429,51.990727373249,51.7729127819547,0     
[15] CEC2017 N=15 D=10,65.2132902518952,6.71538377087495,199.76318726901,72.3365808970588,49.7920429703969,0     
[16] CEC2017 N=16 D=10,819.663945250498,665.444410031072,821.446953710077,810.801297027336,36.5925649890324,0    
[17] CEC2017 N=17 D=10,135.566297604534,50.7948472367934,374.273746792813,187.303112695749,102.034265662093,0    
[18] CEC2017 N=18 D=10,119.705158261921,35.9588100350102,313.262264335005,125.464152031733,56.3790950181539,0    
[19] CEC2017 N=19 D=10,12.0996349592874,4.26589038389466,75.7577344719534,17.3130417080746,14.2976933320882,0    
[20] CEC2017 N=20 D=10,443.175233589877,443.173319701456,443.176811441157,443.175210575116,0.000766173834425379,0
[21] CEC2017 N=21 D=10,325.667501433308,289.808460389864,387.21337165781,334.357595272905,29.8226805579833,0     
[22] CEC2017 N=22 D=10,130.32894099654,105.736533396432,391.698187746257,141.630426727585,45.0721422050716,0     
[23] CEC2017 N=23 D=10,1003.61069379195,1003.61069379195,1070.03147014289,1008.82016644693,18.0348602721255,0    
[24] CEC2017 N=24 D=10,100.000000000001,100,100.000000000001,100.000000000001,2.26046415758333e-13,0             
[25] CEC2017 N=25 D=10,445.110413179827,397.745670875791,458.275695238886,438.117077671421,18.6240081255233,0    
[26] CEC2017 N=26 D=10,2388.05583246226,2166.2716316085,2388.05583246226,2381.54851046254,32.5847954257469,0     
[27] CEC2017 N=27 D=10,736.938908940656,556.468657452654,772.701312762539,688.17409855127,74.040964435283,0      
[28] CEC2017 N=28 D=10,587.106121895828,366.234005973322,651.932393405509,573.116530034269,64.7375230607998,0    
[29] CEC2017 N=29 D=10,416.123648421942,279.110752840475,799.808739900318,444.426500887324,130.849533023582,0    
[30] CEC2017 N=30 D=10,732.069066365538,438.309679003311,2290.32803309069,814.068944673715,317.538240354943,0    
 [1] CEC2017 N=1 D=30,1.35003119794419e-12,5.40012479177676e-13,2.27373675443232e-12,1.38179663789582e-12,3.82328389824507e-13,0
 [2] CEC2017 N=2 D=30,1073759236,4,281583398522268,17095114488419.4,62474545253881.4,0                                          
 [3] CEC2017 N=3 D=30,0,0,0,0,0,0                                                                                               
 [4] CEC2017 N=4 D=30,3.98662385430094,0,71.8889729096076,8.99436686932097,16.1799924609651,0                                   
 [5] CEC2017 N=5 D=30,303.459141617063,300.474269483602,304.454100674156,303.24454270353,0.573763183340544,0                    
 [6] CEC2017 N=6 D=30,63.8611996754726,63.8517460307818,64.3422115623972,64.0163956378591,0.171046457900911,0                   
 [7] CEC2017 N=7 D=30,651.906265709604,628.857476233504,661.22641072308,648.552093565238,6.82154915028654,0                     
 [8] CEC2017 N=8 D=30,197.995300285458,194.01559119431,202.970070336391,198.970747094343,2.24683166773276,0                     
 [9] CEC2017 N=9 D=30,4523.01348779364,4465.74008706716,4613.9233511238,4526.70524370304,36.8814860683755,0                     
[10] CEC2017 N=10 D=30,4711.74854543778,4591.92313562515,4711.74855334145,4681.22186347696,32.5198274067542,0                   
[11] CEC2017 N=11 D=30,81.5860802346219,60.6921226797742,149.524302873658,88.7800973045337,20.8770662211333,0                   
[12] CEC2017 N=12 D=30,1286.09706411128,558.600123819389,2638.74103323874,1320.33930862331,404.753425575753,0                   
[13] CEC2017 N=13 D=30,1962.29742145852,998.984820016566,3729.46271408767,2008.26116065593,512.277971096068,0                   
[14] CEC2017 N=14 D=30,99.6045343198032,70.7576103870124,131.452040358752,98.5001277305261,13.4903320410764,0                   
[15] CEC2017 N=15 D=30,209.617118280384,105.600189862455,326.252904676589,214.692892189009,58.3951446027945,0                   
[16] CEC2017 N=16 D=30,1777.89254461605,1414.13644549946,2150.6059380479,1823.07711863392,148.598203318366,0                    
[17] CEC2017 N=17 D=30,1238.01741055374,1012.66161373882,1547.84249976471,1224.61046423744,127.308411734381,0                   
[18] CEC2017 N=18 D=30,150.980064854504,67.1594299704552,289.887098020495,163.063859458722,47.6009245398355,0                   
[19] CEC2017 N=19 D=30,87.1171397292746,45.0518708627148,140.658997618149,85.8289428637882,19.3091758337069,0                   
[20] CEC2017 N=20 D=30,1240.03578901633,1096.64725788782,1366.33118330762,1244.11224910026,84.448895987499,0                    
[21] CEC2017 N=21 D=30,574.925850663919,543.23950173824,603.581403998213,574.377116709588,11.7202079142843,0                    
[22] CEC2017 N=22 D=30,5780.06945590118,5502.18000776724,6121.75798562476,5767.63318066319,147.193775469496,0                   
