Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,0,0,0,0,0,0                                                                            
 [2] CEC2017 N=2 D=10,0,0,0,0,0,0                                                                            
 [3] CEC2017 N=3 D=10,0,0,0,0,0,0                                                                            
 [4] CEC2017 N=4 D=10,0,0,0,0,0,0                                                                            
 [5] CEC2017 N=5 D=10,132.327659803074,112.428911662739,133.322618860168,131.352229715234,3.60101777008924,0 
 [6] CEC2017 N=6 D=10,59.0966065875148,57.0820114560549,60.1105187312018,59.3743367457705,0.636414754481221,0
 [7] CEC2017 N=7 D=10,111.578593734684,95.5839634278694,120.580094480198,111.692912195301,4.00086470857836,0 
 [8] CEC2017 N=8 D=10,34.8234863022836,29.8487162513508,35.8184453593769,34.7649598925008,0.876730562561648,0
 [9] CEC2017 N=9 D=10,874.498964422895,833.135582924597,883.22577111267,871.34584480614,11.7478295789419,0   
[10] CEC2017 N=10 D=10,2098.94870380246,1664.57855857063,2375.8587850013,2078.5204308536,131.661477578363,0  
[11] CEC2017 N=11 D=10,39.5197473859073,5.96974930474062,106.458581053991,44.9279470608134,25.2818372975355,0
[12] CEC2017 N=12 D=10,458.239311879463,118.438334614438,955.379579923217,464.511017614899,214.251994114749,0
[13] CEC2017 N=13 D=10,254.455075194828,28.1596667040917,714.793767077697,289.028767622697,165.411354135248,0
[14] CEC2017 N=14 D=10,63.9260799255374,28.9418169426458,149.340053834856,66.1721121543166,22.9755327038629,0
[15] CEC2017 N=15 D=10,57.0111848651809,9.19152128994142,276.979861011062,67.5089900781405,51.3515698201982,0
[16] CEC2017 N=16 D=10,666.389051850025,487.10152863103,779.773037350035,671.773441854969,41.1863639937663,0 
[17] CEC2017 N=17 D=10,59.0824510859445,47.9436786741958,292.070293477695,133.027216395632,109.934493153164,0
[18] CEC2017 N=18 D=10,67.222894641588,21.1404982583665,310.826202026039,82.4554129502426,58.2538450992745,0 
[19] CEC2017 N=19 D=10,23.767420693129,4.42055114724508,107.97955816215,30.2924384665057,24.605238338602,0   
[20] CEC2017 N=20 D=10,443.173931058019,441.691004713498,450.136480520591,443.36844182823,1.41581350734861,0 
[21] CEC2017 N=21 D=10,220.797537801297,204.354361970977,269.40408031422,224.456036882528,15.286106419926,0  
[22] CEC2017 N=22 D=10,100,100,2002.90183437532,174.828723060282,373.001609338698,0                          
[23] CEC2017 N=23 D=10,1003.61069379195,885.854343123991,1070.03147014289,992.255497957653,51.6247303491174,0
[24] CEC2017 N=24 D=10,100,100,100,100,1.23675265069975e-13,0                                                
[25] CEC2017 N=25 D=10,443.508849784209,397.742869469987,449.539587029416,434.456671637102,19.1562006015668,0
[26] CEC2017 N=26 D=10,2095.69417590105,200,2439.82746481768,1584.93309668763,928.403003779681,0             
[27] CEC2017 N=27 D=10,511.930936724505,398.223343266236,850.291191996917,543.856311985017,131.454780534921,0
[28] CEC2017 N=28 D=10,583.745226265944,300,645.050138265477,514.887051278574,122.988656152794,0             
[29] CEC2017 N=29 D=10,331.54332096467,244.918740666185,617.137690643317,359.295040663425,92.442215628021,0  
[30] CEC2017 N=30 D=10,450.57150710017,395.448302139646,880.044154645907,476.766366667875,98.7035711753249,0 
 [1] CEC2017 N=1 D=30,1.4210854715202e-14,0,1.4210854715202e-14,9.473903143468e-15,6.76572012380239e-15,0    
 [2] CEC2017 N=2 D=30,0,0,0,0,0,0                                                                            
 [3] CEC2017 N=3 D=30,5.6843418860808e-14,0,5.6843418860808e-14,4.458307361632e-14,2.36121992217675e-14,0    
 [4] CEC2017 N=4 D=30,3.98662385430094,0,71.8889729096077,22.8178089969378,29.1804008004957,0                
 [5] CEC2017 N=5 D=30,303.459141617063,288.535478762029,319.378014599167,302.873876985346,5.41002607874638,0 
 [6] CEC2017 N=6 D=30,64.1643871393713,63.5721797424942,65.3238463295581,64.1715803198678,0.372209547800618,0
 [7] CEC2017 N=7 D=30,645.206663301566,606.873480209313,664.428988971903,643.149823253887,13.2688277641675,0 
 [8] CEC2017 N=8 D=30,197.995300285458,184.066159153743,205.954942469852,198.483029070416,4.29731851423661,0 
 [9] CEC2017 N=9 D=30,4526.66933071331,4405.39760266965,4595.30534120347,4522.04901819429,48.2042901647735,0 
[10] CEC2017 N=10 D=30,4356.70223894826,4177.18714410799,4870.00714283973,4458.99530194265,211.799821448078,0
[11] CEC2017 N=11 D=30,90.5406005063542,39.8050258877718,196.285755660577,102.657225513308,36.8557314044817,0
[12] CEC2017 N=12 D=30,1523.02811389841,807.331881287531,2685.7649468776,1555.26912169257,436.757660928863,0 
[13] CEC2017 N=13 D=30,1940.90367888866,672.303782454906,3806.87946199376,2026.36282110925,686.345611430537,0
[14] CEC2017 N=14 D=30,125.464260777049,81.6868933974783,259.778322206885,131.450609442419,34.8844866798039,0
[15] CEC2017 N=15 D=30,243.7018854685,108.476952706535,424.609552610786,256.442318909449,86.1499950347913,0  
[16] CEC2017 N=16 D=30,767.230915134514,265.335453041689,1432.3743150084,776.951785183375,260.762923949606,0 
[17] CEC2017 N=17 D=30,361.918094505823,97.2048988708912,952.339498437842,353.833014604614,165.091438903373,0
[18] CEC2017 N=18 D=30,145.681723360757,58.4991605962709,413.800206951905,158.69828638687,68.3292394902583,0 
[19] CEC2017 N=19 D=30,113.066437006942,50.5661392005511,230.023682496858,120.747027064622,39.964948270189,0 
[20] CEC2017 N=20 D=30,1235.83573593034,740.778091303732,1367.7890706096,1215.82948473265,107.986950049976,0 
[21] CEC2017 N=21 D=30,408.586512324995,244.179390248363,555.17187390681,399.668464900341,88.9582368765063,0 
[22] CEC2017 N=22 D=30,5508.29494223351,4917.23804995544,6081.14694681625,5554.6032074667,252.985788528279,0 
[23] CEC2017 N=23 D=30,2273.49860716454,1778.5182528333,2558.69745948872,2271.01242047195,166.103960580502,0 
[24] CEC2017 N=24 D=30,468.278187123547,443.900191209989,516.544370122254,471.455842307433,17.3821572099121,0
[25] CEC2017 N=25 D=30,387.009432663401,383.401070157795,434.267457384415,390.584784101703,10.0687814633518,0
[26] CEC2017 N=26 D=30,300.000000000001,200.000000000001,300.000000000001,272.549019607844,45.0707504820986,0
[27] CEC2017 N=27 D=30,3887.8006620533,586.303027383143,4310.17085804671,3768.83799514377,532.226503861837,0 
[28] CEC2017 N=28 D=30,300.000000000001,300.000000000001,413.975165773641,337.711356127094,51.6580578393836,0
[29] CEC2017 N=29 D=30,706.835112453205,550.112956199632,1340.28656827436,751.624624768087,165.02046262932,0 
[30] CEC2017 N=30 D=30,2381.58080320365,2082.00647322865,2876.47010428668,2408.03451979683,159.933975597722,0
