"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30"
"1",0,5,0,88.3975799643304,7.95967245674632,1.71436334226723,33.6031332849007,8.95463151383967,0.454324018590796,586.41202614465,52.7326482089318,1751.04524921264,696.807174632362,135.414426636816,194.44871271027,385.241636369047,202.959279385447,119.395194430329,121.965496235139,202.787918080018,211.694705923375,100.000000000004,422.625464165453,438.039342138835,412.428330151592,1294.38580376819,533.460961635554,403.285680653326,510.747127166584,5302.42282986538
"2",0,134426395,0,93.3366179600638,7.95967245674632,0.372459243480307,34.3584973572918,6.96471339965308,0.454324018590796,373.961067195931,113.423746946313,1531.6417542898,1580.64723950913,128.449154999064,117.35438027539,598.761332543439,71.5128564915578,70.040453427619,97.7592416038433,71.8802236511447,219.89054477472,100.000000000005,377.282799409916,462.452413692851,391.076229680081,200.000000000035,523.066390308177,300.000007786144,589.349094106256,6533.41200020574
"3",5.6843418860808e-14,27499595433,0,87.6591443518782,6.96471339965302,0.167825622725331,36.6436168934035,5.96975434255978,0,844.460769443356,150.522193702686,1976.08791822467,1046.43543538155,126.459828928822,122.460207399467,669.510023448819,75.0730622008789,81.7978877408395,176.977696153026,189.772899580379,223.21078010432,100.000000000003,399.637911849797,441.640603989677,387.252765423939,200.000000000015,525.812130079902,300.000000000206,516.231892356375,7985.36549752596
"4",1.4210854715202e-14,27,0,73.0997130709928,11.9395086851195,4.14003125115414e-08,38.5711470623594,10.9445496280262,0.0895282504164925,969.151578386172,180.084584753566,3075.4568329417,1141.56217649479,134.419011425456,313.528775464768,405.335127652532,45.5333458865509,152.65957278074,78.8441807002471,166.398813025297,217.593795512828,100.000000000004,369.93082073664,431.406973502795,387.755599581254,1078.12965807539,515.673391109684,422.489468757653,697.007044435677,6610.46680971624
"5",2.27373675443232e-13,2102548418,0,113.553909340879,9.94959057093291,0.632018506346867,32.3653486716465,9.94959057093286,0.0895282504164925,1736.4163173829,81.6068782203977,9816.88328043413,1878.93160359834,165.262383604274,188.070303480292,405.520937112238,51.4167667225001,177.448645608266,191.803209379882,85.1098279925909,223.712512826954,100.000000000005,394.725846047806,441.837955875119,387.820637812186,200.000000000017,515.997800975932,403.285680653326,601.554589753765,7657.26527594946
"6",0,2,0,70.015462439856,11.9395086851195,0.0971523814971533,34.2551366051696,11.9395086851194,0,1103.70957663747,65.6668977685263,2772.95950679609,1199.07195043202,101.585876268867,301.072498782017,607.3537833874,412.509772917126,131.694728885664,87.2562451591384,165.907205628093,214.246368387149,100.000000000005,390.826021456755,440.52291051979,399.753897677547,916.678893489101,555.834919237558,300.000000000001,826.300262657277,6704.86941607801
"7",1.4210854715202e-14,0,0,0,8.95463151383962,9.16119907969914e-05,35.5784433287947,8.95463151383967,0.0895282504164925,545.725278865661,76.6114120863808,2518.46691318033,1984.80964266555,114.508905401546,320.719330921995,492.319583934192,192.796314073728,198.181658990876,78.7228499970738,66.1140222903614,217.009210141563,100.000000000004,369.461371904413,434.255758998888,387.90016500501,200.00000000002,536.513598689357,300.000000112824,981.346393841643,5362.56887034208
"8",0,27304594,0,3.82340203941567e-09,5.96975434255972,0.0171639192047905,46.0039840150346,7.95967245674638,0,845.022883224095,97.5055480291815,2617.73729456087,1278.54759799111,99.5961984377263,116.176109647084,626.36855872157,165.437702191657,191.358372620513,84.4085501396155,92.5829080697049,212.788525969171,100.000000000004,411.667216375378,433.293734000344,392.549695377704,1308.99493144275,543.710930534335,300.000000444214,502.402745365804,10044.720592638
"9",1.13686837721616e-13,15,0,92.6024836763517,7.95967245674632,0.0737216723425718,35.174219609361,8.95463151383967,0.454324018590796,763.685292664293,57.7072961604924,1383.14510035842,1786.64714223671,125.456264164643,164.834592755806,434.674542574957,186.924661120276,92.0001298752925,128.113393376714,171.030861906596,210.254557773697,100.000000000004,380.665853237638,436.758898791808,390.195329199537,2623.99035200247,515.190986975986,300.000000000004,784.910067887432,5126.65661668036
"10",2.41584530158434e-13,7815,0,90.2011927723987,11.9395036473004,0.0270460473311687,35.4758475682753,7.95967245674638,0.0895282504164925,1296.61514354251,154.589309666989,3880.34590765791,760.788618824381,123.474793545618,247.890380045612,154.465385344029,73.0786729992585,98.8966680219105,125.988436893822,174.474353491684,207.754415746769,100.000000000009,384.884358742641,475.967934872716,387.120769716366,200.000000000017,534.452241919163,403.285680653326,558.062714417282,11399.5378086237
"11",2.70006239588838e-13,0,0,93.7122869615188,3.97983622837319,0.012926688861512,55.84681442693,9.94959057093286,0,1301.1345372103,107.454304287538,1675.5728361506,1249.58747690361,101.585771375695,294.145072329086,633.196673404341,201.82775920051,72.9964598758434,193.706973176401,57.664034607174,218.939053226207,100.000000000011,377.72586738611,431.653638664549,396.117441666842,1391.83595672868,523.542671754423,300.000000015265,767.239842749413,11986.1890583738
"12",0,0,0,115.830145646104,6.96471339965302,0.0615993816815035,35.052371632145,5.96975434255978,0.454324018590796,1187.4318820037,97.5306599281746,2241.36246290126,1682.2434060141,121.484880098101,153.178605838087,135.817958131717,420.503805412761,160.494520432898,89.2813269942906,174.859905306351,209.506073570793,100.000000000007,389.182472899152,442.587805977673,387.483472641785,1452.7435611103,522.316541655669,300.000000000871,730.949340303522,3598.95046599663
"13",4.2632564145606e-14,17665,0,49.5811414738292,13.929426799306,0.400751354239219,35.7860496577902,13.929426799306,0,435.874579298576,95.5219555452823,1360.63364874711,890.445007198495,105.565205305255,195.201460050379,371.458739864059,100.422191571377,72.0250879387634,170.280525142718,94.191037119167,218.71481977637,100.000000000005,379.31523316326,466.478332697588,389.786870509258,930.635671511763,521.046121552488,300.000000000012,530.381182231639,7104.01847795125
"14",0,0,0,71.5032152037905,9.94959057093291,0.205448827937062,37.3731676347422,7.95967245674638,0,1422.10792054925,69.6467289590889,3239.92321184845,3498.93441807724,123.474640177935,212.211191190866,415.594633768916,97.5131784331586,88.4913674873865,46.1628603059578,97.8133413380319,216.578997579898,100.000000000004,400.22502961686,466.089076044398,393.117964712142,1715.17377528535,543.143827593063,300.000000000274,759.033462681225,5600.36994615471
"15",5.19975174029241e-11,0,0,105.811465558254,5.96975434255972,0.000113996438358299,38.7740689551148,5.96975434255978,0.454324018590796,366.245578520744,93.5322827506957,3240.48110392731,1002.48268278787,97.6063347841505,157.99812585037,416.412310049108,167.134955926025,104.564858147475,102.120216168473,178.593590856055,215.405296108196,100.000000000005,380.18752258095,455.763206898361,396.527252996641,1119.23677814058,538.173284499257,300.014300057102,561.396709337889,8771.35003737051
"16",1.4210854715202e-14,30,0,93.2005331814042,3.97983622837319,0.0813470007767592,35.8162206132229,8.95463151383967,0.454324018590796,1093.28232774523,73.6332639771242,2025.86749191385,590.48355690899,125.464369351873,171.792294717662,274.713226781488,50.6294448073459,165.558788251106,82.0735545264538,179.656108781628,223.079897671443,100.000000000008,379.29193407547,459.002839418191,390.28936314296,1975.6570720739,518.940524051176,483.388883045852,683.992681251076,7167.32516476085
"17",1.4210854715202e-14,0,0,93.7987017952112,8.95463151383962,0.505599961885196,35.4791982766361,14.9243858563993,0,1671.99363040277,75.6164530292874,1412.5437170956,1145.66220074462,95.615762299145,140.80750914051,713.762381060337,79.2897543954641,210.223249283076,77.2430270204047,62.5998655955718,227.971494359035,100.000000000005,380.423614119377,461.710336123713,387.600459634949,200.000000000023,534.823276802288,300.000000001271,792.442785093537,3763.58900137931
"18",8.5265128291212e-14,1359,0,89.8733870748348,14.9243808185803,0.413945281209749,53.008473977762,5.96975434255978,0,1146.43937651128,76.6115341857871,3219.29241041038,998.143952134664,106.519047269899,232.90234537656,570.48396094709,170.669934474266,121.612056658563,81.1780145511907,165.568749319349,216.553625637444,100.000000000005,379.203100929013,447.953576863697,387.570588788928,1130.91133679369,561.191461617344,300.000000000148,588.165754894848,6056.55641620822
"19",2.8421709430404e-14,0,0,89.7432270368303,8.95463151383962,0.134579608739614,41.3307991107727,7.95967245674638,0,722.815486196536,101.484869504608,1078.39411384535,1949.31713709221,117.504945386514,238.112594428353,458.223531193646,43.0436302668256,57.0269677805313,64.7286169129006,50.0982605617774,207.576329775691,100.000000000005,397.393440558061,442.306279002678,395.414697349783,1191.61078590861,538.97376222165,423.252962816872,661.590324034133,5914.62552619379
