"","V1","V2"
"1",4,224490373.87396
"2",5,218396492.901264
"3",6,155022444.363677
"4",7,81102124.5578953
"5",8,70148932.5752253
"6",9,88634844.3617044
"7",10,62441955.2414691
"8",11,42957760.8482959
"9",12,22294034.3246561
"10",13,22922097.9658382
"11",14,18095354.3990373
"12",15,23388668.1862686
"13",16,11056945.7506405
"14",17,11816416.9243005
"15",18,12651292.6784895
"16",19,10810436.8393613
"17",20,6883640.55108323
"18",21,11986088.1028876
"19",22,7612341.51648414
"20",23,7344960.27297459
"21",24,6742651.55904859
"22",25,5775795.88265828
"23",26,5639727.42252928
"24",27,6410400.37565388
"25",28,4406861.59815619
"26",29,5887371.38560002
"27",30,5610660.84858393
"28",31,5885477.50388519
"29",32,4935946.92499319
"30",33,5017530.17265488
"31",34,6516172.20668051
"32",35,5860639.18254253
"33",36,5351960.02310218
"34",37,7670495.18327853
"35",38,6262857.27586244
"36",39,6334943.08230577
"37",40,7537112.88126807
"38",41,5669239.62879931
"39",42,6080918.74986215
"40",43,6392604.12365129
"41",44,5301494.03692885
"42",45,6026975.32735879
"43",46,6889738.18088367
"44",47,6497953.85244532
"45",48,7668670.89620128
"46",49,7296328.40504461
"47",50,6151189.26665898
"48",51,7152696.60851592
"49",52,5926186.57870172
"50",53,7520667.33685081
"51",54,8038841.78078518
"52",55,5417141.67512767
"53",56,9138576.38117187
"54",57,9119038.50517582
"55",58,8254384.97702564
"56",59,7743390.91326584
"57",60,8490340.51348727
"58",61,10384489.4965601
"59",62,9922836.35499356
"60",63,9087875.24897031
"61",64,8853062.88955037
"62",65,10561886.1663298
"63",66,9882806.73391226
"64",67,11427822.4045997
"65",68,9537647.49872969
"66",69,10119736.1525593
"67",70,10946108.2503773
"68",71,9297029.26855384
"69",72,10650265.3864238
"70",73,8763195.30818065
"71",74,10546790.5994844
"72",75,12990264.3753677
"73",76,13067884.5460167
"74",77,12106980.2919784
"75",78,11945115.2447647
"76",79,11601542.9227988
"77",80,14395616.9240445
"78",81,14934270.0050286
"79",82,12998838.7295146
"80",83,13054586.3191601
"81",84,13597925.3900654
"82",85,13350320.7206914
"83",86,15426843.694828
"84",87,14128044.4525067
"85",88,15520474.4189046
"86",89,12276777.40525
"87",90,11596908.1647679
"88",91,17022673.5095802
"89",92,15062444.9225457
"90",93,15825678.7949705
"91",94,15455534.2418058
"92",95,15074592.1436835
"93",96,15615674.227178
"94",97,13453698.2176605
"95",98,17543996.828242
"96",99,16431366.9602256
"97",100,20370662.9248639
"98",101,19574957.8260638
"99",102,19346719.8634609
"100",103,15850783.2530169
