"","V1","V2"
"1",50,1298204063.24863
"2",51,1043218438.53473
"3",52,1066083054.69359
"4",53,1117355144.68592
"5",54,1188227941.57902
"6",55,1341060339.93297
"7",56,1203409367.50725
"8",57,1153279325.80925
"9",58,1277204053.6419
"10",59,1330032315.70485
"11",60,1299381561.68006
"12",61,1144080654.05668
"13",62,1401504654.74841
"14",63,1240288907.54093
"15",64,1246563034.97375
"16",65,1369205979.04458
"17",66,1573348758.97469
"18",67,1758304307.80928
"19",68,1443936765.69451
"20",69,1515443014.8478
"21",70,1566769528.41435
"22",71,1429416504.18485
"23",72,1734568503.46274
"24",73,1766040875.98391
"25",74,1624257274.3555
"26",75,1609811698.67856
"27",76,1736132296.4926
"28",77,1800631842.04215
"29",78,1672726375.38077
"30",79,1599884460.4822
"31",80,1878004245.73997
"32",81,2100240329.10769
"33",82,2187193494.60494
"34",83,2041790562.75851
"35",84,1853444140.76372
"36",85,2017734290.33296
"37",86,2350554522.57618
"38",87,2059810265.42895
"39",88,1915404520.08649
"40",89,2202836034.54045
"41",90,2334914642.1086
"42",91,2068415086.23737
"43",92,2123459194.0265
"44",93,2555670159.02969
"45",94,2540517988.10162
"46",95,2183810505.74474
"47",96,2216389399.43189
"48",97,2601584998.36625
"49",98,2499222109.26474
"50",99,2091304020.27945
"51",100,2610961010.31001
"52",101,2526560147.32667
"53",102,2538249638.97837
"54",103,2730089678.23402
"55",104,2813689287.7836
"56",105,2602587937.74365
"57",106,2904138654.63603
"58",107,2696211388.53766
"59",108,3083825268.68783
"60",109,3068962743.69998
"61",110,3034492228.41534
"62",111,2931923711.98494
"63",112,3069015661.0081
"64",113,2955941759.21913
"65",114,2862923994.46729
"66",115,2942734579.81889
"67",116,3139169443.12646
"68",117,3074465263.38655
"69",118,3351617309.60464
"70",119,3337950162.88864
"71",120,2984827905.95107
"72",121,3086083366.61543
"73",122,3317023700.18092
"74",123,2997913008.73649
"75",124,3365537380.2452
"76",125,3594435505.19007
"77",126,3720287224.4792
"78",127,3601671899.74573
"79",128,3575630261.5127
"80",129,3283917066.54967
"81",130,2963079047.48586
"82",131,3454908506.13264
"83",132,3844162342.3453
"84",133,3725039626.34342
"85",134,3392727673.0758
"86",135,3456294301.14247
"87",136,3574358450.11964
"88",137,3658307422.55486
"89",138,3455666988.86009
"90",139,3663588591.40386
"91",140,3552350596.6641
"92",141,3610820429.68706
"93",142,3442887899.93265
"94",143,3920730706.10631
"95",144,3679056929.91354
"96",145,3989431828.13155
"97",146,3762771379.2071
"98",147,3566258842.2071
"99",148,3846857518.68057
"100",149,3755989812.35856
