Dimensions = 10 
                 TIME-MIN,       BEST,        RESTARTS 
Function  1 :	 0.01331604  ,  -993.5943  ,  0 
Function  2 :	 0.01259112  ,  9548710  ,  0 
Function  3 :	 0.01261787  ,  4574291042  ,  0 
Function  4 :	 0.0125096  ,  12653.18  ,  0 
Function  5 :	 0.01271184  ,  -667.7122  ,  0 
Function  6 :	 0.01247288  ,  -786.0183  ,  0 
Function  7 :	 0.01253281  ,  -737.0564  ,  0 
Function  8 :	 0.01263378  ,  -679.2123  ,  0 
Function  9 :	 0.01350232  ,  -590.2407  ,  0 
Function  10 :	 0.01253301  ,  -470.0994  ,  0 
Function  11 :	 0.01254864  ,  -327.8409  ,  0 
Function  12 :	 0.0126106  ,  -238.3553  ,  0 
Function  13 :	 0.01279888  ,  -135.7101  ,  0 
Function  14 :	 0.01246442  ,  2043.194  ,  0 
Function  15 :	 0.01253761  ,  2047.481  ,  0 
Function  16 :	 0.01276626  ,  202.9668  ,  0 
Function  17 :	 0.01246842  ,  395.8035  ,  0 
Function  18 :	 0.01252081  ,  473.1102  ,  0 
Function  19 :	 0.01249827  ,  507.355  ,  0 
Function  20 :	 0.01276592  ,  604.4082  ,  0 
Function  21 :	 0.01250854  ,  1110.766  ,  0 
Function  22 :	 0.01261116  ,  3260.254  ,  0 
Function  23 :	 0.01262228  ,  3326.771  ,  0 
Function  24 :	 0.01365872  ,  1229.124  ,  0 
Function  25 :	 0.01367226  ,  1327.27  ,  0 
Function  26 :	 0.01373744  ,  1363.084  ,  0 
Function  27 :	 0.01363872  ,  1814.301  ,  0 
Function  28 :	 0.01274528  ,  2306.298  ,  0 


Dimensions = 30 
                 TIME-MIN,       BEST,        RESTARTS 
Function  1 :	 0.03641948  ,  10876.04  ,  0 
Function  2 :	 0.03670529  ,  97250596  ,  0 
Function  3 :	 0.03660349  ,  169406603049  ,  0 
Function  4 :	 0.03650736  ,  48818.58  ,  0 
Function  5 :	 0.03656222  ,  3491.425  ,  0 
Function  6 :	 0.03639694  ,  547.902  ,  0 
Function  7 :	 0.03691956  ,  -612.0304  ,  0 
Function  8 :	 0.03688603  ,  -678.8468  ,  0 
Function  9 :	 0.04564745  ,  -555.8888  ,  0 
Function  10 :	 0.03660552  ,  1146.874  ,  0 
Function  11 :	 0.0368676  ,  -64.43021  ,  0 
Function  12 :	 0.03695096  ,  86.38141  ,  0 
Function  13 :	 0.03676723  ,  224.7996  ,  0 
Function  14 :	 0.03672909  ,  8194.525  ,  0 
Function  15 :	 0.03675635  ,  8350.179  ,  0 
Function  16 :	 0.03932124  ,  203.9361  ,  0 
Function  17 :	 0.03667019  ,  671.7831  ,  0 
Function  18 :	 0.03673  ,  815.4752  ,  0 
Function  19 :	 0.03640185  ,  3847.885  ,  0 
Function  20 :	 0.03676101  ,  615  ,  0 
Function  21 :	 0.03708001  ,  2681.583  ,  0 
Function  22 :	 0.03730504  ,  9461.5  ,  0 
Function  23 :	 0.03755401  ,  9707.399  ,  0 
Function  24 :	 0.04639762  ,  1324.305  ,  0 
Function  25 :	 0.04647774  ,  1461.915  ,  0 
Function  26 :	 0.04672266  ,  1587.298  ,  0 
Function  27 :	 0.04672851  ,  2683.59  ,  0 
Function  28 :	 0.03807714  ,  5479.946  ,  0 


Dimensions = 50 
                 TIME-MIN,       BEST,        RESTARTS 
Function  1 :	 0.06504033  ,  10354.28  ,  0 
Function  2 :	 0.0654431  ,  289666451  ,  0 
Function  3 :	 0.06548881  ,  412773765433  ,  0 
Function  4 :	 0.06516913  ,  90424.38  ,  0 
Function  5 :	 0.06498336  ,  5121.828  ,  0 
Function  6 :	 0.06464307  ,  -181.6184  ,  0 
Function  7 :	 0.06691546  ,  -408.5444  ,  0 
Function  8 :	 0.06594192  ,  -678.6481  ,  0 
Function  9 :	 0.09100707  ,  -520.1596  ,  0 
Function  10 :	 0.06537437  ,  2665.308  ,  0 
Function  11 :	 0.06567335  ,  292.8192  ,  0 
Function  12 :	 0.06665825  ,  407.8745  ,  0 
Function  13 :	 0.06637263  ,  275.1778  ,  0 
Function  14 :	 0.06537265  ,  15043.08  ,  0 
Function  15 :	 0.06579033  ,  15734.66  ,  0 
Function  16 :	 0.07373586  ,  204.5899  ,  0 
Function  17 :	 0.0653101  ,  1044.553  ,  0 
Function  18 :	 0.06569866  ,  1058.589  ,  0 
Function  19 :	 0.06495492  ,  19634.19  ,  0 
Function  20 :	 0.06567118  ,  624.9826  ,  0 
Function  21 :	 0.06674843  ,  4486.454  ,  0 
Function  22 :	 0.06720164  ,  16619.95  ,  0 
Function  23 :	 0.06814451  ,  17238.62  ,  0 
Function  24 :	 0.09352413  ,  1454.457  ,  0 
Function  25 :	 0.0935479  ,  1530.288  ,  0 
Function  26 :	 0.09483283  ,  1702.761  ,  0 
Function  27 :	 0.09448116  ,  3731.538  ,  0 
Function  28 :	 0.06956864  ,  8119.311  ,  0 


