Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,42374136.3572366,7312767.48903644,164297589.802059,47600712.1844208,28358343.9002983,0                      
 [2] CEC2017 N=2 D=10,0,0,666,14.2549019607843,93.4070325269473,0.784313725490196                                                 
 [3] CEC2017 N=3 D=10,1.13686837721616e-13,5.6843418860808e-14,5.6843418860808e-13,1.43780412412632e-13,9.53567225092017e-14,4    
 [4] CEC2017 N=4 D=10,8.98927382185315,3.90228909333098,23.3771408332335,9.76279155446601,3.83525077561886,0                      
 [5] CEC2017 N=5 D=10,7.24337402218413,3.7629211897783,13.0970607975694,7.37601002608458,2.40757391391015,0                       
 [6] CEC2017 N=6 D=10,1.510533502268,0.630596775014055,5.18513811313869,1.81025255249295,0.926095093250005,0                      
 [7] CEC2017 N=7 D=10,12.6500886226354,11.0784433810201,16.786101268414,12.7518929338077,1.04192485683325,1.13725490196078        
 [8] CEC2017 N=8 D=10,1.98991811418659,0,3.97983781015682,1.83384614070499,1.04110097456713,2.09803921568627                      
 [9] CEC2017 N=9 D=10,4.54747350886464e-13,0,1.8076207197737e-11,2.41417343632373e-12,4.01844542619657e-12,5                      
[10] CEC2017 N=10 D=10,1298.45412532152,52.6569636062159,1541.5432180687,1260.60772012924,242.197596574357,0                      
[11] CEC2017 N=11 D=10,4.56952875538263e-09,0,0.994959062400994,0.07803601293988,0.270155641557313,2.43137254901961               
[12] CEC2017 N=12 D=10,131.118970689957,1.78920345206279e-09,6417.28877774811,384.70261820006,932.751520871522,0                  
[13] CEC2017 N=13 D=10,6.2256028162974,1.58023938649171,36.607466889403,7.98508333351327,5.94041216055939,0.0392156862745098      
[14] CEC2017 N=14 D=10,0.994959090323164,3.72483555111103e-08,20.9697483649386,0.976932627092096,2.9178900183933,0                
[15] CEC2017 N=15 D=10,1.45323566462434,9.16673168376292e-05,9.02408288337529,2.41922633895675,2.52822613493034,0.0588235294117647
[16] CEC2017 N=16 D=10,66.053558342227,28.4345337746975,116.639411667438,67.0085816947962,21.885330588346,0                       
[17] CEC2017 N=17 D=10,28.9074052465121,15.1610358950809,47.3378825712098,29.5964593045146,5.26312565797835,0                     
[18] CEC2017 N=18 D=10,0.500000030264346,0.000455012532029286,34.0180018545332,3.66616492705789,7.78246816540774,0                
[19] CEC2017 N=19 D=10,0.177481826971189,0.0216138978380513,13.0413463773641,0.84184901222702,2.16825791501076,0                  
[20] CEC2017 N=20 D=10,50.4906298458118,35.3120385278589,119.745478437801,50.4084303114855,12.0510616734886,0                     
[21] CEC2017 N=21 D=10,207.367435807167,155.810106522731,215.578442157585,206.203985836631,9.92328507289685,0.156862745098039     
[22] CEC2017 N=22 D=10,114.345782694412,108.264570862041,118.552646997052,114.19340767185,2.04581894123314,0                      
[23] CEC2017 N=23 D=10,356.547894555157,341.328030567173,371.343883729762,357.091031793727,6.61851187626527,0                     
[24] CEC2017 N=24 D=10,328.290917672743,103.984236764419,378.010397470281,259.264936144807,121.913018969981,0                     
[25] CEC2017 N=25 D=10,443.380657210737,397.742869475156,449.978850753749,429.377389142077,21.6921649446578,0.686274509803922     
[26] CEC2017 N=26 D=10,323.584186147513,40.1502453963731,433.633933984001,317.428122881622,63.7715932865978,0                     
[27] CEC2017 N=27 D=10,421.660762512661,413.252017177152,430.075787554289,421.595646869904,3.90845558820847,0                     
[28] CEC2017 N=28 D=10,300.000000284539,300.000000184379,661.127706685359,328.549769526997,63.1253290816832,0                     
[29] CEC2017 N=29 D=10,269.870958276936,238.272837603274,291.760631792637,267.949985058021,12.1023877177806,0                     
[30] CEC2017 N=30 D=10,10191.7126755127,1291.77315370803,3774166.8994338,95136.2424252956,526712.033086503,0                      
 [1] CEC2017 N=1 D=30,172500113.250254,61084119.1234829,258605485.038717,160132836.98679,51375618.5640904,0                      
 [2] CEC2017 N=2 D=30,18962754664,0,674076568971388,16341523010207,94456123247630.2,0.156862745098039                            
 [3] CEC2017 N=3 D=30,71.6453595437981,1.42968588079384e-08,787.257278316863,117.022276447595,133.123466900864,0.0196078431372549
 [4] CEC2017 N=4 D=30,371.905541882631,262.615551606544,474.428353298357,370.825297415685,42.260299237476,0                      
 [5] CEC2017 N=5 D=30,12.0950689457716,4.97479529733829,24.105695477681,12.4121075790312,3.98221999604531,0.196078431372549      
 [6] CEC2017 N=6 D=30,13.5334590438541,11.1604018499165,15.866783978247,13.505216159953,1.30554448089707,0                       
 [7] CEC2017 N=7 D=30,36.541845811329,33.572101425978,41.7977598407892,36.9378153129084,1.77212709429311,0.235294117647059       
 [8] CEC2017 N=8 D=30,5.96975435561387,2.98487718262754,14.3594207853403,6.8674013705999,2.91513176562197,0.784313725490196      
 [9] CEC2017 N=9 D=30,12.1737125515435,1.2349460121186e-08,34.4396399924742,13.0785251412115,6.32889485582445,0.0392156862745098 
[10] CEC2017 N=10 D=30,6821.41193566844,5974.26462334616,7321.32421994251,6787.93684652297,284.188680259451,0                    
[11] CEC2017 N=11 D=30,152.973699892806,69.0427385236424,180.70778077936,140.606614295746,27.4218791657206,0                     
[12] CEC2017 N=12 D=30,49076952.728047,351.469289969199,110409340.025788,43632472.3332457,35049661.3268321,0                     
[13] CEC2017 N=13 D=30,462.353751669327,68.7911010461876,3094846.99506556,139855.261051034,536163.42259201,0                     
[14] CEC2017 N=14 D=30,21.129599549759,9.11340976017527e-08,29.7676185080179,16.6472375101134,8.46567964510422,0                 
[15] CEC2017 N=15 D=30,36.6479900586151,2.46240804407535,156.351579043141,63.0145726149609,52.0884517934351,0                    
[16] CEC2017 N=16 D=30,1554.26063415726,1118.81179226521,1768.38413089101,1524.62115442835,170.488715824211,0                    
[17] CEC2017 N=17 D=30,433.377251811065,284.204842664723,596.287628977853,433.025156306024,78.1452568120576,0                    
