"","V1","V2"
"1","Reinitialization","0.628899141355889"
"2","Lamarckian projection","0.625656798667179"
"3","Darwinian projection","0.612597718826092"
"4","Lamarckian reflection","0.642688709470716"
"5","Darwinian reflection","0.621414840445982"
"6","Lamarckian wrapping","0.466179674484173"
"7","Darwinian wrapping","0.619249006792259"
"8","Scaled mutant","0.628514673843394"
"9","Quadratic penalty","0.622824554658465"
"10","Substitution penalty","0.631064975009612"
"11","Resampling","0.604741765987441"
"12","Rand base","0.633000128155838"
"13","Midpoint base","0.629040112777137"
"14","Midpoint target","0.64077918749199"
"15","Scaled to base","0.460284505959246"
"16","Conservatism","0.626182237600923"
