"","V1","V2"
"1","Reinitialization","0.673021914648212"
"2","Lamarckian projection","0.786625656798667"
"3","Darwinian projection","0.772264513648597"
"4","Lamarckian reflection","0.788976034858388"
"5","Darwinian reflection","0.772829680891965"
"6","Lamarckian wrapping","0.278694092015891"
"7","Darwinian wrapping","0.767923875432526"
"8","Scaled mutant","0.784385492759195"
"9","Quadratic penalty","0.766919133666539"
"10","Substitution penalty","0.78159938485198"
"11","Resampling","0.77803024477765"
"12","Rand base","0.783115468409586"
"13","Midpoint base","0.782343970267846"
"14","Midpoint target","0.781248237857234"
"15","Scaled to base","0.608171216198898"
"16","Conservatism","0.769314366269384"
