"","V1","V2"
"1","Reinitialization","0.613435650882787"
"2","Lamarckian projection","0.595287619239945"
"3","Darwinian projection","0.510398228083734"
"4","Lamarckian reflection","0.604703837037555"
"5","Darwinian reflection","0.459714665558572"
"6","Lamarckian wrapping","0.592713628661341"
"7","Darwinian wrapping","0.479843028516616"
"8","Scaled mutant","0.595052278520176"
"9","Quadratic penalty","0.542545537393673"
"10","Substitution penalty","0.59042960684637"
"11","Resampling","0.594498748862455"
"12","Rand base","0.60532079736232"
"13","Midpoint target","0.60660041398219"
"14","Scaled to base","0.595797265232098"
"15","Conservatism","0.616188671282866"
