"","V1","V2"
"1","Reinitialization","0.874193686189073"
"2","Lamarckian projection","0.861079072151737"
"3","Darwinian projection","0.765118828940436"
"4","Lamarckian reflection","0.87278397197659"
"5","Darwinian reflection","0.755435943440557"
"6","Lamarckian wrapping","0.867814373389152"
"7","Darwinian wrapping","0.812721602802341"
"8","Scaled mutant","0.862004642089225"
"9","Quadratic penalty","0.853902345251826"
"10","Substitution penalty","0.804078203539949"
"11","Resampling","0.861349623364233"
"12","Rand base","0.875788514389053"
"13","Midpoint target","0.874492716476569"
"14","Scaled to base","0.863428595839207"
"15","Conservatism","0.881199538638985"
