Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,4263371.5968355,985.16300529225,894848922.566041,77618245.291966,181900256.815814,0                     
 [2] CEC2017 N=2 D=10,2081,4,140967,7520.72549019608,23096.740105113,4.23529411764706                                         
 [3] CEC2017 N=3 D=10,985.548509514864,0.545034582983078,9949.81178296391,1896.96833678493,2293.47390233029,0                 
 [4] CEC2017 N=4 D=10,9.50776578288782,1.34315378506142,99.0657205544034,20.0448731375859,23.3225303913025,0.0784313725490196 
 [5] CEC2017 N=5 D=10,13.5570398428227,4.53050714236645,29.2524788639994,14.3232513349332,5.2921408123557,0                   
 [6] CEC2017 N=6 D=10,4.21603664009501,0.700658640450229,12.1855996575736,4.70539152936274,2.69931820929015,0.0980392156862745
 [7] CEC2017 N=7 D=10,16.8457364668076,12.9887730820044,35.7034382641177,18.3051550543486,4.47065468360899,0                  
 [8] CEC2017 N=8 D=10,9.9561044868027,2.00546802423901,24.4586857105207,10.8413070015499,5.47888046125531,0                   
 [9] CEC2017 N=9 D=10,11.8534472743526,0.0221365921366896,103.702640839846,18.5690994923834,22.8835941775946,0                
[10] CEC2017 N=10 D=10,612.938039305585,140.445801785462,1382.12901211126,633.809062778737,264.721590360638,0                 
[11] CEC2017 N=11 D=10,27.0903223226189,4.77860958389056,109.888393115391,35.0008332084222,25.5869655632132,0.0784313725490196
[12] CEC2017 N=12 D=10,1656.22299640132,291.648396477642,28412.5025063081,3128.0342990611,4495.94023073513,0                  
[13] CEC2017 N=13 D=10,305.008412008766,47.622593047096,977.117408878305,368.27566421835,222.85614509688,0                    
[14] CEC2017 N=14 D=10,28.9735026724063,6.27445826808253,54.7677064345548,30.3450231482194,10.5205610464441,0.882352941176471 
[15] CEC2017 N=15 D=10,76.947207802315,5.68533760213154,315.057828228594,106.447200402005,88.6505535991028,0                  
[16] CEC2017 N=16 D=10,8.68887561890756,1.66793704799056,394.575764058333,59.5444078363686,91.773695607244,0                  
[17] CEC2017 N=17 D=10,40.2777239890727,22.255966440684,91.4368178640632,42.0473129863813,14.5493679490586,0                  
[18] CEC2017 N=18 D=10,75.9466209355378,30.9934657029362,286.042135391459,102.353364149292,64.9522294023912,0                 
[19] CEC2017 N=19 D=10,11.4933623044817,2.28235817925679,113.038774512124,21.6431194942601,25.1725980840275,0                 
[20] CEC2017 N=20 D=10,33.7368078045506,20.6019876749206,270.497169804396,46.1956029164944,39.9775003609823,0                 
[21] CEC2017 N=21 D=10,212.084441610885,171.308489520042,229.901724238688,211.157791232998,9.64958468672804,0                 
[22] CEC2017 N=22 D=10,118.921538192545,100.537969621835,268.913474469626,126.710786983481,29.9318075972764,0                 
[23] CEC2017 N=23 D=10,322.940479971492,305.772300814739,357.592475582739,325.409662873113,12.8488663475949,0                 
[24] CEC2017 N=24 D=10,341.140792436924,324.052137821421,385.865122181573,346.061442345861,14.0413190226237,0                 
[25] CEC2017 N=25 D=10,446.592613802003,399.010090507554,534.914579571104,440.452607241807,24.4666740756154,0.0588235294117647
[26] CEC2017 N=26 D=10,380.115622593606,301.647096848827,1268.08425833533,431.075064262917,167.622116971616,0                 
[27] CEC2017 N=27 D=10,407.185646817195,393.993624778281,493.868900685355,412.004938366816,19.1390575138949,0.0196078431372549
[28] CEC2017 N=28 D=10,590.082352698515,308.411349520948,823.140194162949,544.301749654541,121.221466012101,0                 
[29] CEC2017 N=29 D=10,276.408899171852,237.382165938254,319.451058478987,277.327881804902,22.1295728318107,0                 
[30] CEC2017 N=30 D=10,2086.31639201501,587.550870364445,2404722.09720518,337849.90347031,670125.751865151,0                  
[1] Calculation time[hours]:  0.837082837290234 ,,,,,,
