Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,322509.701919491,1.26456001225961e-08,680998681.868939,29510921.3218772,108857815.845346,0                 
 [2] CEC2017 N=2 D=10,116,1,14717,836.647058823529,2370.22089117052,4.66666666666667                                             
 [3] CEC2017 N=3 D=10,91.6745710191067,7.90591651593786e-05,2320.48647535341,252.196561178228,476.835089638632,0.0588235294117647
 [4] CEC2017 N=4 D=10,6.98170410217836,0.028321357310972,89.3883386858687,13.2583358764508,17.2368632180776,0.156862745098039    
 [5] CEC2017 N=5 D=10,10.0162617423608,3.02920037542185,22.8386838971886,10.6633982323843,4.89913241986226,0                     
 [6] CEC2017 N=6 D=10,2.93059441086234,0.0997630825366969,11.8239763991191,3.67277493927443,2.75025154859155,0.137254901960784   
 [7] CEC2017 N=7 D=10,17.5281649789526,11.6942483619407,27.8484641762821,17.4701068048837,3.542989543944,0.0196078431372549      
 [8] CEC2017 N=8 D=10,8.14045006067215,2.32532811570434,21.4490916775873,8.89269777217773,4.35555449320467,0.0196078431372549    
 [9] CEC2017 N=9 D=10,3.9456797939373,0.0913483763764589,106.244923828861,10.3089646257453,18.3482319883846,0.196078431372549    
[10] CEC2017 N=10 D=10,497.993039815986,11.9034066512304,993.248679301506,528.97557927279,250.208441000773,0                     
[11] CEC2017 N=11 D=10,21.0738568645643,3.54212847526628,90.8239725400017,25.9636306261482,19.1557380860758,0.117647058823529    
[12] CEC2017 N=12 D=10,1054.55714070003,230.640008355612,15626.4863389229,2574.14824996089,3851.5289782446,0                     
[13] CEC2017 N=13 D=10,278.930860037409,14.919633934494,844.335559850042,335.557851938186,220.335655974797,0.0392156862745098    
[14] CEC2017 N=14 D=10,25.9862608893184,8.20299986758278,52.1403515419672,28.3457336414439,8.40891911831117,1.2156862745098      
[15] CEC2017 N=15 D=10,44.0330509113855,3.61803808449167,365.190806372835,66.3139533142943,70.3557657712459,0                    
[16] CEC2017 N=16 D=10,4.55166027706468,1.08629306610101,145.401283313975,23.8382508300772,43.1216540165322,0                    
[17] CEC2017 N=17 D=10,32.3978659857903,20.4627698668976,60.3467191685734,36.3584244368154,10.8027551380126,0                    
[18] CEC2017 N=18 D=10,78.2584161226243,20.0752194964418,310.717186635188,86.7803254627707,55.9047010645739,0                    
[19] CEC2017 N=19 D=10,9.4206949138154,1.67178984690349,133.622539245006,18.9346807261309,22.4868167432388,0                     
[20] CEC2017 N=20 D=10,32.3322474840102,20.6321938568467,157.533051120729,43.8253272529432,34.1252177199485,0                    
[21] CEC2017 N=21 D=10,210.813967657967,195.531733327572,230.217730249079,210.973578311576,6.09353913717166,0.0196078431372549   
[22] CEC2017 N=22 D=10,107.425019584783,100.388559250701,175.209600798722,112.362551774282,15.5370946764412,0.0196078431372549   
[23] CEC2017 N=23 D=10,317.925805105591,303.036391933323,368.449314181169,321.396541085067,14.1871993143154,0.0392156862745098   
[24] CEC2017 N=24 D=10,340.408768165129,140.11096803106,377.143414037882,339.013334585448,30.185904258005,0.0196078431372549     
[25] CEC2017 N=25 D=10,443.954435828834,397.958962105411,452.168283838782,426.758103439893,22.5134546278151,0.215686274509804    
[26] CEC2017 N=26 D=10,383.128591990831,300.071104035828,639.615394321519,392.066726639062,84.2992438798413,0                    
[27] CEC2017 N=27 D=10,406.072170479295,393.678899843526,498.822237765392,410.19940732485,18.6413008981611,0.117647058823529     
[28] CEC2017 N=28 D=10,589.322295364065,316.815382515001,646.789808909677,548.483841977649,106.160843618768,0                    
[29] CEC2017 N=29 D=10,270.588360718676,246.525224748348,326.43491579062,275.971709481278,18.9076744973838,0                     
[30] CEC2017 N=30 D=10,1405.8468510247,484.470689778552,5443679.0929025,509381.787645438,1029559.22311156,0                      
[1] Calculation time[hours]:  0.844485175940726 ,,,,,,
