Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,3323.5603563346,1.32439197386702e-08,187760452.749057,12920020.0591113,38749179.0705329,0                  
 [2] CEC2017 N=2 D=10,123,0,7025,562.235294117647,1206.55205587219,4.82352941176471                                              
 [3] CEC2017 N=3 D=10,159.514545217938,0.000328639362521699,4281.54157507233,518.925553602113,862.711996836268,0.0392156862745098
 [4] CEC2017 N=4 D=10,5.73522824761721,0.169738674427833,31.4965839672417,7.37116497200963,6.16998658100829,0.313725490196078    
 [5] CEC2017 N=5 D=10,8.87053585795059,1.98278351660969,23.6540081355483,9.38028664684983,5.37375624409681,0.0196078431372549    
 [6] CEC2017 N=6 D=10,3.25912717649726,0.109702842754473,16.0973821410529,3.70693248825267,3.07058933866391,0.117647058823529    
 [7] CEC2017 N=7 D=10,16.0139369055295,12.2702381378957,34.5221576727662,17.2600403573767,4.64776178492474,0                     
 [8] CEC2017 N=8 D=10,7.27641647330495,2.06718985391353,19.8027954737364,8.6327735323602,4.34898390043002,0.0196078431372549     
 [9] CEC2017 N=9 D=10,2.82694854664305,0.00799025496507966,196.748943470955,11.2626508645386,29.0756219064181,0.352941176470588  
[10] CEC2017 N=10 D=10,481.905694619123,8.93199033575456,1141.7902477478,493.002657423771,231.962849825136,0                     
[11] CEC2017 N=11 D=10,20.9440831621316,4.48143742090861,81.7249781595281,26.0169505296265,19.52393421928,0.0392156862745098     
[12] CEC2017 N=12 D=10,1185.69596468867,131.121349064662,20321.2011915866,2702.06334345298,3970.88539126973,0                    
[13] CEC2017 N=13 D=10,274.746212302458,47.5557724265641,1074.82975845145,333.669871071342,232.181276337654,0.137254901960784    
[14] CEC2017 N=14 D=10,26.9656897189993,4.98239387292801,49.8483862709675,27.8051274463411,8.92065877107938,1.35294117647059     
[15] CEC2017 N=15 D=10,65.0564667232929,2.54226998827903,450.187549623837,86.7397328011658,76.5287797178881,0                    
[16] CEC2017 N=16 D=10,5.3576204830315,1.75653954398899,241.398795515503,32.4673868996573,56.4510879390198,0                     
[17] CEC2017 N=17 D=10,34.5114449544485,8.41015350958742,66.7400111818456,35.9489123935824,11.3780131032107,0                    
[18] CEC2017 N=18 D=10,71.3945674405343,27.209275086934,331.173458529542,92.7674452869849,64.7692541641891,0                     
[19] CEC2017 N=19 D=10,6.90239035592754,2.1661913585076,65.9972844986162,12.1207863863307,14.745086454219,0                      
[20] CEC2017 N=20 D=10,34.8607564437752,5.94241854256961,178.485824660665,46.6754753762726,35.5679826591709,0                    
[21] CEC2017 N=21 D=10,209.424120593038,203.471297716937,219.58234094191,210.942609652715,4.39487464986801,0                     
[22] CEC2017 N=22 D=10,106.53485334076,100.001790243603,186.121872717561,112.583453352418,16.4418944861568,0.0392156862745098    
[23] CEC2017 N=23 D=10,318.689912028333,303.008003700808,343.891933279725,319.119640704395,10.8385682405853,0.0392156862745098   
[24] CEC2017 N=24 D=10,338.28675299994,292.943890648079,370.797571977394,338.62789422374,12.0079144439949,0.0392156862745098     
[25] CEC2017 N=25 D=10,445.982362663312,397.839050538818,479.559657398549,439.912652968695,17.3967210490218,0.137254901960784    
[26] CEC2017 N=26 D=10,344.375362781921,291.063247471491,654.49699872042,365.28185303162,74.643173073435,0.0196078431372549      
[27] CEC2017 N=27 D=10,403.486712593005,390.184670744023,454.597700115079,407.150646301134,13.7889846153819,0.137254901960784    
[28] CEC2017 N=28 D=10,588.007767783579,306.555399393254,655.487842107412,552.705827959841,98.8369937482882,0                    
[29] CEC2017 N=29 D=10,268.541532528885,236.258927778712,341.524521979093,271.153223972511,19.8501969707306,0                    
[30] CEC2017 N=30 D=10,1498.99302502177,428.656602196497,2746563.20723444,448810.88040811,779027.789748751,0                     
[1] Calculation time[hours]:  0.885519160495864 ,,,,,,
