Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,1.73013177118264e-08,5.59454349513544e-09,5445.1812112335,275.928693729185,1091.78948072675,0                           
 [2] CEC2017 N=2 D=10,1,0,157,8.62745098039216,27.8086035494871,5.64705882352941                                                              
 [3] CEC2017 N=3 D=10,4.54747350886464e-13,5.6843418860808e-14,5.24993879480462e-08,2.73380398057805e-09,9.61569035935547e-09,3.70588235294118
 [4] CEC2017 N=4 D=10,5.89876782441934e-06,0,5.82977840716109,0.530148118240559,1.20923006202429,0.862745098039216                            
 [5] CEC2017 N=5 D=10,2.98487723541473,1.00975853456475e-07,10.1255835706596,3.06195621423638,1.90267425664181,2.29411764705882               
 [6] CEC2017 N=6 D=10,0.59292092755868,0.00134983121597543,2.66839774182404,0.753995607861946,0.667059483686482,0.0392156862745098            
 [7] CEC2017 N=7 D=10,13.1977824086505,11.0075899561224,22.5839945936436,13.8328006864683,2.37555142201084,0.862745098039216                  
 [8] CEC2017 N=8 D=10,2.98487806318622,2.79023879556917e-08,9.9772634295955,3.44176244369563,1.71225378939506,2                               
 [9] CEC2017 N=9 D=10,6.89772150508361e-08,0,3.99514445402224,0.112744972242833,0.560325143063196,3.29411764705882                            
[10] CEC2017 N=10 D=10,126.11847843748,0.249817798884578,695.343699044173,146.285217708935,141.729292579126,1.68627450980392                  
[11] CEC2017 N=11 D=10,6.9878044824552,0.995347806505379,41.1955953589231,12.0843777668102,10.0839311931643,0.274509803921569                 
[12] CEC2017 N=12 D=10,569.571880587057,6.45059117232449e-09,2810.40480042471,620.218902312061,485.852549250437,0                             
[13] CEC2017 N=13 D=10,102.838249368809,8.02246105691938,824.799676455207,157.130552944003,170.885514996667,0.352941176470588                 
[14] CEC2017 N=14 D=10,21.7099277203683,0.994959104193413,55.845989206626,18.0744091746087,11.2693822394489,1.03921568627451                  
[15] CEC2017 N=15 D=10,18.5522570742062,0.174101917166354,125.574319033965,29.8945755674918,30.2328316125396,0                                
[16] CEC2017 N=16 D=10,3.58018414585513,1.36332235833038,131.336788590305,17.6832723537067,39.4911980789999,0                                 
[17] CEC2017 N=17 D=10,27.5190741287988,9.23545741836801,56.0198306341786,28.4778541199488,8.84496785939365,0                                 
[18] CEC2017 N=18 D=10,59.987883801439,22.4454258471517,230.872281927733,72.3082620812443,42.9839893720583,0                                  
[19] CEC2017 N=19 D=10,4.70814005763623,1.56262291435428,67.8580100251743,8.53056590457442,12.414543115314,0                                  
[20] CEC2017 N=20 D=10,25.2846225003082,3.72177490474041,56.6495445488481,26.5873244809974,8.22291965070005,0                                 
[21] CEC2017 N=21 D=10,204.686329609062,191.610085494113,208.484349807622,204.407453605476,2.25336591352458,2.27450980392157                  
[22] CEC2017 N=22 D=10,100.00000014325,100.000000017334,101.382289650133,100.135966459895,0.29308818106975,2.52941176470588                   
[23] CEC2017 N=23 D=10,306.594415889564,300.000000009853,327.098415759447,307.579150772706,5.44997793840245,1.70588235294118                  
[24] CEC2017 N=24 D=10,328.588539593781,100.000000236384,337.585002524913,322.526913442846,34.4237218676723,3.03921568627451                  
[25] CEC2017 N=25 D=10,398.113633551224,397.742869469987,443.983043260234,409.201498628438,19.2974395151481,2.70588235294118                  
[26] CEC2017 N=26 D=10,300.000000164674,300.000000105053,521.427238308487,308.342653556046,41.1948705149869,0.117647058823529                 
[27] CEC2017 N=27 D=10,396.91020055527,389.954940897646,444.955356901893,398.546207601019,7.40280050785216,1.05882352941176                   
[28] CEC2017 N=28 D=10,583.745471501519,300.000000190452,646.532201378272,516.4847375072,138.557194937117,0                                   
[29] CEC2017 N=29 D=10,251.816320508844,231.06144936969,311.224538417621,254.499355181201,14.5556401295385,0                                  
[30] CEC2017 N=30 D=10,656.263753780989,419.794421753767,1624674.36365515,262230.587879563,517691.768470564,0                                 
 [1] CEC2017 N=1 D=30,1621031.84480583,4349.77138267585,353745186.716807,13611055.6459834,50050637.5708013,0                  
 [2] CEC2017 N=2 D=30,1395435580642,7980168,118372044065536576,5478629939822829,19995383652387272,1.03921568627451            
 [3] CEC2017 N=3 D=30,160.16826669322,0.391216571381051,4879.86475860272,469.701979301843,839.38045834321,0                   
 [4] CEC2017 N=4 D=30,101.429637880328,56.2454210193814,137.881603302553,99.9270662890029,21.0387190375904,0                  
 [5] CEC2017 N=5 D=30,26.6262206017228,15.5513505197595,59.3952296229139,27.8618801583452,8.87660477524242,0                  
 [6] CEC2017 N=6 D=30,2.2701268618581,0.761257291662218,7.39822303940002,2.48919240897675,1.23788427851671,0                  
 [7] CEC2017 N=7 D=30,58.489464044418,41.435427055757,94.9402924008791,61.6636563034692,11.6191963148788,0                    
 [8] CEC2017 N=8 D=30,25.8125291790215,8.55726110927685,49.0523649274784,26.3201697856885,9.02472191291267,0                  
 [9] CEC2017 N=9 D=30,37.7306329797374,1.89145500917698,219.855798475053,48.4112248156556,46.0504187889202,0                  
[10] CEC2017 N=10 D=30,1399.59506920236,620.933479977397,2093.37796664957,1399.43795592559,364.379351622783,0                 
[11] CEC2017 N=11 D=30,97.7477245090606,38.2419891085915,179.75036754759,97.6158050615933,37.1482283780003,0                  
[12] CEC2017 N=12 D=30,9507.32240292442,2552.87984332996,70495.7364220483,14756.7931571062,12886.0724692835,0                 
[13] CEC2017 N=13 D=30,3604.25716724965,1100.62633676708,7228.32073370635,3542.1699560196,1375.54317433879,0                  
[14] CEC2017 N=14 D=30,72.7332852926238,35.9531108802264,133.434350673455,74.4452126530204,22.3294532310232,0.0196078431372549
[15] CEC2017 N=15 D=30,351.313901800616,136.037231880822,790.671060844937,384.638950652316,145.666995830478,0                 
[16] CEC2017 N=16 D=30,153.771027256802,4.47894626888478,473.791946885503,167.561322446674,135.506789958718,0                 
[17] CEC2017 N=17 D=30,71.7561317631435,28.8336491596629,249.114209972002,77.4168607118354,40.9330803848415,0                 
[18] CEC2017 N=18 D=30,200.508000323635,102.115542746223,418.417814113116,216.724824839902,75.4726188434253,0                 
[19] CEC2017 N=19 D=30,91.3170080684652,33.1256450119699,211.643799797122,95.6157781061583,42.2013723848572,0                 
[20] CEC2017 N=20 D=30,83.2741981916251,28.9843782557873,259.261739270555,107.101829252411,61.1333767083049,0                 
