Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,8.59675708397845e-09,3.69439590031106e-09,2.47658675789353e-08,9.32377159357452e-09,4.09147397891862e-09,0              
 [2] CEC2017 N=2 D=10,0,0,0,0,0,8.49019607843137                                                                                              
 [3] CEC2017 N=3 D=10,1.13686837721616e-13,5.6843418860808e-14,3.97903932025656e-13,1.40436681891408e-13,7.98668776324533e-14,5.80392156862745
 [4] CEC2017 N=4 D=10,0,0,3.97903932025656e-13,2.4520690488976e-14,7.8973412617206e-14,4.94117647058824                                       
 [5] CEC2017 N=5 D=10,0.994959085979133,0,3.97983623498686,1.52170209307326,0.87540433649518,3.47058823529412                                 
 [6] CEC2017 N=6 D=10,2.12810732591606e-07,9.42894757827162e-08,1.40485622159326,0.052467387924625,0.229817083007478,2.29411764705882         
 [7] CEC2017 N=7 D=10,11.9956491796008,10.6723699138369,14.1864301460832,12.0732441442004,0.964392331563844,1.90196078431373                  
 [8] CEC2017 N=8 D=10,1.98991811418659,4.09488620789489e-09,3.9798362365799,1.71679210504607,1.10934019585305,3.07843137254902                
 [9] CEC2017 N=9 D=10,0,0,0,0,0,6                                                                                                             
[10] CEC2017 N=10 D=10,0.437181087271711,0.124908882081399,130.267859813122,11.6451626844952,32.9886965591447,3                               
[11] CEC2017 N=11 D=10,9.85937731456943e-09,0,0.994959070009827,0.292635023275678,0.457859255955402,3.70588235294118                          
[12] CEC2017 N=12 D=10,425.718003462242,118.646477601293,905.307652294692,429.438208860267,232.879041669375,0.0196078431372549                
[13] CEC2017 N=13 D=10,3.11381927286288,1.60866875376087e-09,11.9140024620353,3.62864377169678,3.09761738306117,2.05882352941176              
[14] CEC2017 N=14 D=10,5.9697493595686,4.17976480093785e-08,33.9430746133239,11.1870368655444,10.3941187661378,0                              
[15] CEC2017 N=15 D=10,1.99494442831087,9.92092122942267e-06,11.0007440390243,2.70403171605435,3.06003142054741,0.0588235294117647            
[16] CEC2017 N=16 D=10,1.42000192620048,0.228198364839955,135.203113856754,10.911910695383,33.4295723869749,0.333333333333333                 
[17] CEC2017 N=17 D=10,22.1177368693814,0.722994187472068,37.6966907128856,19.3971934836992,8.97166353210881,0                                
[18] CEC2017 N=18 D=10,24.4519573637842,0.393149585908304,68.1554868781905,24.5825322518965,11.1568277836754,0                                
[19] CEC2017 N=19 D=10,1.88347340734481,0.0744483277781001,5.06481641185951,2.00321458132904,1.09667525407287,0                               
[20] CEC2017 N=20 D=10,5.28697276131879,4.32503725278366e-06,24.3434775515123,11.0329807430483,10.2698006811277,0                             
[21] CEC2017 N=21 D=10,202.374853324831,100.000000019027,205.12838328157,196.5393940171,21.5310621094403,3.7843137254902                      
[22] CEC2017 N=22 D=10,100.000000024865,100.000000017382,100.000000038523,100.000000025696,5.1349514145997e-09,4                              
[23] CEC2017 N=23 D=10,300.000000134054,300.000000006014,310.417813399604,301.591008909708,2.42059265538933,3.88235294117647                  
[24] CEC2017 N=24 D=10,326.056305436496,100.000000163343,328.588539564894,295.680407489587,73.1281298638721,4.45098039215686                  
[25] CEC2017 N=25 D=10,397.745670893729,397.742869469987,443.372241324792,405.015011411983,16.6998317558791,5                                 
[26] CEC2017 N=26 D=10,300.000000157095,200.000001586728,300.000000204489,296.078431585751,19.6039208908122,0.0196078431372549                
[27] CEC2017 N=27 D=10,395.074556551772,391.686500288309,404.918357081914,396.299519084639,2.96913735381167,1.88235294117647                  
[28] CEC2017 N=28 D=10,583.745226316139,300.000000187401,646.480341400676,505.11514991695,141.266021263351,0                                  
[29] CEC2017 N=29 D=10,235.675844608648,219.492664253626,357.198699436385,239.137830360691,18.7344572358267,0                                 
[30] CEC2017 N=30 D=10,443.737153391039,394.500777182047,1248762.77927529,113501.225208675,320485.846859535,0                                 
[1] Calculation time[hours]:  0.850118471516503 ,,,,,,
