Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,9.0027896249012e-09,2.80513745565258e-09,2.25235083917141e-08,9.8380961416671e-09,3.8247475291433e-09,0           
 [2] CEC2017 N=2 D=10,0,0,0,0,0,7.98039215686275                                                                                        
 [3] CEC2017 N=3 D=10,1.13686837721616e-13,5.6843418860808e-14,1.70530256582424e-13,1.02541069317536e-13,3.01208075806003e-14,4         
 [4] CEC2017 N=4 D=10,0,0,6.6455072555982e-09,1.3645429884063e-10,9.30298363902701e-10,3.01960784313725                                 
 [5] CEC2017 N=5 D=10,1.98991812618311,0,4.97479530199109,2.38009814341908,1.03549249801414,3                                           
 [6] CEC2017 N=6 D=10,1.4980082596594e-07,4.36446043750038e-08,0.346363318043018,0.00679203209779635,0.0485004807961289,1.84313725490196
 [7] CEC2017 N=7 D=10,12.6616907662171,10.5033039468245,14.3391615562504,12.6447239169443,0.879407652388369,2                           
 [8] CEC2017 N=8 D=10,2.98487717128467,0,4.97479529009047,2.51666115416223,1.11422872032668,2.94117647058824                            
 [9] CEC2017 N=9 D=10,0,0,8.9130480773747e-11,2.65492203385186e-12,1.38095364536123e-11,4.05882352941176                                
[10] CEC2017 N=10 D=10,3.5398695699123,0.124908891113591,121.915749744902,8.28693320119109,23.5234551124172,2.96078431372549            
[11] CEC2017 N=11 D=10,9.15952114155516e-09,0,1.98991811670135,0.409689028976158,0.569007701018031,2.90196078431373                     
[12] CEC2017 N=12 D=10,415.98531368503,0.208142988246209,873.284843253327,419.72141013726,192.385034229507,0                            
[13] CEC2017 N=13 D=10,3.11381927323077,2.23940332944039e-09,9.31905988412655,3.88532816560559,2.94129308535343,1.80392156862745        
[14] CEC2017 N=14 D=10,20.0208874599869,4.23292476625647e-08,25.9856849417254,14.2759564225568,9.46058512218461,0.0392156862745098      
[15] CEC2017 N=15 D=10,1.49495906412744,0.00255508215150257,14.080024099072,3.37335204167781,3.69299272247284,0.176470588235294         
[16] CEC2017 N=16 D=10,1.47002662320301,0.264916774385256,121.531542082018,6.09609737805917,23.5186438230945,0.254901960784314          
[17] CEC2017 N=17 D=10,21.7870030672641,0.391091608550596,33.2540241798367,19.4069362924948,9.75593782447309,0                          
[18] CEC2017 N=18 D=10,22.4180476263505,0.085911146148419,102.083692551758,25.2922284771716,19.7841859809384,0                          
[19] CEC2017 N=19 D=10,1.89131165465051,0.019432152416357,4.1948618730662,1.87867569318775,1.08554180109549,0                           
[20] CEC2017 N=20 D=10,20.0422666303868,1.09884012999828e-05,140.421822971503,15.384274749594,20.2912517568886,0                        
[21] CEC2017 N=21 D=10,202.835235917121,184.649853103678,206.00167003808,201.614882662729,4.79638144042752,3                            
[22] CEC2017 N=22 D=10,100.000000031305,100.000000020081,100.00000013292,100.000000037044,2.21957388975676e-08,3                        
[23] CEC2017 N=23 D=10,302.865709256577,300.00000000728,307.401656018127,302.183159011696,2.04694660396483,3.25490196078431             
[24] CEC2017 N=24 D=10,326.056305423088,100.000000190872,332.621639687733,310.814220815213,45.546151852405,3.6078431372549              
[25] CEC2017 N=25 D=10,397.745670882062,397.742869469987,443.386100965976,404.082368251563,15.826107697962,3.98039215686275             
[26] CEC2017 N=26 D=10,300.000000169286,200.00000138314,300.000000222113,296.078431591583,19.6039209360175,0.0196078431372549           
[27] CEC2017 N=27 D=10,394.590263018742,389.517990246472,402.686568964803,395.073680751516,2.20288683586527,1.92156862745098            
[28] CEC2017 N=28 D=10,583.745226320013,300.000000202769,611.821808557691,488.004022165891,140.57207606522,0                            
[29] CEC2017 N=29 D=10,237.094029052595,226.624669382138,262.109101667091,239.555596078159,8.75173829830375,0                           
[30] CEC2017 N=30 D=10,483.879467634806,394.500775516518,1248763.53394375,290642.067032952,446153.437585049,0                           
 [1] CEC2017 N=1 D=30,5.58890889124086e-08,3.66493253523004e-08,6.69936781605429e-08,5.47663090650994e-08,7.04688422924914e-09,0       
 [2] CEC2017 N=2 D=30,0,0,2,0.313725490196078,0.582758820728829,2                                                                      
 [3] CEC2017 N=3 D=30,8.18545231595635e-12,3.80850906367414e-12,1.66551217262167e-11,8.53542944384447e-12,2.90901431952322e-12,1       
 [4] CEC2017 N=4 D=30,58.561557801855,0.123461041980988,67.8974212448648,58.2948819666249,9.32712230688015,0                           
 [5] CEC2017 N=5 D=30,6.9647134136107,1.98992404336326,9.94959834605658,6.73063948130575,1.89394791338824,1                            
 [6] CEC2017 N=6 D=30,3.398304215807e-07,2.58104591921438e-07,0.348831012244773,0.00949634127854614,0.0520451286400559,0.96078431372549
 [7] CEC2017 N=7 D=30,37.4643975298773,34.1207972753589,43.3679027533756,37.5637499914863,2.08511596781723,0.941176470588235           
 [8] CEC2017 N=8 D=30,5.96975435841648,2.98487717685896,9.94963087624467,6.12585679290545,1.71610114849375,1                           
 [9] CEC2017 N=9 D=30,4.54747350886464e-13,1.13686837721616e-13,1.59161572810262e-12,4.52518197205648e-13,2.57736055756679e-13,1       
[10] CEC2017 N=10 D=30,126.581990715347,3.54411150471969,586.636819483829,142.895656577941,137.473987177448,1                          
[11] CEC2017 N=11 D=30,11.9395036579083,1.98991812959662,83.8580464780223,27.976489330939,27.1265745243921,0.725490196078431           
[12] CEC2017 N=12 D=30,1165.5831771812,454.465989730902,2503.566019181,1276.35654311766,464.970944153349,0                             
[13] CEC2017 N=13 D=30,154.205071441013,34.4142344811783,692.966070058995,198.615400789326,137.962237975738,0                          
[14] CEC2017 N=14 D=30,29.0619145683565,2.98487732291005,66.9051363476781,30.1174865665773,9.70401777296968,0                          
[15] CEC2017 N=15 D=30,80.2036937062674,14.2374783923383,174.677355925917,79.5218855514092,37.9632589264823,0                          
[16] CEC2017 N=16 D=30,18.2354484731429,2.67765310065374,282.834448804179,64.2386106304086,81.8843661742206,0                          
[17] CEC2017 N=17 D=30,25.1833671808652,20.7260887088532,103.897463398772,40.0342625022423,26.9744380495533,0                          
[18] CEC2017 N=18 D=30,62.476374798327,24.2085376181951,148.738435979135,66.3046488099278,28.3864485745132,0                           
[19] CEC2017 N=19 D=30,26.8027342488801,9.59435429836185,83.2728979522731,33.207393894514,17.6712449633589,0                           
[20] CEC2017 N=20 D=30,25.6069122487586,20.2605515230377,187.728653638595,61.4632216117728,54.3620713130053,0                          
[21] CEC2017 N=21 D=30,208.315040702922,201.806654393758,229.703548727034,210.095596960555,5.5618370702081,0.764705882352941           
[22] CEC2017 N=22 D=30,100.000000586348,100.000000460539,100.000000629164,100.00000057443,3.90804787077114e-08,0                       
[23] CEC2017 N=23 D=30,349.10100152655,334.163212765788,365.285659334196,349.149278269458,7.85975968820657,0.843137254901961           
[24] CEC2017 N=24 D=30,418.452530682151,408.061121958937,425.877424361742,418.241219964944,3.84990957325793,1                          
[25] CEC2017 N=25 D=30,386.701209176653,383.39907180956,386.740492026841,386.638872514782,0.46291476131068,0                           
[26] CEC2017 N=26 D=30,643.903086293712,200.000003923152,929.663279636,569.6001945353,239.286542854264,0.843137254901961               
[27] CEC2017 N=27 D=30,508.900944158019,498.490528957595,536.124214074193,510.466511797294,9.00728566324111,0                          
[28] CEC2017 N=28 D=30,300.000000185342,300.000000113844,440.12599164585,315.14318765877,37.7432170157244,0.784313725490196            
[29] CEC2017 N=29 D=30,414.231125543167,396.072147247348,491.727924189986,427.359844565015,29.3869008254152,0                          
[30] CEC2017 N=30 D=30,2301.03446030163,1988.67346934502,2865.51115874296,2315.68503114429,199.871642165721,0                          
 [1] CEC2017 N=1 D=50,2.46976782136699e-07,1.09287938698799e-07,8.13166906254992e-07,2.84875930426953e-07,1.35811677695648e-07,0
 [2] CEC2017 N=2 D=50,9,1,36,10.5294117647059,6.04103614018811,0.980392156862745                                                
 [3] CEC2017 N=3 D=50,1.32545210362878e-08,6.40949338048813e-09,2.02873593480035e-08,1.32371180335016e-08,2.82584466614011e-09,1
 [4] CEC2017 N=4 D=50,28.5127117221224,28.512711644477,143.7086823551,73.723836900437,49.6936649836842,0                        
 [5] CEC2017 N=5 D=50,8.95463151395347,1.98991811429329,18.9042220848467,9.59842845207327,2.79173180489121,0                    
 [6] CEC2017 N=6 D=50,8.67905214363418e-07,6.49451521894662e-07,0.0421438994734444,0.000827224642755616,0.00590120152622042,0   
 [7] CEC2017 N=7 D=50,60.219066277126,57.4114105245302,65.6205273589034,60.4503004673391,1.69572431534793,0                     
 [8] CEC2017 N=8 D=50,8.95463151391039,5.07043296238407e-11,17.9092630278113,9.38382943975465,2.87165864229054,0                
 [9] CEC2017 N=9 D=50,1.35194113681791e-08,7.58279838919407e-09,1.89903630598565e-08,1.35187805176875e-08,2.51443267866647e-09,1
[10] CEC2017 N=10 D=50,137.091171345095,1.62839615857592,723.542406586545,214.07898728991,151.689889029705,0                    
[11] CEC2017 N=11 D=50,37.1690539968645,25.2295553844842,94.8764014044405,41.7664623262705,14.1474351721867,0                   
[12] CEC2017 N=12 D=50,2342.85663363737,1542.12619399325,3492.38452576694,2380.3429461822,483.398716866329,0                    
[13] CEC2017 N=13 D=50,648.707403860568,260.977612926346,1322.65590955889,660.169740425179,278.201006961061,0                   
[14] CEC2017 N=14 D=50,47.282085796119,28.3367654920028,110.942090601817,51.660372413317,15.2060793208455,0                     
[15] CEC2017 N=15 D=50,186.667397462684,90.566121121333,390.522371413198,192.096198993198,68.341217607423,0                     
[16] CEC2017 N=16 D=50,129.361971479178,123.031236205522,363.290313741364,165.29060381775,60.5194313022265,0                    
[17] CEC2017 N=17 D=50,156.528367920177,22.1640168828058,484.639138893665,161.80342020288,95.3391178772166,0                    
[18] CEC2017 N=18 D=50,65.4814972339427,29.5007469477084,144.097789140324,70.8435349270456,26.8701127347533,0                   
[19] CEC2017 N=19 D=50,77.6765888985731,29.235292622117,143.954740601948,79.1431292143827,24.9080180481523,0                    
[20] CEC2017 N=20 D=50,23.9090408054719,20.6353345388054,192.551235220827,61.785085121837,55.4028174021655,0                    
[21] CEC2017 N=21 D=50,211.541799913789,206.077453752465,219.52762861659,211.97025890187,3.08232583197124,0.0196078431372549    
[22] CEC2017 N=22 D=50,100.000001543721,100.000001328935,100.000001844461,100.000001561218,1.34651430417665e-07,0               
[23] CEC2017 N=23 D=50,418.128974214485,396.758878171383,436.330842171947,417.692602790352,9.25229448090977,0.764705882352941   
[24] CEC2017 N=24 D=50,486.517996534255,471.957141477492,495.667326200688,486.020609398267,6.08764575493908,1                   
[25] CEC2017 N=25 D=50,480.235007266163,460.155077889414,562.541217127775,482.568550108273,13.0277796549849,0.0196078431372549  
[26] CEC2017 N=26 D=50,708.732891732603,400.000006840547,919.912146985477,714.593513712102,126.214550667617,0.941176470588235   
[27] CEC2017 N=27 D=50,546.070484180235,507.149733266774,596.203480246725,548.828111870252,21.1957670096678,0                   
[28] CEC2017 N=28 D=50,507.694692887972,458.848722742276,512.054402883557,486.759197305714,24.5612928821075,0                   
[29] CEC2017 N=29 D=50,329.353350682979,287.805525138109,509.5799130532,350.068982924392,54.3100204352342,0                     
[30] CEC2017 N=30 D=50,676878.284641101,582952.835052878,1031332.84746898,706026.582306158,107171.198016607,0                   
[1] Calculation time[hours]:  8.90336349275377 ,,,,,,

