Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,8.38736013974994e-09,3.90339494060754e-09,2.30591297167848e-08,9.69660005448888e-09,4.1215273537139e-09,0               
 [2] CEC2017 N=2 D=10,0,0,0,0,0,7.45098039215686                                                                                              
 [3] CEC2017 N=3 D=10,1.64845914696343e-12,5.6843418860808e-14,3.75166564481333e-11,4.38585986700548e-12,6.86538022901553e-12,4.80392156862745
 [4] CEC2017 N=4 D=10,0,0,5.6843418860808e-14,3.343730521224e-15,1.35080091646615e-14,4                                                       
 [5] CEC2017 N=5 D=10,1.98991812155623,3.19340642818133e-09,3.97983624211344,1.89238462187869,1.11246513310725,2.88235294117647               
 [6] CEC2017 N=6 D=10,1.45258695738448e-07,6.87937244947534e-08,0.551972672675333,0.0108231735325672,0.0772916083455608,1.88235294117647      
 [7] CEC2017 N=7 D=10,12.4063445840325,10.9744658939602,14.858944757562,12.5328492150861,0.868255823595165,1.11764705882353                   
 [8] CEC2017 N=8 D=10,1.98991812263682,1.13686837721616e-13,4.97479529755788,2.1486837238106,1.03823711020947,2.31372549019608                
 [9] CEC2017 N=9 D=10,1.13686837721616e-13,0,3.06954461848363e-12,3.05394054271792e-13,5.66379654293007e-13,5                                 
[10] CEC2017 N=10 D=10,3.53986957370034,0.0624544478605458,309.406114369192,25.7588332729144,57.560347329446,3                                
[11] CEC2017 N=11 D=10,6.5695076045813e-09,0,0.994959068970729,0.175581043909206,0.383072524519821,3                                          
[12] CEC2017 N=12 D=10,395.316213024319,11.3810980726232,798.840718767647,393.389671558654,194.4369110932,0                                   
[13] CEC2017 N=13 D=10,3.11381930186712,4.05407263315283e-10,8.66406702482323,3.35823644149316,2.95624118476815,1.76470588235294              
[14] CEC2017 N=14 D=10,4.97479028831867,3.10053565044655e-08,29.9709297374543,10.378788752093,9.88549404663945,0                              
[15] CEC2017 N=15 D=10,0.995583423407425,0.000806011486474745,19.960630607166,1.70487193247212,3.29631392211581,0.313725490196078             
[16] CEC2017 N=16 D=10,1.33222618651712,0.322391915799699,240.933367235846,24.0043091665123,53.253884150452,0.470588235294118                 
[17] CEC2017 N=17 D=10,25.4329872512335,0.920880481849053,46.6792534525755,23.7629470419866,9.32809656817565,0                                
[18] CEC2017 N=18 D=10,22.0474273333948,0.995227303933461,36.4526858846264,20.5263664504989,8.7821517849128,0                                 
[19] CEC2017 N=19 D=10,1.17701493890536,0.0194342478796443,11.0000837563825,1.99061921509555,1.74998835125839,0                               
[20] CEC2017 N=20 D=10,20.0237051146623,5.43455485058075e-06,141.725904797121,18.117170000851,31.0902789997614,0                              
[21] CEC2017 N=21 D=10,202.824000498965,100.000000015002,205.414576439167,194.495185858938,25.1685551528535,3                                 
[22] CEC2017 N=22 D=10,100.000000025609,100.000000016751,100.000000113016,100.000000028567,1.63253787088289e-08,3                             
[23] CEC2017 N=23 D=10,300.000000138396,300.000000004946,306.072068975745,301.427688715091,1.85499417479936,3.41176470588235                  
[24] CEC2017 N=24 D=10,100.000000186408,100.000000127942,327.743532675089,145.798927521129,88.4318507465145,1.45098039215686                  
[25] CEC2017 N=25 D=10,398.008989444598,397.742869469987,443.380657224444,413.915429994601,21.9537593511064,4                                 
[26] CEC2017 N=26 D=10,300.000000163388,200.00000107972,300.000000204388,284.313725873473,36.7290017614018,0                                  
[27] CEC2017 N=27 D=10,395.074556548948,391.966693191163,402.928428180563,395.472150520558,1.99877462054039,1.68627450980392                  
[28] CEC2017 N=28 D=10,583.745226317816,300.000000206908,646.4803413966,512.039171215418,132.360085826193,0                                   
[29] CEC2017 N=29 D=10,236.535830171224,228.59315015728,272.789318420047,239.897197383132,10.7310070400255,0                                  
[30] CEC2017 N=30 D=10,442.659847598089,394.50077711635,1248762.78092117,89904.447777587,314147.94680185,0                                    
 [1] CEC2017 N=1 D=30,4.55684983080573e-08,3.11212176029585e-08,6.35091339518112e-08,4.71842769474831e-08,7.38139506545016e-09,0              
 [2] CEC2017 N=2 D=30,0,0,1,0.0392156862745098,0.196039211763921,1.96078431372549                                                             
 [3] CEC2017 N=3 D=30,3.5242919693701e-12,1.76214598468505e-12,1.51381982504972e-08,1.32215674574243e-09,3.52079029074401e-09,1.13725490196078
