Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,6215.93858345679,5.96969161757617,24987890.4904331,1847720.52494871,5620044.79908921,0                  
 [2] CEC2017 N=2 D=10,102,0,10256,715.372549019608,1804.84953346016,4.23529411764706                                          
 [3] CEC2017 N=3 D=10,87.381884505455,0.0352510920887426,2528.14061578665,321.880702219479,543.433411064984,0                 
 [4] CEC2017 N=4 D=10,5.46500923532443,0.019858298329666,70.5266264196163,7.3028158670465,9.74779098466009,0.862745098039216  
 [5] CEC2017 N=5 D=10,8.59069052082981,4.55242174404913,26.0890850417281,10.6392599858809,5.2741208392029,0.0588235294117647  
 [6] CEC2017 N=6 D=10,0.848750759522545,0.12726050712422,5.60573783041229,1.37641841648117,1.22239854843601,0.0392156862745098
 [7] CEC2017 N=7 D=10,21.4982420891178,12.4502024763236,38.6747708537084,22.2082022766287,6.13156226544046,0                  
 [8] CEC2017 N=8 D=10,9.66810252055211,2.11218157413691,24.5465751265333,10.8383887786678,4.71933916392848,0                  
 [9] CEC2017 N=9 D=10,0.776160482707382,0.0172384083507495,85.9617130330237,5.5476922909118,16.1589650535479,0.647058823529412
[10] CEC2017 N=10 D=10,459.17899856898,3.66028813464527,1070.44730289439,485.362478027681,260.043959552824,0                  
[11] CEC2017 N=11 D=10,17.2874211426829,2.44291978345927,308.953205567492,33.4994344928061,45.9979310583837,0.274509803921569 
[12] CEC2017 N=12 D=10,3178.74706437333,292.553859553169,489256.575168301,13667.9965858156,68021.2670863087,0                 
[13] CEC2017 N=13 D=10,349.0435443155,72.2977483895727,3260.03323686136,593.383643398598,656.008556174611,0                   
[14] CEC2017 N=14 D=10,32.9379070769046,4.13252661174488,110.543851823437,36.3471476840514,18.8734397222512,0.529411764705882 
[15] CEC2017 N=15 D=10,85.8298220637262,7.48284178860308,1289.98952218533,159.709757446165,212.352507458455,0                 
[16] CEC2017 N=16 D=10,17.1989016396808,2.1096690253828,261.24748218733,65.3926296143512,76.0504106141852,0                   
[17] CEC2017 N=17 D=10,34.8498346427527,10.915187712337,69.2874894023496,37.7959535786774,13.4164615099811,0                  
[18] CEC2017 N=18 D=10,88.1110771920669,25.2326679479447,476.332452309827,120.003840381281,88.0364577170676,0                 
[19] CEC2017 N=19 D=10,12.253055688366,4.42751080638732,187.235118695316,27.8137756410625,35.90706432705,0                    
[20] CEC2017 N=20 D=10,33.5891422873922,20.2954393636942,152.562243121429,52.8414710724306,43.5045670462723,0                 
[21] CEC2017 N=21 D=10,210.509483093378,163.911495518989,226.060679023173,208.810280201994,11.5589049484368,0.0392156862745098
[22] CEC2017 N=22 D=10,102.580144097496,100.176212428934,159.282460944041,105.081291246136,8.87537938918737,0                 
[23] CEC2017 N=23 D=10,313.572293733628,300.187972110817,356.331756707717,315.451962191254,10.2658026650063,0.0392156862745098
[24] CEC2017 N=24 D=10,334.615262877909,100.082220872037,365.803748746698,283.215431892807,100.161908504216,0.0392156862745098
[25] CEC2017 N=25 D=10,444.520740663962,397.849943078724,450.887460124149,432.551447228281,20.8483476171309,0.274509803921569 
[26] CEC2017 N=26 D=10,312.055236750377,200.928273115288,455.864064334571,320.105915867977,48.3682213114711,0                 
[27] CEC2017 N=27 D=10,400.580378913887,393.739283399384,468.358134246077,404.499184562144,12.3157269167577,0.450980392156863 
[28] CEC2017 N=28 D=10,591.650973333615,301.175090567821,695.046097071223,577.435163026451,96.3531257337075,0                 
