Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,383753221.379037,0.0010342964812935,1609730584.66956,465840011.925185,512745257.652841,28.0980392156863             
 [2] CEC2017 N=2 D=10,0,0,202392591,8888699.25490196,30400078.5758826,26.5686274509804                                                    
 [3] CEC2017 N=3 D=10,6.41565469550187e-06,5.79512970944052e-09,2919.21001514957,57.2603518825393,408.768180633258,9.68627450980392       
 [4] CEC2017 N=4 D=10,5.88160933855846,6.95069957146188e-09,103.87690456364,34.9558335990117,39.1839539608317,29.1960784313725            
 [5] CEC2017 N=5 D=10,50.6483471008743,33.9503995379955,61.3986754915643,50.5569108656037,5.60372639796276,53.4509803921569               
 [6] CEC2017 N=6 D=10,1.56627465705731,0.0522390827026129,27.5271759126952,8.75723038644924,9.75249888039649,23.4117647058824             
 [7] CEC2017 N=7 D=10,39.3949914914659,23.6821865936168,45.49540002208,38.6154833833588,5.24844830551146,0.235294117647059                
 [8] CEC2017 N=8 D=10,29.836738827624,19.8546550483549,39.5104894932913,29.0762133604927,4.52359617964355,5.76470588235294                
 [9] CEC2017 N=9 D=10,2.80072013083554e-05,2.28273052016448e-07,0.0922481234836141,0.00204313441729393,0.0129136971001126,1.50980392156863
[10] CEC2017 N=10 D=10,1450.97383784191,1146.55717344915,1642.29612938863,1442.31581020627,97.0102301941118,56.5882352941176              
[11] CEC2017 N=11 D=10,146.244760593332,5.12472711861642,289.642229647152,130.803964784272,77.0069968869377,48                            
[12] CEC2017 N=12 D=10,166.365561386987,25.3358364927094,4092380.60814658,80415.0405460795,573023.312248207,6.58823529411765              
[13] CEC2017 N=13 D=10,5426.97857441064,13.0806701115744,84425.8938481275,8394.36432588746,12420.5190753067,37.1960784313725              
[14] CEC2017 N=14 D=10,174.952971206051,84.3482568257587,720.927918921974,222.598111137079,137.564756152769,64.9803921568627              
[15] CEC2017 N=15 D=10,1338.24876770854,148.161121774256,4418.51615224713,1416.51692296148,904.951073536646,30.921568627451               
[16] CEC2017 N=16 D=10,178.055221691243,51.9952954725006,309.336807769264,175.879200222396,63.1798102517751,37.5294117647059              
[17] CEC2017 N=17 D=10,83.7413326358494,60.7322395855917,111.458647972619,82.6334656287734,11.8870840880038,27.2549019607843              
[18] CEC2017 N=18 D=10,106333.561090123,14.7354374963727,787980.501272366,172633.013854302,173700.839594776,67.9411764705882              
[19] CEC2017 N=19 D=10,1478.2257018818,160.365327206198,7318.39003519569,2044.26667872801,1541.01363008682,81.6666666666667               
[20] CEC2017 N=20 D=10,113.592162169232,71.1353388919711,160.073447135562,116.164221098253,19.8813884568612,55.7647058823529              
[21] CEC2017 N=21 D=10,138.618533154887,118.332373324248,171.672206831107,139.767551746978,11.8080768820129,69.6666666666667              
[22] CEC2017 N=22 D=10,101.284434709782,100.367533447667,231.016414899796,109.931851335503,27.141393215977,16.2745098039216               
[23] CEC2017 N=23 D=10,374.713096709982,267.264436578144,393.128355355931,369.002803673187,25.6679416461227,91.0392156862745              
[24] CEC2017 N=24 D=10,261.115422194677,200.51534961135,323.982538568077,263.230118384652,27.074812392706,64.7058823529412                
[25] CEC2017 N=25 D=10,443.710036943184,397.74286960382,499.673057589462,431.119099786275,27.6226667659628,10.1176470588235               
[26] CEC2017 N=26 D=10,555.83742834854,300.023007827444,665.483881050352,545.907306977562,86.2318411371492,35.9803921568627               
[27] CEC2017 N=27 D=10,438.356611696905,408.357597335015,459.484725481582,436.503978426855,12.368043034313,71.9803921568627               
[28] CEC2017 N=28 D=10,526.90767071031,300.00228106241,633.763757002859,518.484513952049,64.9979635422952,28.8039215686275                
[29] CEC2017 N=29 D=10,367.950342767002,300.11140653615,428.656110213474,368.423743348782,25.4445733421537,58.0980392156863               
[30] CEC2017 N=30 D=10,1556127.07658703,455053.231056052,3457298.92068898,1653277.68574318,854077.469479382,41.2549019607843              
[1] Calculation time[hours]:  8.26434593280156 ,,,,,,
