Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,6.71889210934751e-11,1.87583282240666e-12,6.90087631483038e-09,3.9089407963212e-10,1.09044772231327e-09,3   
 [2] CEC2017 N=2 D=10,0,0,0,0,0,7.47058823529412                                                                                  
 [3] CEC2017 N=3 D=10,0,0,2.19984030991327e-11,1.10677480252514e-12,4.23634674391873e-12,4.07843137254902                         
 [4] CEC2017 N=4 D=10,0,0,2.27373675443232e-13,1.5604075765712e-14,4.69822894227674e-14,4                                         
 [5] CEC2017 N=5 D=10,1.9899181201809,1.391356363456e-09,3.97983623704812,1.87286418626669,1.00775275254978,2.70588235294118      
 [6] CEC2017 N=6 D=10,1.59161572810262e-12,1.13686837721616e-13,3.5739003578783e-07,3.11972331366954e-08,9.63763621130961e-08,2   
 [7] CEC2017 N=7 D=10,12.6800660004966,10.8290968817037,15.2732058169494,12.7216335859669,1.12384410020067,1.05882352941176       
 [8] CEC2017 N=8 D=10,1.98991812344593,6.54154064250179e-09,3.97983623999596,2.16553331632403,1.06618258161743,2.19607843137255   
 [9] CEC2017 N=9 D=10,1.36424205265939e-12,0,2.78532752417959e-11,2.56129757925758e-12,4.29672197875654e-12,4.92156862745098      
[10] CEC2017 N=10 D=10,0.437181090815102,0.124911242271992,135.319553694454,9.8260902417279,27.9032127529607,2.94117647058824     
[11] CEC2017 N=11 D=10,7.69273356127087e-09,0,0.994959066671981,0.195090179083318,0.398957798362363,2.90196078431373              
[12] CEC2017 N=12 D=10,236.87666923325,0.624428970821782,477.963121807808,230.52620486425,123.060029981287,2.74509803921569       
[13] CEC2017 N=13 D=10,1.98991812412146,0,9.81192003211822,2.83164822652528,2.75241886663725,1.7843137254902                      
[14] CEC2017 N=14 D=10,0.994959144527002,1.25737642520107e-10,23.0111233918765,7.8122986992254,9.62238920308718,0.882352941176471 
[15] CEC2017 N=15 D=10,0.298318964419877,3.42653415827954e-05,1.4790021929457,0.338426456055748,0.346376785945089,2.07843137254902
[16] CEC2017 N=16 D=10,0.943692703124043,0.132835617129558,120.681737181784,3.30059347066335,16.7692918674117,1.01960784313725    
[17] CEC2017 N=17 D=10,24.3748333856763,2.31201180432095,83.4093141838894,24.4680534029564,12.1422199692741,0.0588235294117647    
[18] CEC2017 N=18 D=10,21.095673359006,0.00210001094251311,38.2417595944553,16.6525060894589,10.3384580539664,0.333333333333333   
[19] CEC2017 N=19 D=10,0.994122372975426,0.0194318252711128,2.62388146793569,0.782066918468436,0.515904699841255,1.6078431372549  
[20] CEC2017 N=20 D=10,2.30209144041987,2.18415152630769e-09,33.6184113534712,10.2471546380351,10.4052028140063,0.705882352941177 
[21] CEC2017 N=21 D=10,202.559159685661,159.924106786431,205.203081371383,200.396227487378,8.31405299372499,2.96078431372549      
[22] CEC2017 N=22 D=10,100.000000000145,100.000000000003,100.000000000756,100.000000000181,1.57909588267432e-10,3                 
[23] CEC2017 N=23 D=10,300.000000109134,222.440084252116,304.343915370623,299.35325256179,11.0823787775057,3.43137254901961       
[24] CEC2017 N=24 D=10,324.123951686402,100,329.544320383161,302.288787792816,60.5051817369109,3.84313725490196                   
[25] CEC2017 N=25 D=10,398.008989440592,397.742869469987,443.372241323032,409.380816516401,19.9197207569842,4                     
[26] CEC2017 N=26 D=10,300.00000007153,200.000000093797,300.000000110876,286.274509903883,34.7540376496933,3                      
[27] CEC2017 N=27 D=10,393.818764692306,391.966693194075,395.074556544973,393.998539997718,0.508831638533886,4.2156862745098      
[28] CEC2017 N=28 D=10,300.000000124088,300,611.821808064656,384.555520859397,132.399534217057,2.27450980392157                   
[29] CEC2017 N=29 D=10,232.23219134759,229.109451229281,266.664582903246,234.020776418917,5.96734017156128,0.627450980392157      
[30] CEC2017 N=30 D=10,407.520700221337,394.500772414379,1248762.74270943,121036.570027338,310576.151185645,0.843137254901961     
 [1] CEC2017 N=1 D=30,1.12137854557659e-08,6.02990724019037e-09,1.78657160176954e-08,1.13265304760574e-08,3.03397404450624e-09,1
 [2] CEC2017 N=2 D=30,0,0,1,0.117647058823529,0.325395686727984,1.94117647058824                                                
 [3] CEC2017 N=3 D=30,1.70530256582424e-13,5.6843418860808e-14,3.41060513164848e-13,1.68301102901608e-13,7.70732907307683e-14,1 
 [4] CEC2017 N=4 D=30,58.5615573023856,0.509421352563436,64.1173950133556,57.2138404504302,9.07527624306652,0.607843137254902   
 [5] CEC2017 N=5 D=30,4.97721312085946,1.98991813155811,11.9396879887225,5.40420156573196,1.93187724534516,1                    
 [6] CEC2017 N=6 D=30,3.41587565344526e-07,2.79415644399705e-07,8.47402702675026e-07,3.61230843059186e-07,1.00785755436532e-07,1
 [7] CEC2017 N=7 D=30,36.8896854000147,33.5822352424889,42.2505711132184,36.9420851397265,1.67833109635923,0.156862745098039    
 [8] CEC2017 N=8 D=30,4.97580919123368,0.995128138235145,8.95463152187142,5.27033506080468,1.87878949143649,1                   
 [9] CEC2017 N=9 D=30,1.13686837721616e-13,0,1.42325689012068e-08,3.68482670084774e-09,5.07990440629867e-09,1.37254901960784    
[10] CEC2017 N=10 D=30,131.644261887239,2.48495321162954,490.652152175917,151.535617314499,112.9927683168,0.980392156862745     
[11] CEC2017 N=11 D=30,6.96471340968742,1.98991811423321,66.0636428616847,11.3288080560739,14.659436061331,1                    
[12] CEC2017 N=12 D=30,1052.24724575967,564.598932085053,2094.91484945432,1077.94819318101,300.394889057976,0.96078431372549    
[13] CEC2017 N=13 D=30,31.286850921377,7.95966742985183,111.449581691661,38.2461339017861,24.2872483837827,0.568627450980392    
[14] CEC2017 N=14 D=30,24.150948155384,3.97983639911467,32.1317506810458,24.2730415640207,4.03759659383834,0.0196078431372549   
[15] CEC2017 N=15 D=30,32.9496664661945,3.3839991200789,109.786310058452,37.1204388415254,22.4291944934104,0.0588235294117647   
