Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,5.40012479177676e-12,1.27897692436818e-12,1.14127374217787e-10,1.72285715106067e-11,2.53548989513891e-11,1.98039215686275
 [2] CEC2017 N=2 D=10,1,0,78,3.2156862745098,10.8486196826881,4.25490196078431                                                                 
 [3] CEC2017 N=3 D=10,0,0,1.01181285572238e-10,9.5296319854884e-12,2.16274794214121e-11,3.47058823529412                                       
 [4] CEC2017 N=4 D=10,6.25277607468888e-13,0,8.51514414534904e-11,2.42777127377671e-11,2.8973927016859e-11,2.80392156862745                    
 [5] CEC2017 N=5 D=10,131.332700745981,121.383390804925,131.332700746038,127.606545288655,4.40858198088749,5                                   
 [6] CEC2017 N=6 D=10,57.1709927271585,56.2951332399571,57.1709927271842,57.1538190117237,0.122644859633588,5                                  
 [7] CEC2017 N=7 D=10,109.424825630546,46.5976532401789,111.578593734734,105.69723610369,10.7189775647796,4.96078431372549                     
 [8] CEC2017 N=8 D=10,33.8285474419696,24.8739310416197,34.8234863023812,32.9116112158614,2.31927572522557,5                                   
 [9] CEC2017 N=9 D=10,202.347271778403,14.6270544889982,533.539427003729,218.770135374343,113.760025577346,2.01960784313725                    
[10] CEC2017 N=10 D=10,1337.79252962556,692.310271005323,1701.16180034473,1293.9446528966,278.818511329762,3.98039215686275                    
[11] CEC2017 N=11 D=10,21.8889930972834,8.67621885814151,53.4488120324922,24.5906757097167,12.1910111117631,3.17647058823529                   
[12] CEC2017 N=12 D=10,272.346027851264,0.624428953938377,824.573488404662,318.542205048823,186.682248120773,1.33333333333333                  
[13] CEC2017 N=13 D=10,143.398225838218,17.1559167694277,601.23995202424,198.412625974027,144.72241796581,1.3921568627451                      
[14] CEC2017 N=14 D=10,65.7676938230468,31.1454991059884,106.559747423016,68.9320192531049,14.0603833540346,0                                  
[15] CEC2017 N=15 D=10,53.7470073733487,3.1967634110747,193.329646129218,68.8023111757197,49.9748935981108,0                                   
[16] CEC2017 N=16 D=10,486.648468363427,485.648253978408,541.440626134857,505.382218830968,26.0024693770689,0                                  
[17] CEC2017 N=17 D=10,116.099125495937,50.7575088622023,293.951209259235,165.352266111513,89.4147603721605,0                                  
[18] CEC2017 N=18 D=10,51.9067543954559,10.3334918312041,297.400808131026,68.0055737216491,54.8485386888534,0                                  
