Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,4.32436308983597e-11,2.8279600883252e-12,2.51093013048376e-09,2.0376638067497e-10,4.57068148354615e-10,3     
 [2] CEC2017 N=2 D=10,0,0,0,0,0,7.41176470588235                                                                                   
 [3] CEC2017 N=3 D=10,0,0,3.91082721762359e-11,2.10655022837112e-12,6.57715852906481e-12,4.13725490196078                          
 [4] CEC2017 N=4 D=10,0,0,2.8421709430404e-13,7.802037882856e-15,4.10212734270404e-14,4                                            
 [5] CEC2017 N=5 D=10,1.98991811924463,6.66722144160303e-09,3.97983623798433,1.91188215903692,0.863797226323237,2.76470588235294   
 [6] CEC2017 N=6 D=10,2.61479726759717e-12,1.13686837721616e-13,3.30117813973629e-07,5.52054969232938e-08,1.13575177899155e-07,2   
 [7] CEC2017 N=7 D=10,12.5480296847866,10.7464480280217,14.6497853573396,12.5448811954505,0.921112343513251,1.05882352941176       
 [8] CEC2017 N=8 D=10,1.98991811914789,0,3.97983623742959,2.06795413687951,0.991832690304731,2.23529411764706                      
 [9] CEC2017 N=9 D=10,1.25055521493778e-12,0,2.26236807066016e-11,3.3303555991391e-12,4.6768998696333e-12,4.84313725490196         
[10] CEC2017 N=10 D=10,0.312272217365717,0.124908882084128,122.103113210437,4.3531986900418,17.0727318215371,2.88235294117647      
[11] CEC2017 N=11 D=10,5.71662894799374e-09,0,0.994959070423192,0.0780774002218915,0.27014361025118,2.84313725490196               
[12] CEC2017 N=12 D=10,238.176207236862,0.208142984645519,568.041918817542,247.250484121507,130.27706885342,2.7843137254902        
[13] CEC2017 N=13 D=10,5.20412632241596,0,9.62192108449517,4.15448685697831,2.58611145733221,1.58823529411765                      
[14] CEC2017 N=14 D=10,0.994959149977831,0,32.9516507409076,5.95982736147129,9.2611815590964,1.01960784313725                      
[15] CEC2017 N=15 D=10,0.332128841268741,0.000101906310419508,1.49495911199892,0.443193004271908,0.460458321031797,2.05882352941176
[16] CEC2017 N=16 D=10,0.985610084843302,0.0227192922393442,134.670070290647,5.96365826647705,24.835288002317,1.41176470588235     
[17] CEC2017 N=17 D=10,24.5017066933856,1.19225249729266,42.3495595340844,22.2279682239387,9.17903809104025,0.0392156862745098     
[18] CEC2017 N=18 D=10,21.141933071181,0.197783536029874,45.9322496705006,19.1012681593401,9.43537272370751,0.176470588235294      
[19] CEC2017 N=19 D=10,0.97415397317468,0.0194323435446222,2.58702384666867,0.83397180795876,0.693543084843067,1.54901960784314    
[20] CEC2017 N=20 D=10,2.30209147878486,5.26438270753715e-08,25.2931345832449,10.5348778047268,10.2994994134747,0.568627450980392  
[21] CEC2017 N=21 D=10,202.151368428327,125.00619685774,204.578623352091,196.901471394948,16.4477285471612,2.98039215686275        
[22] CEC2017 N=22 D=10,100.000000000119,100,100.000000000779,100.000000000196,1.70434975315309e-10,3                               
[23] CEC2017 N=23 D=10,300.000000121599,300,304.874206285806,300.804215580184,1.41458553233511,3.66666666666667                    
[24] CEC2017 N=24 D=10,324.143168944168,100.000000089608,329.564068147488,304.958985707786,53.3683680021452,3.74509803921569       
[25] CEC2017 N=25 D=10,398.035780798542,397.742869469987,443.373121336843,416.589084484118,22.6107401340377,3.96078431372549       
[26] CEC2017 N=26 D=10,300.000000054935,200.000000102785,300.000000114327,288.23529419365,32.5395686428412,3                       
[27] CEC2017 N=27 D=10,393.818764690483,389.954937768063,395.984766693939,393.976788875098,0.79184334163609,4.07843137254902       
[28] CEC2017 N=28 D=10,300.000000149006,300,611.821808064656,411.822720412457,140.656709754895,2.17647058823529                    
[29] CEC2017 N=29 D=10,234.496869174086,227.933271172762,257.941025381965,235.732786351565,6.76098054792531,0.470588235294118      
[30] CEC2017 N=30 D=10,442.659843926112,394.500772414379,1248762.74270943,137061.439365613,324973.09891644,0.843137254901961       
