Problem(N=Dim D=Problem),Median, Best, Worst, Mean, Sd, Resets
 [1] CEC2017 N=1 D=10,8.26459256586531e-09,2.9815510060871e-09,1.92283806654814e-08,9.05727599238875e-09,3.84442325142692e-09,0                
 [2] CEC2017 N=2 D=10,0,0,0,0,0,7.33333333333333                                                                                               
 [3] CEC2017 N=3 D=10,1.13686837721616e-13,0,3.71187525161076e-11,1.35866916845735e-12,5.67083410698325e-12,4.07843137254902                   
 [4] CEC2017 N=4 D=10,0,0,1.13686837721616e-12,4.1239343095096e-14,1.67886797075881e-13,4                                                      
 [5] CEC2017 N=5 D=10,1.98991812198966,3.29987415170763e-09,4.9747952960505,1.93139184790212,1.11527417783058,2.76470588235294                 
 [6] CEC2017 N=6 D=10,1.37849724524131e-07,8.26757968752645e-08,2.80355720860825e-07,1.39724634476913e-07,3.28586199659876e-08,1.98039215686275
 [7] CEC2017 N=7 D=10,12.1173367886892,10.6520291650671,14.6531187015098,12.2508614777177,0.817880604046746,1.13725490196078                   
 [8] CEC2017 N=8 D=10,1.98991812140082,0,3.97983622837319,1.99929645262472,0.798780136815466,2.19607843137255                                  
 [9] CEC2017 N=9 D=10,1.25055521493778e-12,0,8.18545231595635e-12,1.950509470714e-12,2.08668745926526e-12,4.88235294117647                     
[10] CEC2017 N=10 D=10,0.37472665354926,0.062454449359393,141.972476100329,8.2080254765523,25.4689079022631,2.96078431372549                   
[11] CEC2017 N=11 D=10,5.62863533559721e-09,0,0.994959070657842,0.0976801825500959,0.298769237212695,2.94117647058824                          
[12] CEC2017 N=12 D=10,375.677575006679,3.27804627886508e-09,879.574882654076,394.480475509007,217.211616828497,0                              
[13] CEC2017 N=13 D=10,1.52658201923441,1.32945388031658e-09,8.5079445628453,2.76052622739413,2.49460582466356,1.80392156862745                
[14] CEC2017 N=14 D=10,1.98991814677379,4.49754224973731e-08,22.0253698148897,7.73420875970484,9.40794101780568,0                              
[15] CEC2017 N=15 D=10,0.500000009458063,0.000690507061790413,8.2269468012928,1.04205645587089,1.44943766007844,0.294117647058824              
[16] CEC2017 N=16 D=10,1.16360359771329,0.336933541368808,135.182067689256,13.0917214448301,36.8410679513719,0.509803921568627                 
[17] CEC2017 N=17 D=10,22.463007855911,0.687687204032727,29.608459552325,20.0142303957185,8.81831889659301,0                                   
[18] CEC2017 N=18 D=10,20.561967312193,0.48583505167494,45.4140031815755,18.7363490619874,9.35122118092425,0                                   
[19] CEC2017 N=19 D=10,1.12139374270464,0.0194320562695793,5.49941452467715,1.58529928883739,1.08877615610332,0                                
[20] CEC2017 N=20 D=10,19.98273116887,2.93989501187752e-06,22.3483828475878,11.2186414975025,10.0466535382727,0                                
[21] CEC2017 N=21 D=10,202.574603626094,175.2278714137,205.147618422385,201.679006412348,4.54038493477337,2.92156862745098                     
[22] CEC2017 N=22 D=10,100.000000025978,100.000000014883,100.000000144393,100.000000027677,1.71596046469815e-08,3                              
[23] CEC2017 N=23 D=10,300.000000127599,300.000000006517,316.132386866584,301.370133893563,2.56369666997268,3.49019607843137                   
[24] CEC2017 N=24 D=10,324.143168950429,100.000000152821,329.900841458665,300.588086388071,61.2849023451706,3.3921568627451                    
[25] CEC2017 N=25 D=10,398.031960459488,397.742869469987,443.372624160304,412.162907081062,21.2980198134533,4                                  
[26] CEC2017 N=26 D=10,300.000000161889,200.000001149644,300.000000213581,296.078431578265,19.6039209559988,0.0196078431372549                 
[27] CEC2017 N=27 D=10,393.818764708381,393.534441873865,402.029187231309,394.599980046392,1.3841454687077,1.90196078431373                    
[28] CEC2017 N=28 D=10,583.745226311273,300.000000204829,644.131695241022,527.124128261861,123.7357911153,0                                    
[29] CEC2017 N=29 D=10,233.915919406376,226.989259346058,255.78898493639,235.807166524631,6.63845598188655,0                                   
[30] CEC2017 N=30 D=10,464.211569937746,394.500777476839,1248762.77687795,233215.834775449,386657.127640736,0                                  
[1] Calculation time[hours]:  0.785672275688913 ,,,,,,
