"","IPOP","BIPOP","NIPOP","CMADE"
"1","1.00000","1.00000","1.00000","0.00000"
"2","1.00000","1.00000","1.00000","0.00000"
"3","1.00000","1.00000","1.00000","0.00000"
"4","1.00000","1.00000","1.00000","0.00000"
"5","1.00000","1.00000","1.00000","0.00000"
"6","1.00000","1.00000","1.00000","0.00000"
"7","1.00000","1.00000","1.00000","0.00000"
"8","1.00000","0.00000","0.00000","2.00000"
"9","1.00000","1.00000","3.00000","0.00000"
"10","1.00000","1.00000","1.00000","0.00000"
"11","2.00000","0.00000","3.00000","0.00000"
"12","2.00000","1.00000","2.00000","0.00000"
"13","2.00000","1.00000","3.00000","0.00000"
"14","3.00000","2.00000","1.00000","0.00000"
"15","3.00000","2.00000","0.00000","0.00000"
"16","0.00000","2.00000","1.00000","3.00000"
"17","1.00000","0.00000","2.00000","1.00000"
"18","2.00000","0.00000","2.00000","1.00000"
"19","1.00000","3.00000","1.00000","0.00000"
"20","1.00000","2.00000","2.00000","0.00000"
"21","1.00000","3.00000","2.00000","0.00000"
"22","2.00000","1.00000","0.00000","2.00000"
"23","2.00000","1.00000","0.00000","2.00000"
"24","0.00000","3.00000","2.00000","1.00000"
"25","0.00000","2.00000","2.00000","1.00000"
"26","0.00000","1.00000","1.00000","1.00000"
"27","0.00000","1.00000","1.00000","3.00000"
"28","0.00000","3.00000","2.00000","1.00000"
"RANK","1.10345","1.27586","1.31034","0.62069"
