"","IPOP","BIPOP","NIPOP","SHADE","CMADE"
"1","0.000000","0.000000","0.000000","0.000000","0.000000"
"2","2.000000","2.000000","2.000000","0.000000","1.000000"
"3","0.000000","1.000000","2.000000","0.000000","2.000000"
"4","0.000000","0.000000","0.000000","0.000000","0.000000"
"5","1.000000","1.000000","1.000000","1.000000","0.000000"
"6","0.000000","0.000000","0.000000","0.000000","0.000000"
"7","0.000000","1.000000","3.000000","1.000000","4.000000"
"8","2.000000","1.000000","2.000000","4.000000","0.000000"
"9","0.000000","2.000000","4.000000","0.000000","3.000000"
"10","0.000000","0.000000","0.000000","0.000000","0.000000"
"11","2.000000","0.000000","3.000000","4.000000","0.000000"
"12","2.000000","1.000000","4.000000","0.000000","2.000000"
"13","1.000000","1.000000","4.000000","0.000000","1.000000"
"14","3.000000","0.000000","0.000000","4.000000","0.000000"
"15","4.000000","1.000000","1.000000","0.000000","1.000000"
"16","0.000000","2.000000","0.000000","2.000000","2.000000"
"17","2.000000","0.000000","1.000000","4.000000","3.000000"
"18","0.000000","2.000000","2.000000","0.000000","4.000000"
"19","1.000000","2.000000","1.000000","4.000000","0.000000"
"20","0.000000","1.000000","2.000000","3.000000","3.000000"
"21","2.000000","4.000000","3.000000","0.000000","0.000000"
"22","1.000000","0.000000","1.000000","4.000000","3.000000"
"23","2.000000","1.000000","1.000000","0.000000","1.000000"
"24","0.000000","4.000000","0.000000","2.000000","2.000000"
"25","0.000000","4.000000","1.000000","2.000000","3.000000"
"26","0.000000","4.000000","2.000000","3.000000","1.000000"
"27","0.000000","2.000000","1.000000","3.000000","4.000000"
"28","0.000000","2.000000","0.000000","0.000000","2.000000"
"RANK","0.862069","1.344828","1.413793","1.413793","1.448276"
