"","CMADE","IPOP","BIPOP","NIPOP"
"1",1.81834598442173e-09,0e+00,0e+00,0e+00
"2",2.45750306156821e-09,0e+00,0e+00,0e+00
"3",2.69570111370759e-01,0e+00,0e+00,0e+00
"4",3.48878297409875e-09,0e+00,0e+00,0e+00
"5",2.0097139982449e-07,0e+00,0e+00,0e+00
"6",4.64912883079794e+00,0e+00,0e+00,0e+00
"7",4.62962549726341e-06,0e+00,0e+00,0e+00
"8",2.03069497633325e+01,2.0342e+01,2.0339e+01,2.0353e+01
"9",6.78530139356475e-01,5.82e-01,5.54e-01,2.54e-01
"10",2.88321310089235e-09,0e+00,0e+00,0e+00
"11",1.03729774105229e+00,3.32e-01,9.36e-01,2.67e-01
"12",9.20866362151059e-01,9.8e-02,5.85e-01,7.8e-02
"13",1.21147559005479e+00,3.13e-01,9.44e-01,2.54e-01
"14",2.23984124170614e+02,2.6681e+01,5.4762e+01,1.40243e+02
"15",1.41102467383866e+02,2.1955e+01,5.2837e+01,1.29231e+02
"16",1.02186046254732e-02,1.152e+00,3.05e-01,1.055e+00
"17",1.11186303573146e+01,1.1068e+01,1.1551e+01,1.1006e+01
"18",1.11325227256166e+01,1.0974e+01,1.1565e+01,1.0849e+01
"19",7.10494518875601e-01,6.46e-01,6.04e-01,6.58e-01
"20",3.3374971457996e+00,2.763e+00,2.582e+00,2.417e+00
"21",4.00193867218613e+02,3.74677e+02,2.84407e+02,3.50538e+02
"22",8.54713308115835e+01,7.3252e+01,9.9325e+01,1.46533e+02
"23",8.85455346420279e+01,8.6163e+01,1.17411e+02,1.96642e+02
"24",1.99898597769286e+02,2.09465e+02,1.30304e+02,1.49495e+02
"25",1.99865075714023e+02,2.05517e+02,1.92516e+02,1.96967e+02
"26",1.13680039897249e+02,2.04201e+02,1.1857e+02,1.23776e+02
"27",3e+02,4.54562e+02,3.46434e+02,3.50654e+02
"28",3.00000000000001e+02,3e+02,2.80392e+02,2.92859e+02
